"",weight,が悪い,が良く,の良い,が悪く,にあります,が良い,もよく,も良いです,にあるので,も良く,が良いです,にある,がよく,も満足しています,がいいです,が高い,のよい,はいいです,も悪くなく,は高いです,がよい,もいいです,はありません,がなります,もなく,にあり,になり,がある,を上げて,は抜群で,の高い,が悪いのか,が高く,があります,を上げると,にありません,が良いと,を上げた,になる,は高い,になります,を上げても,の悪い,が良くなく,が鈍い,が遅い,は感じです,を上げる,は良いです,が悪いと
weight,"",0.0404589469702504,0.0126245324748065,0.011208608827907,0.0106465568635528,0.00830298228320589,0.00747231342513909,0.00722151090306044,0.00705237693343792,0.00694353500812186,0.00689511351427361,0.00686497181452362,0.00681893086503673,0.0068125127145705,0.00680471336519924,0.0068025072215994,0.00673696763611597,0.00652153304651708,0.006126993153314,0.00610773305190347,0.00606458930327294,0.00599369204904103,0.00592679405382274,0.00574941455066935,0.00573230276644555,0.00569163884318214,0.0055966793971077,0.00555793737464548,0.0054945735213218,0.00546537652623283,0.00540096047338092,0.00538273719959192,0.00538219214402631,0.00536282306043186,0.00536097337901833,0.00532613698619896,0.00523186297373748,0.00522808718519547,0.00521839916382637,0.00506466971097598,0.00506284793550671,0.00502850124207561,0.0050082316564442,0.00500651998447164,0.00496005504464031,0.00493323787276152,0.00493323787276152,0.0049251198386525,0.00491747198736087,0.00487463454513311,0.00483098620261728
持ち,0.000883663962502284,30,0,0,6,0,22,0,0,0,0,4,0,1,0,1,0,0,1,0,0,6,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5,5
位置,0.000851776406039471,5,0,0,3,4,0,1,0,6,0,0,8,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
バランス,0.000795348513759717,6,10,20,2,0,14,5,4,0,6,7,0,5,1,3,2,6,0,1,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,5,4
レスポンス,0.000782878209340638,6,6,2,1,0,8,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
もち,0.000727389006393485,7,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
使い勝手,0.000717731461111451,7,10,12,1,0,17,4,1,0,4,15,0,5,0,12,0,5,3,1,0,6,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,10,1
反応,0.000698613363976167,2,1,2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0
ホールド感,0.000671798999617429,5,5,3,3,0,3,5,4,0,6,2,0,1,2,1,1,0,2,1,1,0,3,9,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,3,0,14,0
操作性,0.000668592638845848,6,8,4,0,1,4,5,9,0,12,4,1,3,2,3,3,0,4,1,1,2,3,11,0,2,2,1,0,0,4,0,0,1,0,0,3,2,0,0,0,0,0,1,0,0,0,3,0,6,0
質,0.000624309407804099,2,1,4,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
感度,0.000603461247028647,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,11,0,1,7,0,1,0,8,0,0,0,0,0,6,0,1
ホールド性,0.000596755364624735,2,4,0,1,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
発色,0.000588823801424214,2,3,1,0,1,0,6,4,0,3,0,0,1,4,0,0,1,1,1,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,2,0
