"",weight,が良く,の良い,がよく,も良く,が悪い,が良いです,もよく,も良いです,が良い,のよい,が悪く,がいいです,がよい,が良いので,がいい,もいいです,も良好です,は良いです,は良く,は良好です,が悪いと,が良いと,も良い,は良い,がいいので,もいい,は良いと,も良いので,が高い,の高い,が良くて,が悪いです,のある,も高く,はいいですね,も良いと,はいいと,はありません,が高く,はいいです,が感じます,は感じです,が高いので,がいいと,の悪い,が高いです,も悪くなく,があり,も満足しています,が良くない,といい,は悪いです,が悪いので,もありません,にありません,は最高です,は良いのですが,があります,も気に入っています,もいいですね,が違います,がよいです,が良いのか,はいい,は高い,がいいですね,は思います,がイマイチ,もあり,もある,もいいし,にある,もよい,も良好,も良いですね,がよいと,も高い,はよいです,も良いし,はよく,は抜群です,はよいと,は落ちますが,は満足しています,を考えると,はあり,もなく,もあります,もあって,もいいと,が低い,を考えて,は悪くないです,に満足しています,で満足しています,も良くて,も含めて,がなります,がある,は方だと
weight,"",8.06094388909627e-19,7.59035447597952e-19,6.95473306456546e-19,6.74003545744418e-19,6.56293908887166e-19,6.35802573365885e-19,6.3067386472717e-19,6.22737181326141e-19,6.10398954175073e-19,5.92996885685416e-19,5.34223753060441e-19,5.30283287734695e-19,5.2061778487582e-19,5.00785294349518e-19,4.99492784652587e-19,4.80355195499585e-19,4.71800845118015e-19,4.70081068511046e-19,4.59969047126908e-19,4.53301400159499e-19,4.46953067044448e-19,4.3198401547209e-19,4.21456579711697e-19,4.21151848627296e-19,4.17773308711995e-19,4.16914205500814e-19,4.02851968500241e-19,4.00961122906097e-19,4.00899395875384e-19,3.99021616808314e-19,3.92681291387644e-19,3.79933506996204e-19,3.7548718226006e-19,3.75278749964047e-19,3.74553589270087e-19,3.70914730750586e-19,3.69679987782334e-19,3.69568790854593e-19,3.52536762894843e-19,3.48308434520908e-19,3.40974268699733e-19,3.39085486236667e-19,3.37363080166066e-19,3.36170731573504e-19,3.35393315720228e-19,3.32181576839299e-19,3.27394681611285e-19,3.27038115916018e-19,3.26280616818162e-19,3.24656555895101e-19,3.23933956447519e-19,3.20231834564433e-19,3.16299127792038e-19,3.14275790479452e-19,3.12222501243301e-19,3.07670891363542e-19,3.070583004911e-19,3.06053077195441e-19,3.0579852033513e-19,2.98331536408154e-19,2.93850642295353e-19,2.86667686726916e-19,2.8560326336368e-19,2.85393921276009e-19,2.84461067121249e-19,2.83657089348704e-19,2.79828546812468e-19,2.79503211983305e-19,2.78686706935392e-19,2.78605671233805e-19,2.77658793190295e-19,2.75585792281289e-19,2.7324207563582e-19,2.71854573987693e-19,2.68661524152484e-19,2.68401477639703e-19,2.67631632579236e-19,2.67550425091396e-19,2.65403145620653e-19,2.63836349838683e-19,2.62504550286434e-19,2.60445689774409e-19,2.60044407321875e-19,2.59980885072184e-19,2.5986073507308e-19,2.55865830851331e-19,2.55022976304696e-19,2.54977916506638e-19,2.54499848466977e-19,2.54320864675996e-19,2.54003606068509e-19,2.53221221689505e-19,2.51201998600759e-19,2.50378856632303e-19,2.49552673971171e-19,2.48226595404079e-19,2.47392206277266e-19,2.47111077103303e-19,2.46994816349166e-19,2.46904543154898e-19
バランス,3.3024187746834e-20,10,20,5,6,6,7,5,4,14,6,2,3,3,2,4,0,0,5,3,3,4,9,1,2,0,2,8,3,2,2,1,2,0,0,2,11,4,0,0,0,3,0,0,4,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,8,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0
持ち,2.79608682298548e-20,0,0,1,0,30,4,0,0,22,0,6,1,6,2,9,0,0,5,2,0,5,2,0,3,6,0,6,0,0,0,1,9,0,0,2,0,0,7,0,1,1,2,0,1,0,0,0,0,0,5,0,5,4,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
使い勝手,2.77879175888001e-20,10,12,5,4,7,15,4,1,17,5,1,12,6,3,1,1,1,10,1,5,1,6,1,1,1,1,5,0,0,0,1,2,0,0,0,1,3,4,0,3,1,0,0,3,0,0,1,0,0,1,0,0,0,1,1,2,0,1,1,1,0,5,0,0,0,4,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,4,0,1,0,0,0,0,1,3,1,0,0,1,0,0,0
色乗り,2.56366530346656e-20,2,2,0,5,0,1,3,2,1,2,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
レスポンス,2.54795813544065e-20,6,2,4,6,6,0,0,0,8,0,1,0,0,1,1,1,2,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
ホールド感,2.49385543278213e-20,5,3,1,6,5,2,5,4,3,0,3,1,0,3,1,3,2,14,1,9,0,1,1,7,1,3,4,4,1,0,1,0,0,0,0,0,0,9,1,2,1,3,0,1,0,0,1,2,2,2,2,1,0,5,2,0,3,1,0,0,0,1,0,2,0,0,4,1,1,1,0,0,0,0,0,3,0,2,0,0,4,1,0,0,0,2,0,0,3,2,0,0,1,0,0,0,0,0,0,1
発色,2.39627367911407e-20,3,1,1,3,2,0,6,4,0,1,0,0,0,1,3,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,4,1,2,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1
写り,2.38262610328113e-20,4,7,0,4,2,1,1,0,4,1,0,1,0,1,5,0,0,4,2,1,1,2,2,3,2,3,5,0,0,0,2,0,0,1,4,2,2,6,0,7,0,1,0,1,0,0,1,0,1,0,0,0,0,8,2,4,1,0,0,0,4,0,0,1,0,0,4,0,0,0,0,2,1,0,0,2,0,0,1,0,0,2,0,3,0,2,0,1,0,1,0,0,1,2,0,2,0,0,0,1
操作性,2.33003276904827e-20,8,4,3,12,6,4,5,9,4,0,0,3,2,2,1,3,3,6,2,6,0,2,8,2,2,5,10,1,3,0,0,2,0,0,1,6,9,11,1,4,0,3,0,0,1,0,1,1,2,1,1,3,0,1,3,1,4,0,0,0,0,1,0,2,0,1,11,1,0,0,0,1,0,2,0,1,0,4,1,1,6,0,0,1,3,1,2,0,0,1,0,2,0,1,1,0,1,0,0,0
