"",weight,が良く,の良い,も良く,がよく,が悪い,もよく,が良いです,も良いです,が良い,のよい,の高い,が高い,が悪く,がいいです,がよい,が良いので,がいい,もいいです,は良いです,も良好です,が高く,も高く,が悪いと,は良好です,は良く,が高いです,が高いので,は良いと,も良い,がいいので,が良いと,は良い,のある,もいい,も良いので,が良くて,も良いと,が悪いです,はいいと,はいいですね,はいいです,は高い,はありません,が感じます,の悪い,は感じです,といい,がいいと,は良いのですが,は最高です,が高いと,は高く,が良くない,も高い,があり,も満足しています,も悪くなく,が悪いので,は悪いです,もありません,にありません,は高いと,が違います,を考えると,が低い,も気に入っています,もいいですね,もあり,がよいです,がいいですね,は落ちますが,にある,がイマイチ,が良いのか,は抜群です,がよいと,もある,はよいと,も良いですね,はよいです,も含めて,もいいし,も良いし,はあり,にあり,はいい,を考えて,があります,もなく,はよく,もよい,もいいと,が違う,も良好,は良いですね,は満足しています,は思います,がある,もあって,は素晴らしいです
weight,"",4.00612855189194e-11,3.83730963039878e-11,3.4596819274646e-11,3.41152258475267e-11,3.31334748272651e-11,3.31163945698616e-11,3.26592443709872e-11,3.12640506641918e-11,3.08971307337465e-11,3.02118687945331e-11,2.93031658398276e-11,2.84441843297053e-11,2.75860017211389e-11,2.74001191152815e-11,2.7165362962005e-11,2.57208496493606e-11,2.53973468121061e-11,2.47764494756617e-11,2.46636310732201e-11,2.44374388641549e-11,2.42221421013479e-11,2.41194398650488e-11,2.35362684100296e-11,2.32741916680915e-11,2.30052966828618e-11,2.29592134123727e-11,2.25084585627988e-11,2.19006410566523e-11,2.18464340424297e-11,2.1778069223223e-11,2.15367580333634e-11,2.12298797075965e-11,2.11062507775466e-11,2.09479439467601e-11,2.02680284010737e-11,2.00671350266639e-11,2.00652994348821e-11,1.99678857345937e-11,1.96048651026182e-11,1.95215741375974e-11,1.87640306209466e-11,1.87375737057734e-11,1.83100503304709e-11,1.82786316943092e-11,1.78947314423449e-11,1.75677005816482e-11,1.74593693355815e-11,1.72080815538197e-11,1.71409868686192e-11,1.71143568305847e-11,1.7066338563939e-11,1.70635454683244e-11,1.7062774963702e-11,1.70224839215221e-11,1.70101248520492e-11,1.68611103322137e-11,1.68179581847012e-11,1.68118672258591e-11,1.64873557068092e-11,1.63460151936455e-11,1.62683110941549e-11,1.62315644554436e-11,1.60991970943428e-11,1.60562516977196e-11,1.58238953394214e-11,1.58208779627899e-11,1.58099919799691e-11,1.50197760541004e-11,1.49906756609374e-11,1.48941297956694e-11,1.46836889612411e-11,1.45841817764929e-11,1.45453488118094e-11,1.45226000744096e-11,1.4365317901295e-11,1.43513690331334e-11,1.42468096812354e-11,1.41189099995782e-11,1.40986301520968e-11,1.40678793118823e-11,1.40459414805894e-11,1.40090532709938e-11,1.40086187001532e-11,1.39498666422063e-11,1.37149489511009e-11,1.36982937059468e-11,1.35929864358317e-11,1.35655323725332e-11,1.35558848544439e-11,1.34542258668129e-11,1.33807292636848e-11,1.33082510184857e-11,1.32877416687647e-11,1.32042054369658e-11,1.31483832797985e-11,1.30993576370799e-11,1.29284272972884e-11,1.28748646395512e-11,1.28270677803854e-11,1.27833981289649e-11
バランス,2.02002678097286e-12,10,20,6,5,6,5,7,4,14,6,2,2,2,3,3,2,4,0,5,0,0,0,4,3,3,1,0,8,1,0,9,2,0,2,3,1,11,2,4,2,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0
持ち,1.7531760993399e-12,0,0,0,1,30,0,4,0,22,0,0,0,6,1,6,2,9,0,5,0,0,0,5,0,2,0,0,6,0,6,2,3,0,0,0,1,0,9,0,2,1,0,7,1,0,2,0,1,1,1,0,0,5,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0
使い勝手,1.72558621957446e-12,10,12,4,5,7,4,15,1,17,5,0,0,1,12,6,3,1,1,10,1,0,0,1,5,1,0,0,5,1,1,6,1,0,1,0,1,1,2,3,0,3,0,4,1,0,0,0,3,0,2,0,0,1,0,0,0,1,0,0,1,1,0,0,4,0,1,1,0,5,4,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0
色乗り,1.57721830114018e-12,2,2,5,0,0,3,1,2,1,2,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ホールド感,1.53769087180172e-12,5,3,6,1,5,5,2,4,3,0,0,1,3,1,0,3,1,3,14,2,1,0,0,9,1,0,0,4,1,1,1,7,0,3,4,1,0,0,0,0,2,0,9,1,0,3,2,1,3,0,0,0,2,0,2,2,1,0,1,5,2,0,0,0,0,0,0,1,1,0,0,0,1,0,4,3,1,1,0,2,0,0,0,2,0,2,0,1,0,0,0,2,0,0,1,0,4,0,3,0
レスポンス,1.52968563507631e-12,6,2,6,4,6,0,0,0,8,0,0,0,1,0,0,1,1,1,1,2,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
発色,1.50481550606735e-12,3,1,3,1,2,6,0,4,0,1,0,0,0,0,0,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,2,0,0,2,0,0,1,1,1,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0
操作性,1.44848773071229e-12,8,4,12,3,6,5,4,9,4,0,0,3,0,3,2,2,1,3,6,3,1,0,0,6,2,0,0,10,8,2,2,2,0,5,1,0,6,2,9,1,4,0,11,0,1,3,1,0,4,1,0,0,1,0,1,2,1,0,3,1,3,0,0,3,0,0,0,0,1,1,0,1,1,0,6,1,0,0,0,4,1,0,1,1,2,2,2,0,2,1,0,1,0,2,1,1,11,0,0,0
写り,1.44829035717985e-12,4,7,4,0,2,1,1,0,4,1,0,0,0,1,0,1,5,0,4,0,0,1,1,1,2,0,0,5,2,2,2,3,0,3,0,2,2,0,2,4,7,0,6,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,8,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,1,2,4,1,0,0,0,0,1,1,1,0,0,3,4,0,0,1
