"",weight,が良く,の良い,がよく,も良く,が悪い,が良いです,もよく,も良いです,のよい,が良い,が悪く,がいいです,がよい,が良いので,がいい,もいいです,も良好です,は良いです,は良く,は良好です,が悪いと,が良いと,は良い,がいいので,も良い,は良いと,もいい,が高い,も良いので,の高い,が良くて,が悪いです,も高く,はいいと,のある,はいいですね,も良いと,はありません,はいいです,が高く,が感じます,が高いので,がいいと,の悪い,が高いです,が良くない,も悪くなく,は感じです,といい,は悪いです,も満足しています,が悪いので,にありません,は良いのですが,があり,があります,は最高です,もありません,も気に入っています,もいいですね,が違います,がよいです,は高い,が良いのか,はいい,がいいですね,もいいし,がイマイチ,にある,は思います,もある,も良好,がよいと,も高い,もあり,は抜群です,はよいです,も良いですね,もよい,も良いし,は落ちますが,はよく,はよいと,はあり,を考えると,もなく,も含めて,を考えて,もいいと,が低い,は満足しています,は悪くないです,がなります,は高く,もあります,は方だと,が良いとは,がある,にあり,も良くて
weight,"",3.43272102845438e-16,3.20810778953655e-16,2.94949704213947e-16,2.8449465733328e-16,2.73726122155012e-16,2.71758442423876e-16,2.68134451437549e-16,2.63434237273719e-16,2.54019454800929e-16,2.50146875289017e-16,2.27740908386849e-16,2.24138671967119e-16,2.22435290637245e-16,2.12298690792915e-16,2.10657777400829e-16,2.03499330563927e-16,2.01089277154349e-16,1.98466372267637e-16,1.95403931700384e-16,1.94828124996186e-16,1.90634342920611e-16,1.8267471307631e-16,1.78367553945991e-16,1.7826398386707e-16,1.755803406957e-16,1.73792115818496e-16,1.72998155905407e-16,1.7139894116692e-16,1.71176006313757e-16,1.69966265082997e-16,1.66349276847224e-16,1.63057237887535e-16,1.6216969872875e-16,1.62145725933193e-16,1.60047235474536e-16,1.59320632157958e-16,1.58747984066337e-16,1.53674312726177e-16,1.53042524331257e-16,1.51831408920969e-16,1.49246284177612e-16,1.44778161643616e-16,1.43517342919785e-16,1.42920347621833e-16,1.42638292338589e-16,1.4172590976791e-16,1.39295072390792e-16,1.3917346431009e-16,1.38034840159251e-16,1.37587600115922e-16,1.3743270729263e-16,1.35566117358619e-16,1.33327285199747e-16,1.32169942204082e-16,1.30405404840399e-16,1.30216928832295e-16,1.29826435023871e-16,1.29218031999472e-16,1.28709378370897e-16,1.27241921351571e-16,1.24980552020427e-16,1.22693701913708e-16,1.22372171255816e-16,1.21711964969643e-16,1.21264290670983e-16,1.2098821678928e-16,1.20280241928634e-16,1.1930798109452e-16,1.18752460590748e-16,1.18708222765716e-16,1.17797685568047e-16,1.17319099571838e-16,1.1588180852455e-16,1.15753925513906e-16,1.15449375399272e-16,1.14787906431269e-16,1.14619393863836e-16,1.14364093659244e-16,1.14173508406218e-16,1.12761655021862e-16,1.12359444350985e-16,1.11587418362637e-16,1.11367058105912e-16,1.10370287567548e-16,1.09947884850965e-16,1.08766329539654e-16,1.08656942178847e-16,1.08652386929991e-16,1.07637061553911e-16,1.07499112455619e-16,1.07375357632074e-16,1.0663060973557e-16,1.06462154777354e-16,1.05966197954396e-16,1.05785218562331e-16,1.05295036222968e-16,1.04946161861275e-16,1.04877784597571e-16,1.04513840518527e-16,1.04249147921809e-16
バランス,1.69798593010618e-17,10,20,5,6,6,7,5,4,6,14,2,3,3,2,4,0,0,5,3,3,4,9,2,0,1,8,2,2,3,2,1,2,0,4,0,2,11,0,0,0,3,0,4,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
使い勝手,1.46073411001369e-17,10,12,5,4,7,15,4,1,5,17,1,12,6,3,1,1,1,10,1,5,1,6,1,1,1,5,1,0,0,0,1,2,0,3,0,0,1,4,3,0,1,0,3,0,0,1,1,0,0,0,0,0,1,0,0,1,2,1,1,1,0,5,0,0,0,4,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,4,1,1,1,0,0,1,3,0,0,0,0,2,0,0,0
持ち,1.44836897198434e-17,0,0,1,0,30,4,0,0,0,22,6,1,6,2,9,0,0,5,2,0,5,2,3,6,0,6,0,0,0,0,1,9,0,0,0,2,0,7,1,0,1,0,1,0,0,5,0,2,0,5,0,4,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0
色乗り,1.32127544343683e-17,2,2,0,5,0,1,3,2,2,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
レスポンス,1.30643525834309e-17,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ホールド感,1.30040837432108e-17,5,3,1,6,5,2,5,4,0,3,3,1,0,3,1,3,2,14,1,9,0,1,7,1,1,4,3,1,4,0,1,0,0,0,0,0,0,9,2,1,1,0,1,0,0,2,1,3,2,1,2,0,2,3,2,1,0,5,0,0,0,1,0,0,2,0,0,1,0,4,1,0,3,0,1,4,2,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0
発色,1.23685265461095e-17,3,1,1,3,2,0,6,4,1,0,0,0,0,1,3,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,2,1,4,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0
写り,1.21608430656627e-17,4,7,0,4,2,1,1,0,1,4,0,1,0,1,5,0,0,4,2,1,1,2,3,2,2,5,3,0,0,0,2,0,1,2,0,4,2,6,7,0,0,0,1,0,0,0,1,1,0,0,1,0,2,1,0,0,4,8,0,0,4,0,0,0,1,0,0,0,2,4,0,0,2,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,0,3,1,0,0,1,1,1,0,4,2
操作性,1.21376972446549e-17,8,4,3,12,6,4,5,9,0,4,0,3,2,2,1,3,3,6,2,6,0,2,2,2,8,10,5,3,1,0,0,2,0,9,0,1,6,11,4,1,0,0,0,1,0,1,1,3,1,3,2,0,3,4,1,0,1,1,0,0,0,1,0,0,2,1,0,1,1,11,0,2,1,0,0,6,4,0,0,1,0,1,0,1,3,2,1,2,1,0,1,0,0,0,0,0,0,0,2,0
相性,1.17885326121256e-17,1,1,0,3,0,2,0,3,0,2,0,0,1,1,0,2,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
