"",weight,が良く,の良い,がよく,も良く,が悪い,が良いです,もよく,も良いです,のよい,が良い,が悪く,がいいです,がよい,がいい,が良いので,もいいです,も良好です,は良いです,は良く,は良好です,が悪いと,が良いと,は良い,がいいので,も良い,もいい,も良いので,が高い,の高い,は良いと,が良くて,が悪いです,も高く,はいいですね,はいいと,のある,も良いと,はありません,が高く,はいいです,が感じます,が高いので,の悪い,が高いです,がいいと,が良くない,は感じです,も悪くなく,も満足しています,といい,は悪いです,が悪いので,にありません,があります,があり,も気に入っています,は最高です,は良いのですが,もありません,もいいですね,が違います,がよいです,は高い,が良いのか,はいい,がいいですね,もいいし,にある,がイマイチ,もある,は思います,もあり,も良好,も高い,もよい,も良いですね,がよいと,はよいです,も良いし,はよく,はあり,は抜群です,は落ちますが,はよいと,を考えると,もなく,も含めて,になります,がなります,が低い,は満足しています,もいいと,は悪くないです,もあります,を考えて,もあって,で満足しています,は高く,がある,は方だと
weight,"",1.44602778089192e-13,1.36160331999668e-13,1.2493130891907e-13,1.19552480230695e-13,1.15884498093046e-13,1.14072788788963e-13,1.12620228680771e-13,1.11197675231681e-13,1.07753457213345e-13,1.05711048420154e-13,9.64624745768328e-14,9.49474893751966e-14,9.37514737234882e-14,8.99536861961085e-14,8.94245099043325e-14,8.57370775343248e-14,8.43231759113028e-14,8.28236014231189e-14,8.22370536612328e-14,8.09608952972565e-14,8.05217878419795e-14,7.69548432831084e-14,7.49081178194292e-14,7.48464400758855e-14,7.37916394957028e-14,7.30531496289105e-14,7.22369350793176e-14,7.2215017998283e-14,7.20796730960374e-14,7.15255598828393e-14,7.01011046683803e-14,6.84941814420698e-14,6.80964092352641e-14,6.75668193604052e-14,6.7442008142936e-14,6.74299877422584e-14,6.62488464279964e-14,6.42874875036553e-14,6.38332680088367e-14,6.34997662891734e-14,6.30769063442007e-14,6.10953797530275e-14,6.06086724464411e-14,6.04076620454832e-14,6.02077950108425e-14,5.97994469911966e-14,5.85749467280689e-14,5.84984895998287e-14,5.82072122917025e-14,5.8083109745196e-14,5.73742436273446e-14,5.7025575264483e-14,5.57920179317539e-14,5.56999009877632e-14,5.52117739349618e-14,5.49078042403353e-14,5.47765556412502e-14,5.45105845291941e-14,5.40641093685192e-14,5.33756235525928e-14,5.2800667979439e-14,5.16342590474013e-14,5.16245294018172e-14,5.15480157446654e-14,5.1040137308757e-14,5.09555856499334e-14,5.06599244122662e-14,5.05716922787514e-14,5.04612313557062e-14,5.03151613256045e-14,4.93902929615997e-14,4.93741561788201e-14,4.886565666073e-14,4.8730957253338e-14,4.86715914333488e-14,4.8491620503107e-14,4.77978062841228e-14,4.761091486725e-14,4.74869275091469e-14,4.7148873379309e-14,4.69828843861753e-14,4.68333452168324e-14,4.67234445881151e-14,4.64100011759334e-14,4.63999504482304e-14,4.59449192759416e-14,4.57319965788133e-14,4.55734117009949e-14,4.55588651475814e-14,4.52167926208462e-14,4.51963819669822e-14,4.51957374124475e-14,4.51568943547302e-14,4.513319755402e-14,4.49528472336907e-14,4.48468841175604e-14,4.46128930145952e-14,4.4576419987223e-14,4.44371342379805e-14,4.43648513276235e-14
バランス,7.29068645028329e-15,10,20,5,6,6,7,5,4,6,14,2,3,3,4,2,0,0,5,3,3,4,9,2,0,1,2,3,2,2,8,1,2,0,2,4,0,11,0,0,0,3,0,0,1,4,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,8,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0
使い勝手,6.4357425959528e-15,10,12,5,4,7,15,4,1,5,17,1,12,6,1,3,1,1,10,1,5,1,6,1,1,1,1,0,0,0,5,1,2,0,0,3,0,1,4,0,3,1,0,0,0,3,1,0,1,0,0,0,0,1,1,0,1,2,0,1,1,0,5,0,0,0,4,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,4,1,1,0,0,0,1,0,3,0,1,0,0,0,0,0
持ち,6.25396208569978e-15,0,0,1,0,30,4,0,0,0,22,6,1,6,9,2,0,0,5,2,0,5,2,3,6,0,0,0,0,0,6,1,9,0,2,0,0,0,7,0,1,1,0,0,0,1,5,2,0,0,0,5,4,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
ホールド感,5.72711200787414e-15,5,3,1,6,5,2,5,4,0,3,3,1,0,1,3,3,2,14,1,9,0,1,7,1,1,3,4,1,0,4,1,0,0,0,0,0,0,9,1,2,1,0,0,0,1,2,3,1,2,2,1,0,2,1,2,0,0,3,5,0,0,1,0,0,2,0,0,0,1,1,4,1,0,0,0,0,3,2,0,0,2,4,0,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1
色乗り,5.54985031238736e-15,2,2,0,5,0,1,3,2,2,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作性,5.51575572341341e-15,8,4,3,12,6,4,5,9,0,4,0,3,2,1,2,3,3,6,2,6,0,2,2,2,8,5,1,3,0,10,0,2,0,1,9,0,6,11,1,4,0,0,1,0,0,1,3,1,2,1,3,0,3,0,1,0,1,4,1,0,0,1,0,0,2,1,0,1,1,0,11,0,2,0,0,0,1,4,1,1,1,6,0,0,3,2,1,0,0,0,1,1,0,0,2,0,1,0,0,0
レスポンス,5.47864007791782e-15,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,1,2,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
携帯性,5.1688773646015e-15,2,11,0,12,3,5,6,2,0,6,2,1,3,1,1,1,0,3,4,3,2,1,3,5,1,0,1,1,0,12,1,1,1,0,0,0,2,11,0,10,0,1,0,0,1,0,2,1,0,1,5,2,1,0,0,0,1,5,1,1,0,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,1,3,1,0,0,17,3,2,3,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0
発色,5.14777519483923e-15,3,1,1,3,2,0,6,4,1,0,0,0,0,3,1,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,4,2,1,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,3,0,0,0,1,0,1,0,1,0,0,0,1
