"",weight,が良く,の良い,も良く,の高い,もよく,が高い,が悪い,がよく,が良いです,も良いです,が良い,のよい,が高く,が悪く,も高く,がよい,が高いです,がいいです,が高いので,は良いです,が良いので,もいいです,がいい,も良好です,は良く,が悪いと,のある,も良い,は良好です,は良いと,がいいので,もいい,は良い,は高い,が良いと,も良いので,はいいですね,が高いと,も良いと,が良くて,があり,が悪いです,も高い,は高く,は高いと,はいいと,は最高です,はありません,は感じです,があります,はいいです,といい,もありません,も満足しています,は良いのですが,もあり,が感じます,が低い,の悪い,を考えると,が違います,が悪いので,も悪くなく,にありません,は悪いです,がいいと,も気に入っています,が良くない,もいいですね,がある,は落ちますが,はあり,はあります,は高いです,も良いし,は素晴らしいです,はよいと,も含めて,もあります,がいいですね,にある,が違う,も高いです,もなく,にあり,は満足しています,もいいと,もある,はよいです,は抜群です,がよいと,もあって,がよいです,は思います,がイマイチ,は最高ですね,は良いですね,に優れた,は思いますが,はいい
weight,"",6.70123960096399e-06,6.30651909930388e-06,6.08001754651708e-06,6.00811999410101e-06,5.74005677996564e-06,5.72474785409825e-06,5.68318710219781e-06,5.61956277524555e-06,5.42439248409336e-06,5.37421690621114e-06,5.32340759547997e-06,4.96174967328115e-06,4.81166641185951e-06,4.70994944696316e-06,4.67275682917333e-06,4.62709006650597e-06,4.61643758468175e-06,4.60420792896256e-06,4.45390695028521e-06,4.4290747718999e-06,4.40189487044894e-06,4.36038821731477e-06,4.35151891392929e-06,4.22172755030152e-06,4.11021439348197e-06,4.03375830955486e-06,3.98793078578908e-06,3.98344813501585e-06,3.96045975086677e-06,3.87547000362688e-06,3.77728334281791e-06,3.75477564057456e-06,3.73257722879271e-06,3.67221600322742e-06,3.65908950954536e-06,3.6034475538824e-06,3.53374647211012e-06,3.53073707008041e-06,3.51751431965107e-06,3.43415250375422e-06,3.4273280664133e-06,3.41265131509861e-06,3.35806898912207e-06,3.33408361959349e-06,3.33117328107236e-06,3.29642673427477e-06,3.29494923110908e-06,3.28607627731018e-06,3.26955548206644e-06,3.22008160250764e-06,3.21914533322905e-06,3.20746574634338e-06,3.16579199245343e-06,3.0601801919026e-06,3.04222830390154e-06,3.03264634090967e-06,3.00080410757499e-06,2.98810013341227e-06,2.98041129138971e-06,2.96845915288355e-06,2.96657527241306e-06,2.94354800175488e-06,2.89574657242534e-06,2.8879433786054e-06,2.86631664877243e-06,2.85762731524488e-06,2.83044598351983e-06,2.77273340596457e-06,2.70774484820863e-06,2.67106423910982e-06,2.65353007864245e-06,2.61638046381138e-06,2.58645072044358e-06,2.57147081981878e-06,2.55952874154272e-06,2.55054246878808e-06,2.54676533720487e-06,2.54495274198621e-06,2.53385757411293e-06,2.53032825967882e-06,2.50723131092571e-06,2.50050496367611e-06,2.48952577770467e-06,2.48243632055701e-06,2.48050633382016e-06,2.4766812707744e-06,2.47497133423937e-06,2.47197202826199e-06,2.47056549169655e-06,2.46502261209069e-06,2.45072672108229e-06,2.44915872426754e-06,2.44311330554848e-06,2.42446806593533e-06,2.41794947097649e-06,2.40605077909034e-06,2.40218750939833e-06,2.3990526101572e-06,2.39865874341902e-06,2.39001744313626e-06
バランス,3.49930130194222e-07,10,20,6,2,5,2,6,5,7,4,14,6,0,2,0,3,1,3,0,5,2,0,4,0,3,4,0,1,3,8,0,2,2,0,9,3,2,0,11,1,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,8,0,1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
持ち,3.03529174180014e-07,0,0,0,0,0,0,30,1,4,0,22,0,0,6,0,6,0,1,0,5,2,0,9,0,2,5,0,0,0,6,6,0,3,0,2,0,2,0,0,1,0,9,0,0,0,0,1,7,2,0,1,0,0,0,1,0,1,0,0,0,0,4,0,0,5,1,0,5,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,1,1
使い勝手,2.96866884994537e-07,10,12,4,0,4,0,7,5,15,1,17,5,0,1,0,6,0,12,0,10,3,1,1,1,1,1,0,1,5,5,1,1,1,0,6,0,0,0,1,1,0,2,0,0,0,3,2,4,0,1,3,0,1,0,0,0,1,0,0,4,0,0,1,1,0,3,1,1,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,1,0,0,0,0,1,0,5,1,0,1,1,0,0,0
色乗り,2.67762624213322e-07,2,2,5,0,3,0,0,0,1,2,1,2,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ホールド感,2.63059669441881e-07,5,3,6,0,5,1,5,1,2,4,3,0,1,3,0,0,0,1,0,14,3,3,1,2,1,0,0,1,9,4,1,3,7,0,1,4,0,0,0,1,2,0,0,0,0,0,0,9,3,1,2,2,5,2,3,1,1,0,0,0,0,0,1,2,1,1,0,2,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,4,3,3,1,4,1,0,1,0,2,2
発色,2.623312022535e-07,3,1,3,0,6,0,2,1,0,4,0,1,0,0,0,0,0,0,0,2,1,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,1,0,1,2,1,4,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0
レスポンス,2.58293005619317e-07,6,2,6,0,0,0,6,4,0,0,8,0,0,1,0,0,0,0,0,1,1,1,1,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
写り,2.56270678492078e-07,4,7,4,0,1,0,2,0,1,0,4,1,0,0,1,0,0,1,0,4,1,0,5,0,2,1,0,2,1,5,2,3,3,0,2,0,4,0,2,2,0,0,0,0,0,2,4,6,1,0,7,0,8,1,1,0,0,0,0,0,4,0,1,2,0,1,0,0,0,0,0,2,1,0,1,1,2,0,1,0,2,1,0,0,4,3,1,0,0,0,2,0,0,4,0,0,0,0,0,1
精度,2.49645694276168e-07,2,2,1,1,0,4,2,0,0,1,2,0,0,0,3,1,1,0,3,1,1,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,0,1,3,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
デザイン,2.48405673444544e-07,3,1,7,0,1,0,0,1,2,2,7,0,0,0,0,1,0,0,0,2,2,3,1,0,0,0,1,2,1,11,0,2,2,0,1,0,0,0,4,0,0,0,0,1,0,6,2,0,5,0,3,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,5,2,0,2,0,3,2,0,4,0,0,0,0,0,2,5,0,1,0,0,1,0,11,0,1,2,0,3,0
操作性,2.4390628200684e-07,8,4,12,0,5,3,6,3,4,9,4,0,1,0,0,2,0,3,0,6,2,3,1,3,2,0,0,8,6,10,2,5,2,0,2,1,1,0,6,0,1,2,0,0,0,9,1,11,3,0,4,1,1,2,4,0,0,0,1,3,0,0,1,3,3,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,2,2,1,1,0,4,6,1,0,1,11,1,0,1,2,3,2
相性,2.36869234414242e-07,1,1,3,0,0,0,0,0,2,3,2,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
解像度,2.36655472170803e-07,0,0,1,5,1,6,1,0,0,0,1,0,8,0,7,0,2,0,2,1,0,0,0,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
携帯性,2.33112710000124e-07,2,11,12,0,6,1,3,0,5,2,6,0,0,2,1,3,0,1,1,3,1,1,1,0,4,2,0,1,3,12,5,0,3,0,1,1,0,1,2,1,0,1,0,0,0,0,1,11,2,0,10,1,1,0,5,0,0,0,0,3,0,2,1,1,5,1,0,0,1,0,3,0,1,0,1,1,2,0,0,0,0,0,0,1,1,2,1,0,3,17,1,0,0,12,0,0,1,5,2,0
視認性,2.32495202748728e-07,0,2,2,0,0,0,1,1,0,0,2,0,0,2,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
色のり,2.30859638902647e-07,1,1,0,0,6,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
コントラスト,2.29725581751105e-07,0,1,1,11,0,5,0,1,0,0,1,0,1,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
評判,2.28826928819253e-07,0,14,0,3,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,6,0,3,0,1,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
感度,2.22702944183554e-07,2,1,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
もち,2.22107679472786e-07,0,0,0,0,0,0,7,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
気持ち,2.21826628384292e-07,0,13,0,0,0,0,0,1,2,0,7,3,0,0,0,2,0,9,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
コストパフォーマンス,2.18786603888293e-07,1,5,1,36,1,14,0,0,0,0,5,0,4,0,4,3,4,0,2,4,0,0,1,0,0,0,0,0,0,8,1,1,0,2,2,0,3,6,2,0,0,0,3,0,24,1,9,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,2,2,0,0,0,0,1,0,0,0,1,0,0,2,2,0,0,2,0,3,1,33,0,0
描写,2.1764238133291e-07,1,2,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,5,2,1,1,1,3,0,0,1,0,0,1,1,1,0,4,1,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,2,0,0,5,0,0,1,0,2,2,3,0,0,0,0,0,5,0,0,0,1,0,1
質,2.10237604002135e-07,1,4,1,2,0,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色,2.04812721274005e-07,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
描写力,2.04015322208635e-07,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,1,1,0,4,0,0,1,2,0,1,0,0,0,3,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,4,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
