"",weight,色乗り,バランス,持ち,色のり,評判,発色,レスポンス,使い勝手,気持ち,重量バランス,相性,携帯性,ホールド感,視認性,色,描写,写り,操作性,ホールド性,感度,もち,質,反応,見た目,音,出来,ヌケ,デザイン,ボケ味,シャッター音,取り回し,位置,精度,操作感,配置,描写力,天気,感触,画像,条件,画質,切れ,性能,カメラ,電池持ち,解像度,AF精度,補正,色合い,感じ,音質,ボケ,レンズ,ボケ具合,バッテリー,質感,コントラスト,AF,大きさ,グリップ感
weight,"",2.08032734923163e-18,2.0767476737994e-18,2.01834329909904e-18,1.92467208797851e-18,1.92391669047872e-18,1.91392020810831e-18,1.89753698690373e-18,1.81124999595171e-18,1.80943952539463e-18,1.63425915057813e-18,1.6128641331314e-18,1.59012890018675e-18,1.58771865148717e-18,1.57807972235648e-18,1.57557894489838e-18,1.57512088570758e-18,1.56463314640226e-18,1.54442261835401e-18,1.5249664439458e-18,1.48330834721121e-18,1.45669330040658e-18,1.41520588361498e-18,1.40902591183782e-18,1.38130960603447e-18,1.37337824763854e-18,1.33412268524364e-18,1.33010834755611e-18,1.32388919234381e-18,1.30248043529009e-18,1.28188025776655e-18,1.25637795947398e-18,1.23067675462107e-18,1.22964091217865e-18,1.20875573719136e-18,1.1894669708427e-18,1.18443738032573e-18,1.12208915556729e-18,1.11402711423191e-18,1.09752997144018e-18,1.06414373064083e-18,1.06342009611067e-18,1.0547921538952e-18,1.05354714244049e-18,1.05067756704695e-18,1.03859182214374e-18,1.02950927723776e-18,1.00968564565092e-18,1.00304978300488e-18,9.78169418733198e-19,9.77953876526428e-19,9.70846404150316e-19,9.56270835481736e-19,9.03570095999604e-19,8.80713043866798e-19,8.731713049225e-19,8.73141543325941e-19,8.71618924899721e-19,8.63747899694211e-19,8.53911963886723e-19,8.48624845188653e-19
が良く,1.51837920259993e-19,2,10,0,1,0,3,6,10,0,3,1,2,5,0,0,1,4,8,4,2,0,1,1,1,0,0,2,3,0,0,0,0,2,0,1,0,0,1,0,0,6,3,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0
の良い,1.5155505733503e-19,2,20,0,1,14,1,2,12,13,0,1,11,3,2,0,2,7,4,0,1,0,4,2,0,0,5,5,1,0,0,0,0,2,0,0,0,15,0,0,2,2,4,5,3,0,0,1,0,1,0,0,0,5,0,0,1,1,0,0,0
がよく,1.41804740368255e-19,0,5,1,2,1,1,4,5,1,2,0,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
のよい,1.35826601767207e-19,2,6,0,1,3,1,0,5,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もよく,1.20951258003967e-19,3,5,6,6,0,6,0,4,0,0,0,6,5,0,0,0,1,5,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,1,0,11,0,0,0,1,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0
が良いです,1.16632757944972e-19,1,7,7,1,0,0,0,15,2,0,2,5,2,0,0,0,1,4,2,0,1,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,2,0
も良いです,1.11852080990016e-19,2,4,5,0,0,4,0,1,0,0,3,2,4,0,0,3,0,9,0,0,1,0,1,0,0,0,0,2,2,0,1,0,1,0,1,0,0,1,0,0,5,0,0,0,1,0,0,1,1,1,0,1,0,2,1,2,0,0,0,1
も良く,1.11677203769128e-19,5,6,7,0,0,3,6,4,0,0,3,12,6,2,1,6,6,12,0,0,0,1,0,0,1,0,1,7,1,1,2,0,1,0,0,1,0,0,0,0,14,1,3,0,0,1,1,0,1,0,0,4,1,0,0,5,1,0,1,0
が悪い,1.11296828647167e-19,0,6,36,0,0,2,6,7,0,1,0,3,5,1,2,0,2,6,2,2,7,2,2,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,2,12,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,0,1
が悪く,1.09754276607311e-19,0,2,6,0,0,0,1,1,0,0,0,2,3,2,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
がいいです,1.02329268615715e-19,2,3,6,1,0,0,0,12,9,1,0,1,1,1,1,1,1,3,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,1,1
も良好です,9.79208998347403e-20,1,0,1,1,0,0,2,1,0,1,0,0,2,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
が良い,9.36077210785136e-20,1,14,24,0,1,0,8,17,7,0,2,6,3,2,1,0,4,4,1,0,1,0,0,0,0,1,0,7,0,0,0,0,2,1,0,0,2,2,1,1,24,1,2,0,0,1,0,0,0,4,1,1,1,0,1,4,1,1,0,1
が良いので,9.32885733620432e-20,0,2,2,0,6,1,1,3,0,0,1,1,3,0,1,2,1,2,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪いと,9.17847139198689e-20,1,4,6,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,9.0155366100859e-20,0,3,6,0,0,0,0,6,2,0,1,3,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
は良好です,8.80271252538038e-20,1,3,0,0,0,1,0,5,0,1,0,3,9,0,1,0,1,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
の悪い,8.70566815651854e-20,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
がいい,8.41773151806477e-20,0,4,10,0,3,3,1,1,9,0,0,1,1,0,2,1,5,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,9,0,2,0,0,0,0,1,0,1,0,2,1,0,0,4,0,0,1,1
もいいです,8.17042855667462e-20,0,0,6,0,0,1,1,1,0,1,2,1,3,0,0,1,0,3,0,0,1,0,0,2,0,0,0,3,3,0,0,1,1,1,0,0,0,3,1,0,9,0,0,0,0,0,0,0,0,2,1,0,0,1,1,5,0,0,1,0
