"",weight,のよい,の良い,がよく,が良く,の悪い,が悪く,もよく,が悪いと,も良好です,が良いです,がいいです,も良く,が良いのか,が悪い,も良いです,の高い,が良くて,がよい,もいいですね,は良好です,もよい,はいいと,は良く,を上げて,にある,が良い,が悪いです,が悪いので,もいいです,がいいと,がいい,が良いので,で満足しています,がいいので,が良いと,を考えると,も良くて,が感じます,はいいですね,があります
weight,"",8.73820752931556e-10,8.26259580208549e-10,8.07517277870955e-10,7.73639812577241e-10,7.57777092642863e-10,6.26202989105519e-10,5.98027988409417e-10,5.80562749147104e-10,5.67925244306225e-10,5.61170239958277e-10,5.51022245814068e-10,5.36500736452364e-10,5.14480392249558e-10,5.14288957890369e-10,5.11157297441184e-10,5.09949691852972e-10,4.65984944183781e-10,4.64021593586396e-10,4.5774583031395e-10,4.4706311765552e-10,4.44762916775285e-10,4.4068270023944e-10,4.40643950053053e-10,4.363463128112e-10,4.31046206802084e-10,4.29481904061975e-10,4.23042823815369e-10,4.14346025542648e-10,4.04860404536747e-10,4.04083455817026e-10,4.02239192625197e-10,3.9471407983748e-10,3.91521941674872e-10,3.9124656866262e-10,3.82355672407705e-10,3.81742230085714e-10,3.7963486967052e-10,3.77487341512319e-10,3.73790920126656e-10,3.72718556918566e-10
色のり,4.5524743831021e-11,1,1,2,1,1,0,6,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
色乗り,4.53576876382585e-11,2,2,0,2,0,0,3,1,1,1,2,5,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
評判,4.31001857553554e-11,3,14,1,0,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,6,0,2,0,0,0,0,0,0
レスポンス,4.18482083433479e-11,0,2,4,6,0,1,0,0,2,0,0,6,0,6,0,0,1,0,0,0,1,0,1,1,0,8,0,0,1,0,1,1,1,1,0,0,2,0,0,0
出来,3.98525793745306e-11,1,5,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
持ち,3.85884785702247e-11,0,0,1,0,0,6,0,5,0,4,1,0,0,30,0,0,1,6,0,0,0,0,2,0,0,22,9,4,0,1,9,2,0,6,2,0,0,1,2,0
バランス,3.70428785946832e-11,6,20,5,10,0,2,5,4,0,7,3,6,1,6,4,2,1,3,0,3,0,4,3,0,0,14,2,1,0,4,4,2,0,0,9,8,0,3,2,0
気持ち,3.64178637920259e-11,3,13,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,1,0,0,0,0,0,0
重量バランス,3.58443213590563e-11,0,0,2,3,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0
発色,3.55634875671317e-11,1,1,1,3,0,0,6,0,0,0,0,3,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0
相性,3.49785957610249e-11,0,1,0,1,0,0,0,0,0,2,0,3,1,0,3,0,0,1,0,0,0,2,2,0,0,2,0,1,2,2,0,1,0,0,2,0,1,0,0,0
