"",weight,のよい,の良い,が良く,がよく,もよく,も良く,が悪く,の悪い,も良好です,が良いです,も良いです,が悪い,がいいです,が良い,が悪いと,もいいです,は良好です,がよい,が良いのか,が良いので,がいい,の高い,がいいので,は良く,は良い,もよい,もいいですね,が良くて,にある,が悪いです,を考えると,もいい,も良いので,は感じです,が良いと,も悪くなく,もいいし,はいいと,も良くて,で満足しています
weight,"",2.35256403385423e-14,2.33499171650343e-14,2.3291269062073e-14,2.31359067386586e-14,2.04767518401407e-14,1.82062000965802e-14,1.80112408064435e-14,1.77834515483632e-14,1.71643889478758e-14,1.69592337331225e-14,1.67778672831923e-14,1.64760086796634e-14,1.57881273637674e-14,1.55187867321722e-14,1.49665413271096e-14,1.43955643181673e-14,1.39408762106334e-14,1.39293677292667e-14,1.36967059049715e-14,1.33921853324158e-14,1.31475728970014e-14,1.2574235135988e-14,1.22472935979326e-14,1.21762692638985e-14,1.19802862010348e-14,1.19741854893085e-14,1.19469578034876e-14,1.1524877565622e-14,1.09756033757507e-14,1.09271992486215e-14,1.08268988385818e-14,1.07913770477343e-14,1.07210574497711e-14,1.07002752097047e-14,1.06976498550674e-14,1.06792248903386e-14,1.02333997972382e-14,1.0132469704385e-14,9.92774702608792e-15,9.89245976856905e-15
色のり,1.77324651973756e-15,1,1,1,2,6,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,0,1,1,0,0,2
色乗り,1.72881860278021e-15,2,2,2,0,3,5,0,0,1,1,2,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
評判,1.57361395574374e-15,3,14,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,6,3,3,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
レスポンス,1.5485505592152e-15,0,2,6,4,0,6,1,0,2,0,0,6,0,8,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
発色,1.50203719577498e-15,1,1,3,1,6,3,0,0,0,0,4,2,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0
重量バランス,1.49026789792043e-15,0,0,3,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0
気持ち,1.3960073865421e-15,3,13,0,1,0,0,0,0,0,2,0,0,9,7,0,0,0,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,1.33697857915622e-15,1,5,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
持ち,1.31120041628136e-15,0,0,0,1,0,0,6,0,0,4,0,30,1,22,5,0,0,6,0,2,9,0,6,2,3,0,0,1,0,9,0,0,0,2,2,0,0,0,0,0
ホールド性,1.28346322020442e-15,0,0,4,1,0,0,1,0,0,2,0,2,0,1,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,1.28235624499288e-15,0,3,5,1,5,6,3,0,2,2,4,5,1,3,0,3,9,0,0,3,1,0,1,1,7,0,0,1,0,0,0,3,4,3,1,1,0,0,0,0
反応,1.24583247687873e-15,0,2,1,1,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,1.24134009670846e-15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0
質,1.23106000731892e-15,1,4,1,0,0,1,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,1.22629193482443e-15,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
相性,1.22600236363555e-15,0,1,1,0,0,3,0,0,0,2,3,0,0,2,0,2,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0
