"",weight,持ち,色乗り,評判,色のり,バランス,レスポンス,気持ち,発色,携帯性,重量バランス,使い勝手,操作性,写り,相性,視認性,ホールド感,感度,ホールド性,音,描写,反応,色,出来,質,ヌケ,デザイン,もち,見た目,取り回し,ボケ味,位置,配置,操作感,天気,画質,精度,条件,シャッター音,描写力,画像,感触,カメラ,切れ,解像度,電池持ち,AF精度,レンズ,性能,補正,感じ
weight,"",5.54754935802149e-11,5.5196280036599e-11,5.29231839096077e-11,5.27019541811764e-11,5.19773296248616e-11,5.16928056885783e-11,5.14134298433603e-11,5.11116898500024e-11,4.71715674968289e-11,4.48414938534063e-11,4.44769596235354e-11,4.44130563291414e-11,4.39253999308636e-11,4.34615869642932e-11,4.27864995393703e-11,4.22285132878614e-11,4.12442553709086e-11,4.078808147625e-11,4.01704250650862e-11,3.97376807587449e-11,3.95140556209003e-11,3.90166173126338e-11,3.87108719120515e-11,3.79081131345047e-11,3.72109397282305e-11,3.70311425491781e-11,3.66740766295138e-11,3.59901251329984e-11,3.51753798543363e-11,3.44512278625783e-11,3.39547162270771e-11,3.30804400543785e-11,3.251497420515e-11,3.19087550623548e-11,3.13926332295166e-11,3.02969415307935e-11,3.00494614627405e-11,2.9996853598853e-11,2.99232441043695e-11,2.95753530266256e-11,2.91603686471242e-11,2.88905661496592e-11,2.88523290634694e-11,2.84133904863927e-11,2.76461728028057e-11,2.63678607529124e-11,2.62521111382838e-11,2.5955709333904e-11,2.59418911440104e-11,2.56417734915629e-11
の良い,4.57682145168227e-12,0,2,14,1,20,2,13,1,11,0,12,4,7,1,2,3,1,0,0,2,2,0,5,4,5,1,0,0,0,0,0,0,0,15,2,2,2,0,0,0,0,3,4,0,0,1,5,5,0,0
が良く,4.49387821892256e-12,0,2,0,1,10,6,0,3,2,3,10,8,4,1,0,5,2,4,0,1,1,0,0,1,2,3,0,1,0,0,0,1,0,0,6,2,0,0,0,0,1,0,3,0,0,0,1,0,0,0
がよく,4.26078524193634e-12,1,0,1,2,5,4,1,1,0,2,5,3,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
のよい,4.19674369512397e-12,0,2,3,1,6,0,3,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
もよく,3.58877804377539e-12,6,3,0,6,5,0,0,6,6,0,4,5,1,0,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,11,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0
が良いです,3.47596733329401e-12,7,1,0,1,7,0,2,0,5,0,15,4,1,2,0,2,0,2,0,0,0,0,1,1,0,2,1,0,1,1,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
も良く,3.39252283475025e-12,7,5,0,0,6,6,0,3,12,0,4,12,6,3,2,6,0,0,1,6,0,1,0,1,1,7,0,0,2,1,0,0,0,0,14,1,0,1,1,0,0,0,1,1,0,1,1,3,0,0
が悪く,3.27782537643512e-12,6,0,0,0,2,1,0,0,2,0,1,0,0,0,2,3,1,1,1,0,1,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も良いです,3.24304680799395e-12,5,2,0,0,4,0,0,4,2,0,1,9,0,3,0,4,0,0,0,3,1,0,0,0,0,2,1,0,1,2,0,1,0,0,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
が悪い,3.17121468739199e-12,36,0,0,0,6,6,0,2,3,1,7,6,2,0,1,5,2,2,1,0,2,2,0,2,0,0,7,0,0,0,5,0,0,0,12,2,2,0,0,1,0,0,0,1,0,2,1,0,0,0
がいいです,3.0425188011077e-12,6,2,0,1,3,0,9,0,1,1,12,3,1,0,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
も良好です,2.98843256213257e-12,1,1,0,1,0,2,0,0,0,1,1,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
の悪い,2.8166227841608e-12,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
が良い,2.8034734231172e-12,24,1,1,0,14,8,7,0,6,0,17,4,4,2,2,3,0,1,0,0,0,1,1,0,0,7,1,0,0,0,0,0,1,2,24,2,1,0,0,1,2,0,1,1,0,0,1,2,0,4
が悪いと,2.78413466306482e-12,6,1,0,0,4,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0
がよい,2.66757956685897e-12,6,0,0,0,3,0,2,0,3,0,6,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,4,1,0
が良いので,2.63549790776968e-12,2,0,6,0,2,1,0,1,1,0,3,2,1,1,0,3,1,1,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
は良好です,2.60820766828556e-12,0,1,0,0,3,0,0,1,3,1,5,6,1,0,0,9,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の高い,2.42977301644602e-12,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,1,0,0
がいい,2.41201228543755e-12,10,0,3,0,4,1,9,3,1,0,1,1,5,0,0,1,0,1,0,1,0,2,0,0,0,1,1,2,0,0,0,0,2,0,9,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1
もいいです,2.40531315082486e-12,6,0,0,0,0,1,0,1,1,1,1,3,0,2,0,3,0,0,0,1,0,0,0,0,0,3,1,2,0,3,1,0,1,0,9,1,0,0,0,1,3,0,0,0,0,0,0,0,0,2
がいいので,2.3312687207202e-12,6,0,2,0,0,1,1,0,5,0,1,2,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
は良い,2.29534199000695e-12,4,0,0,1,2,1,0,0,3,0,1,2,3,0,0,7,0,1,0,1,0,2,0,0,1,2,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0
は良く,2.21494169408767e-12,2,0,1,0,3,1,0,0,4,0,1,2,2,2,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,1,0,1,1,0,2,1
が良いのか,2.16304269354417e-12,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
もいい,2.14045969572775e-12,0,0,2,0,2,0,0,1,0,0,1,5,3,0,0,3,1,0,0,1,0,2,0,0,0,2,0,1,0,2,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
が悪いです,2.13108731620767e-12,10,0,0,0,2,0,0,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
が良くて,2.07658684374898e-12,2,1,0,0,1,1,0,0,1,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0
も良いので,2.06624286072186e-12,4,0,0,0,3,0,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
もよい,2.02046847009541e-12,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
が良くない,1.99168995802097e-12,5,0,0,0,1,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
もいいですね,1.9782504669182e-12,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良いです,1.95855988833565e-12,10,1,0,1,5,1,0,2,3,0,10,6,4,0,0,14,0,2,0,5,0,0,1,0,0,2,1,0,0,0,0,0,1,0,13,1,0,0,1,2,6,2,0,1,0,1,10,0,0,3
が悪いので,1.95113144861304e-12,5,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
が高い,1.93622863379891e-12,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,6,0,1,0,2,0,0
がいいと,1.90708533668386e-12,2,0,0,0,4,0,0,0,1,0,3,0,1,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
は感じです,1.89960472692366e-12,2,0,0,2,0,0,0,1,2,0,0,3,1,0,1,3,0,0,0,0,0,1,0,0,0,5,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0
はいいと,1.89526773704375e-12,0,0,0,0,4,0,0,0,0,0,3,9,2,2,0,0,0,0,0,0,0,0,1,0,0,6,2,0,1,0,1,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,3,3,0,1
がよいです,1.8863922899483e-12,1,0,1,0,0,0,2,0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
を考えると,1.88062848573679e-12,0,0,0,0,8,0,0,0,3,1,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,12,1,0
が感じます,1.87645660273932e-12,2,0,0,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
も悪くなく,1.82991151646236e-12,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいし,1.81087610681469e-12,0,0,0,1,0,0,0,2,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いと,1.80021497088364e-12,2,0,0,0,9,0,0,0,1,2,6,2,2,2,0,1,1,0,1,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0
も良いですね,1.76085997447902e-12,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
は良いと,1.75380133089154e-12,8,0,0,1,8,1,0,0,12,0,5,10,5,1,0,4,0,0,0,0,2,1,0,0,0,11,1,0,0,0,0,0,1,0,19,2,0,0,1,0,1,1,0,0,0,0,2,3,1,1
