"",weight,色のり,色乗り,評判,発色,重量バランス,レスポンス,気持ち,バランス,出来,ホールド性,反応,質,相性,携帯性,ヌケ,ホールド感,持ち,視認性,音,感度,取り回し,配置,使い勝手,写り,位置,色,見た目,描写,操作感,ボケ味,操作性,天気,電池持ち,精度,デザイン,カメラ,描写力,シャッター音,切れ,色合い
weight,"",3.68491668986382e-22,3.47875675182893e-22,3.31815404344323e-22,3.21611715585538e-22,3.11355174269185e-22,3.05249152543808e-22,2.93977904397698e-22,2.76702348928985e-22,2.68121841621698e-22,2.61899637518645e-22,2.56761230468044e-22,2.53919272729395e-22,2.50705584641794e-22,2.46869905838036e-22,2.45894878398003e-22,2.45755456581997e-22,2.41074758481438e-22,2.33099594613895e-22,2.32641607273142e-22,2.28240238250395e-22,2.2723895729262e-22,2.27198511355617e-22,2.26965100016268e-22,2.24787478440532e-22,2.22856208660184e-22,2.22505447001871e-22,2.15215231340537e-22,2.13493156367263e-22,2.12329133763092e-22,2.09513017953127e-22,2.09180641890739e-22,2.06419295629445e-22,2.00144988699736e-22,1.97796841152086e-22,1.97239335891807e-22,1.88020947709991e-22,1.85088744481375e-22,1.84795308171661e-22,1.79065258137453e-22,1.78207435353131e-22
のよい,2.70976752525443e-23,1,2,3,1,0,0,3,6,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
がよく,2.66248611403829e-23,2,0,1,1,2,4,1,5,0,1,1,0,0,0,0,1,1,1,0,0,1,1,5,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1,0,0
が良く,2.59787924520634e-23,1,2,0,3,3,6,0,10,0,4,1,1,1,2,2,5,0,0,0,2,0,1,10,4,0,0,1,1,0,0,8,0,0,2,3,0,0,0,3,0
の良い,2.4818645993908e-23,1,2,14,1,0,2,13,20,5,0,2,4,1,11,5,3,0,2,0,1,0,0,12,7,0,0,0,2,0,0,4,15,0,2,1,3,0,0,4,1
もよく,2.23771872914428e-23,6,3,0,6,0,0,0,5,0,0,1,0,0,6,1,5,6,0,0,0,0,0,4,1,1,0,0,0,2,0,5,0,1,0,1,0,0,0,0,2
の悪い,2.13343330990197e-23,1,0,3,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
も良好です,1.83801622130525e-23,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,1,1,1,2,3,0,0,0,0,0,1,1,0,0
が良いです,1.80285107200663e-23,1,1,0,0,0,0,2,7,1,2,0,1,2,5,0,2,7,0,0,0,1,0,15,1,0,0,0,0,0,1,4,0,1,0,2,0,0,0,0,0
が悪く,1.77903483023476e-23,0,0,0,0,0,1,0,2,0,1,1,1,0,2,0,3,6,2,1,1,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良いです,1.77034249865921e-23,0,2,0,4,0,0,0,4,0,0,1,0,3,2,0,4,5,0,0,0,1,1,1,0,0,0,0,3,0,2,9,0,1,1,2,0,0,0,0,1
も良く,1.68402452290993e-23,0,5,0,3,0,6,0,6,0,0,0,1,3,12,1,6,7,2,1,0,2,0,4,6,0,1,0,6,0,1,12,0,0,1,7,0,1,1,1,1
がいいです,1.64900070005035e-23,1,2,0,0,1,0,9,3,0,0,1,0,0,1,0,1,6,1,2,0,0,0,12,1,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0
が良い,1.60630086997321e-23,0,1,1,0,0,8,7,14,1,1,0,0,2,6,0,3,24,2,0,0,0,0,17,4,0,1,0,0,1,0,4,2,0,2,7,0,0,0,1,0
が良いのか,1.56525165979655e-23,0,0,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
が悪いと,1.55770469271897e-23,0,1,0,0,0,0,0,4,0,0,0,1,0,2,1,0,6,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪い,1.4811361014762e-23,0,0,0,2,1,6,0,6,0,2,2,2,0,3,0,5,36,1,1,2,0,0,7,2,5,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0
の高い,1.45460726826315e-23,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
は良好です,1.41859102543508e-23,0,1,0,1,1,0,0,3,0,3,0,0,0,3,0,9,0,0,0,0,0,0,5,1,0,1,0,0,2,0,6,0,0,0,1,0,0,0,0,0
は良い,1.36358960061745e-23,1,0,0,0,0,1,0,2,0,1,0,0,0,3,1,7,4,0,0,0,0,0,1,3,0,2,0,1,1,0,2,0,1,0,2,0,1,0,0,1
がいい,1.35407467031286e-23,0,0,3,3,0,1,9,4,0,1,0,0,0,1,0,1,10,0,0,0,0,0,1,5,0,2,2,1,2,0,1,0,0,0,1,0,0,0,0,0
が良いので,1.34185337657056e-23,0,0,6,1,0,1,0,2,0,1,0,0,1,1,0,3,2,0,0,1,1,0,3,1,0,1,0,2,0,0,2,0,1,1,2,1,1,0,0,0
は良く,1.31743327168565e-23,0,0,1,0,0,1,0,3,0,0,0,0,2,4,0,1,2,2,1,0,0,0,1,2,0,0,0,3,1,0,2,0,0,0,0,0,1,0,0,0
もよい,1.30713229840292e-23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,1.30163785996269e-23,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,3,6,0,0,0,0,0,1,0,1,0,2,1,1,3,3,0,0,1,3,0,0,0,0,0
もいいですね,1.29739899803855e-23,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,1.29147859441794e-23,0,0,0,0,0,0,2,3,0,0,0,0,1,3,0,0,6,0,2,0,0,0,6,0,0,0,0,0,1,0,2,1,0,1,1,0,0,0,0,0
にある,1.27446823549378e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,0,0,5,1,0,1,0,0,1,0,0,3,0,0,0
もいい,1.2048057946111e-23,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,3,0,2,1,1,0,2,5,0,0,0,2,0,0,1,0,1
があり,1.17689163150135e-23,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0
で満足しています,1.1646871422489e-23,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1
といい,1.15600072930551e-23,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
も悪くなく,1.14765547315661e-23,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
もある,1.13607090465316e-23,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0
もいいし,1.13007122343502e-23,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
が良くて,1.11063144412582e-23,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
は感じです,1.10866981482732e-23,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,5,0,0,1,0,1
はいいと,1.10530805047379e-23,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,9,0,0,1,6,1,0,0,0,0
が良いと,1.07371652757182e-23,0,0,0,0,2,0,0,9,1,0,0,0,2,1,0,1,2,0,1,1,0,0,6,2,0,0,0,4,0,0,2,0,0,0,1,1,0,0,0,0
も良くて,1.07026428618693e-23,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
がいいと,1.06929698094629e-23,0,0,0,0,0,0,0,4,1,0,0,0,2,1,0,1,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
がいいので,1.06536527865708e-23,0,0,2,0,0,1,1,0,0,0,0,0,0,5,0,1,6,0,0,0,0,0,1,2,1,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0
も気に入っています,1.06190760312518e-23,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,1,2,1,0
があります,1.05890263923477e-23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
を考えると,1.05873585261279e-23,0,0,0,0,1,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0
がよいです,1.04569798554166e-23,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
