"",weight,が悪い,が良い,が良く,の良い,が悪く,もよく,にあります,も良く,のよい,もいいです,も良いです,が良いです,がよい,が高い,の高い,がいいです,は良いです,がよく,がいい,はいいです,はありません,も満足しています,にある,は高いです,がある,の悪い,がなります,になり,になります,にあるので,は良いと,があり,が良いと,も悪くなく,があります,が高いので,もなく,は思います,も良い,がいいので,は感じです,は高い,にあり,が高く,になる,がなる,を上げて,はいいと,が悪いと,もありません,は抜群で,にあると,にありません,が悪いのか,を上げる,は感じます,を上げると,のある,はなく,が好きです,が違います,を上げた,は良いですが,もいいですね,は良い,を考えると,はないので,になりました,といい,があれば,をした,が高いと,にない,を考えれば,が良くなく,に優れた,を上げても,が遅い,は良く,がありますが,は高いと,は好みです,がよいです,は最高です,もいい,も高い,が絶妙です,が鈍い,が良くない,が悪くなる,やMF対応などの,がする,が良いので,は無く,はないと,は素晴らしいです,も良好です,が良くないので,は良好です,は悪いです
weight,"",0.0249659210952407,0.00960539425857513,0.00823688932886431,0.0072040124426596,0.00683708635452213,0.00526989186256176,0.00508330187252203,0.00500731000161047,0.00497112245685634,0.00493038361856877,0.004929196743359,0.00486257339771734,0.00472746192905861,0.00453755112820594,0.00453459788706375,0.00448395704140345,0.0043480360875754,0.00431842249399106,0.00431298146753147,0.00426155570781587,0.00417184226310422,0.00411302540551872,0.0040192942237486,0.00396221668700062,0.00387441708658858,0.00383888467125306,0.00383155635461342,0.0037536251856469,0.00370053413879033,0.0036395052676508,0.003627561454139,0.00360239872424615,0.00357409802339756,0.00346934936172573,0.00341164856798304,0.00337147048397679,0.00334735323258206,0.00334173082111289,0.0033168733231897,0.0032265383637565,0.00322463886186063,0.00320120801064202,0.00319952481894583,0.00315465889795728,0.00313428741034552,0.00312036272750412,0.00310511738559664,0.00305949554248755,0.0030077737083002,0.0030027185563785,0.00299760092575862,0.00298084754113857,0.00295137286632664,0.00293555745580386,0.00289221714681734,0.00287451890818823,0.00287208530428472,0.00286312101457174,0.00286241779245983,0.00286181168858904,0.00285616201246896,0.00283631438776609,0.0027809287562258,0.00277833696028813,0.00275196058749845,0.00274201235330849,0.00268896398841067,0.00268813820100588,0.00268350167375034,0.00265649725465892,0.00265331740378182,0.00265290280610125,0.00265174563584178,0.0026377885103055,0.00262074910716824,0.00261217148008836,0.0026019093068896,0.0025923310387533,0.00258463909903958,0.00257494344700755,0.0025426551798792,0.0025314251965675,0.0025252827060384,0.00252199481888514,0.0025205123515667,0.00245570417323321,0.00244824350337906,0.00243081453975678,0.00241942295869728,0.00238226893563725,0.00235691898387637,0.00234361332096754,0.00233829929862273,0.00233789200443687,0.00232853282826691,0.0023279271982585,0.00232754887794139,0.00232009338335359,0.00231459795228682,0.00231111887892552
持ち,0.000397733291613988,30,22,0,0,6,0,0,0,0,0,0,4,6,0,0,1,5,1,9,1,7,0,0,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,5
バランス,0.000368215418749857,6,14,10,20,2,5,0,6,6,0,4,7,3,2,2,3,5,5,4,0,0,1,0,0,0,0,0,0,1,0,8,0,9,1,0,0,1,0,1,0,0,0,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,8,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,3,1
使い勝手,0.000345531388539764,7,17,10,12,1,4,0,4,5,1,1,15,6,0,0,12,10,5,1,3,4,0,0,0,0,0,0,0,0,0,5,0,6,1,1,0,1,1,1,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,1,0,0,0,1,0,0,0,3,0,0,0,1,0,5,0
レスポンス,0.000338074655222106,6,8,6,2,1,0,0,6,0,1,0,0,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
位置,0.000330356892974709,5,0,0,0,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2,0,0,6,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,0.000286875425476789,5,3,5,3,3,5,0,6,0,3,4,2,0,1,0,1,14,1,1,2,9,2,0,1,0,0,0,0,0,0,4,2,1,1,1,0,0,4,1,1,3,0,0,1,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,3,0,0,0,2,0,9,1
もち,0.000284073032257137,7,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
操作性,0.000262992059788737,6,4,8,4,0,5,1,12,0,3,9,4,2,3,0,3,6,3,1,4,11,2,1,1,0,1,0,1,0,0,10,1,2,1,0,0,2,11,8,2,3,0,2,1,0,0,0,9,0,1,4,0,3,0,0,2,0,0,1,1,0,0,2,0,2,3,2,0,1,1,0,0,1,1,0,2,0,0,2,0,0,0,1,1,5,0,0,0,1,0,0,0,2,1,4,0,3,1,6,3
質,0.000262662226715931,2,0,1,4,1,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
