"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良く,も良いです,が悪く,がいいです,も良好です,が良い,がよい,が良いので,が悪いと,がいい,は良好です,もいいです,は良く,の悪い,は良い,がいいので,もいい,が悪いです,はいいと,が良くて,が良いと,も良い,も良いので,の高い,は良いです,はいいですね,が高い,を考えると,が感じます,が良くない,がいいと,が良いのか,が悪いので,も悪くなく,は良いと,があります,はいいです,もいいですね,のある,は感じです,もよい,も良いと,も満足しています,も高く,といい,がよいです,も気に入っています,もいいし,は悪いです,も良いですね,はありません,にありません,もある,が高いので,がイマイチ,にある,も良好,は良いのですが,もあります,が違います,もありません,があり,は落ちますが
weight,"",9.71983149429207e-13,9.32707617757344e-13,8.89493398059161e-13,8.35352586718204e-13,7.86637336463068e-13,7.82917581597873e-13,7.7619855461193e-13,7.49063955519362e-13,7.42196347068448e-13,6.98082156000018e-13,6.55762650533529e-13,6.17860961575202e-13,6.1529088040519e-13,6.07655872315423e-13,6.04969689513747e-13,5.94006490450363e-13,5.7824666227913e-13,5.71541328376355e-13,5.48260083915114e-13,5.33364952594306e-13,5.13375333352039e-13,5.12385785869209e-13,5.06168992214087e-13,4.89215651205435e-13,4.73633877465401e-13,4.68284325437812e-13,4.64166037047003e-13,4.62443950790654e-13,4.60742837982871e-13,4.53973048628059e-13,4.46141551153546e-13,4.44042698552507e-13,4.37595304081068e-13,4.30283012870155e-13,4.27454527525322e-13,4.2741588988961e-13,4.25375915817481e-13,4.23158080250942e-13,4.15314900864133e-13,4.15156230945312e-13,4.14026421514115e-13,4.08507623038994e-13,4.0330142739594e-13,4.02087376687655e-13,3.98497235873051e-13,3.9704746305839e-13,3.90545249304414e-13,3.90171285344045e-13,3.89590846769815e-13,3.8820198407214e-13,3.85367435817577e-13,3.84713537757572e-13,3.83739224525905e-13,3.76593862182443e-13,3.75669961160897e-13,3.72880706526494e-13,3.66413491075927e-13,3.65906920678189e-13,3.64089518003771e-13,3.63618917280447e-13,3.5674314813371e-13,3.48169456113865e-13,3.47937226602873e-13,3.47545863664204e-13,3.4494386376354e-13,3.39479343215606e-13,3.37519688715608e-13,3.36727044575465e-13,3.34505840699402e-13,3.32998687391978e-13
バランス,5.57598795834943e-14,10,20,5,6,7,5,6,6,4,2,3,0,14,3,2,4,4,3,0,3,0,2,0,2,2,4,1,9,1,3,2,5,2,2,8,3,1,4,1,1,1,8,0,0,0,0,0,0,11,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
色乗り,4.95952267120978e-14,2,2,0,2,1,3,0,5,2,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
持ち,4.90269505862921e-14,0,0,1,0,4,0,30,0,0,6,1,0,22,6,2,5,9,0,0,2,0,3,6,0,9,0,1,2,0,0,0,5,2,0,0,1,5,1,0,4,0,6,0,1,0,0,2,0,0,0,0,0,1,0,0,5,0,7,0,0,0,0,0,0,1,1,0,0,0,1
使い勝手,4.57291038403421e-14,10,12,5,5,15,4,7,4,1,1,12,1,17,6,3,1,1,5,1,1,0,1,1,1,2,3,1,6,1,0,0,10,0,0,4,1,1,3,0,0,1,5,1,3,1,0,0,0,1,0,0,0,5,1,1,0,1,4,1,0,0,0,0,1,0,0,0,1,0,0
発色,4.52873195228112e-14,3,1,1,1,0,6,2,3,4,0,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,4,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
色のり,4.49955527290562e-14,1,1,2,1,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
レスポンス,4.4724497943582e-14,6,2,4,0,0,0,6,6,0,1,0,2,8,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
評判,4.37877348745434e-14,0,14,1,3,0,0,0,0,0,0,0,0,1,0,6,0,3,0,0,1,3,0,2,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,4.09321939677321e-14,0,13,1,3,2,0,0,0,0,0,9,0,7,2,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
