"",weight,バランス,色のり,色乗り,評判,レスポンス,重量バランス,携帯性,発色,使い勝手,気持ち,写り,持ち,操作性,ホールド性,出来,相性,描写,反応,ヌケ,ホールド感,質,視認性,見た目,ボケ味,デザイン,取り回し,感度,色,位置,操作感,配置,天気,音,性能,精度,描写力,電池持ち,シャッター音,感触,色合い
weight,"",1.15062994223512e-17,1.10503107272603e-17,1.08013465765221e-17,1.02134041423793e-17,9.73358571048638e-18,9.46676151377032e-18,9.42547099369394e-18,9.26317883133719e-18,8.69152248378935e-18,8.6609073458104e-18,8.44796083272876e-18,8.35006925830647e-18,8.1229253701279e-18,8.07480501739897e-18,7.99268381303222e-18,7.9874629405905e-18,7.96331058006543e-18,7.72656889868165e-18,7.63535995742213e-18,7.55068786328201e-18,7.50169495718437e-18,7.26995268126397e-18,7.24209786414085e-18,7.08746861669613e-18,7.07116893688911e-18,6.77592889951417e-18,6.67402621201735e-18,6.62929983911859e-18,6.56430044852621e-18,6.39260872607136e-18,6.36434513481342e-18,6.32263791744128e-18,6.24910007087845e-18,6.14754156105336e-18,6.11496498774404e-18,6.04567107338332e-18,5.84596751304862e-18,5.73797354547382e-18,5.55979978280039e-18,5.54820494696323e-18
のよい,8.35340707785656e-19,6,1,2,3,0,0,0,1,5,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
がよく,8.06093107458591e-19,5,2,0,1,4,2,0,1,5,1,0,1,3,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
が良く,7.10748196680544e-19,10,1,2,0,6,3,2,3,10,0,4,0,8,4,0,1,1,1,2,5,1,0,1,0,3,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0
の良い,6.81210999971222e-19,20,1,2,14,2,0,11,1,12,13,7,0,4,0,5,1,2,2,5,3,4,2,0,0,1,0,1,0,0,0,0,15,0,5,2,0,0,0,0,1
の悪い,6.53176919740228e-19,0,1,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
もよく,6.41347368790694e-19,5,6,3,0,0,0,6,6,4,0,1,6,5,0,0,0,0,1,1,5,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,2
も良好です,5.55448514017605e-19,0,1,1,0,2,1,0,0,1,0,0,1,3,0,0,0,1,0,0,2,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
が良いです,5.3516984539771e-19,7,1,1,0,0,0,5,0,15,2,1,7,4,2,1,2,0,0,0,2,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0
が悪く,5.28790707939275e-19,2,0,0,0,1,0,2,0,1,0,0,6,0,1,0,0,0,1,0,3,1,2,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0
が良いのか,5.13754222224421e-19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
が悪いと,4.98227718301007e-19,4,0,1,0,0,0,2,0,1,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
も良いです,4.97689516213072e-19,4,0,2,0,0,0,2,4,1,0,0,5,9,0,0,3,3,1,0,4,0,0,0,2,2,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1
の高い,4.62479308947082e-19,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0
