"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,は良い,がいいので,が良いと,もいい,も良いので,も良い,のある,が良くて,が悪いです,は良いと,はいいと,はいいですね,の悪い,はありません,の高い,も良いと,が感じます,が高い,はいいです,が良くない,があります,も高く,がいいと,も悪くなく,は感じです,があり,が悪いので,も満足しています,といい,は悪いです,が高いので,にありません,も気に入っています,が高く,が良いのか,もいいですね,が違います,もありません,は良いのですが,がよいです,もある,がイマイチ,もよい,にある,もあり,も良好,は最高です,も良いですね,がいいですね,もあります,もいいし,が高いです,はいい,はよく,は思います,も良いし,も高い,もなく,がなります,もあって,がよいと,は落ちますが,を考えると,に満足しています,がある,はよいです,は満足しています,は抜群です,で満足しています
weight,"",1.98820687287405e-21,1.88789251211294e-21,1.7335017569767e-21,1.59221185127167e-21,1.57448540802681e-21,1.55481760261488e-21,1.53603359374318e-21,1.52489139361762e-21,1.47399964316139e-21,1.39861959396442e-21,1.3504017972375e-21,1.30206589124326e-21,1.26664943070169e-21,1.23339250820564e-21,1.21069085242051e-21,1.17279746882833e-21,1.14677487001339e-21,1.1191466148368e-21,1.09605384924713e-21,1.07667940287757e-21,1.04220076503568e-21,1.0249330268148e-21,1.02156202482781e-21,1.01965074265198e-21,9.92189401642184e-22,9.87235462998111e-22,9.73931922543725e-22,9.56876356832043e-22,9.55958568735416e-22,9.34041895946286e-22,9.32386998976347e-22,9.31538715988601e-22,9.07125650984609e-22,8.86478929752107e-22,8.82991179797003e-22,8.66088150407784e-22,8.59067311000768e-22,8.57105679652534e-22,8.45964490472276e-22,8.28127534107869e-22,8.25636981836158e-22,8.25315795342355e-22,8.2360299237732e-22,8.14243320706683e-22,7.96726884008882e-22,7.89485103480868e-22,7.87563743978914e-22,7.87526391298103e-22,7.80178629194387e-22,7.75764452998973e-22,7.73737331867991e-22,7.65323767584753e-22,7.51585465198003e-22,7.47310370865706e-22,7.45700345532491e-22,7.41629317753119e-22,7.38962628781657e-22,7.38149174824851e-22,7.20721819524658e-22,7.18543739262171e-22,7.12907707051522e-22,7.07067228591563e-22,7.05127029303413e-22,7.04831331839529e-22,6.91548294201731e-22,6.90491044916441e-22,6.89823607184384e-22,6.88251036065431e-22,6.81648828644445e-22,6.81587412731226e-22,6.79469793177046e-22,6.78449171076537e-22,6.73894941183305e-22,6.67471626168668e-22,6.59747720894579e-22,6.52138517346613e-22,6.47857681211746e-22,6.41791804614014e-22,6.37659961381019e-22,6.33131101268192e-22,6.30570374032231e-22,6.30415388864936e-22,6.2950345424733e-22,6.23926000977213e-22,6.17735586552705e-22,6.15792761093354e-22,6.15725468961321e-22,6.15047959274641e-22,6.12114806742426e-22,6.10523718099102e-22
バランス,8.70641605780406e-23,10,20,5,6,6,7,5,6,4,14,2,3,3,4,2,0,0,4,3,3,5,2,0,9,2,3,1,0,1,2,8,4,2,0,0,2,11,3,2,0,1,0,0,4,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,8,0,0,1,0,1,0
持ち,7.21019330740751e-23,0,0,1,30,0,4,0,0,0,22,6,1,6,9,2,0,0,5,0,2,5,3,6,2,0,0,0,0,1,9,6,0,2,0,7,0,0,1,0,1,5,0,0,1,0,2,0,4,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0
使い勝手,7.16422517406886e-23,10,12,5,7,4,15,4,5,1,17,1,12,6,1,3,1,1,1,5,1,10,1,1,6,1,0,1,0,1,2,5,3,0,0,4,0,1,1,0,3,1,1,0,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,5,0,0,0,0,0,1,2,1,4,0,1,0,0,0,1,0,0,1,0,0,1,0,4,1,0,0,1,0,0
色乗り,6.74448296028781e-23,2,2,0,0,5,1,3,2,2,1,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,6.58034839301225e-23,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,2,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ホールド感,6.31649408056198e-23,5,3,1,5,6,2,5,0,4,3,3,1,0,1,3,2,3,0,9,1,14,7,1,1,3,4,1,0,1,0,4,0,0,0,9,0,0,1,1,2,2,1,0,1,1,3,2,0,2,2,1,0,2,0,1,0,0,0,5,3,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,3,3,0,0,0,0,2,0,4,0
発色,6.26119643605566e-23,3,1,1,2,3,0,6,1,4,0,0,0,0,3,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0
操作性,6.05418296862828e-23,8,4,3,6,12,4,5,0,9,4,0,3,2,1,2,3,3,0,6,2,6,2,2,2,5,1,8,0,0,2,10,9,1,1,11,0,6,0,3,4,1,0,0,0,1,3,1,0,2,1,3,0,3,0,1,0,0,0,1,4,1,0,1,0,1,0,2,1,0,1,0,0,0,2,1,11,1,0,2,0,0,1,0,3,1,0,4,1,6,1
色のり,5.98313348284461e-23,1,1,2,0,0,1,6,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
