"",weight,が良く,が悪く,が悪い,がよく,の良い,のよい,が悪いと,も良いです,が良いです,の悪い,の高い,がいいです,もよく,が悪いです,も良好です,がよい,も良く,が悪いので,が高い,は良いです,は良好です,もいいです,がなります,を上げて,はいいと,が感じます,が良くない,が良くて,があります,は良く,はいいですね,が良い,がいいので,が悪いのが,も良いので,がイマイチ,を考えると,もいいですね,になります,がいい,を上げると,は良い,にありません,がいいと,がよいです,もよい,が良いのか,にあります,が悪いのと,は高い
weight,"",4.76092584823625e-05,4.30182514266799e-05,3.99898957633194e-05,3.81034167789722e-05,3.63611452304231e-05,3.57970312393031e-05,3.01702141551373e-05,2.93552632978835e-05,2.93410138501953e-05,2.74772419154094e-05,2.71989585624373e-05,2.7136995932298e-05,2.61431185488715e-05,2.55015357569292e-05,2.53719262149431e-05,2.52834501879258e-05,2.48144362838495e-05,2.45463802397072e-05,2.44400422417272e-05,2.41557813537485e-05,2.39531631122697e-05,2.39074479264705e-05,2.25661818553336e-05,2.25513500442123e-05,2.24978594414758e-05,2.2391536916413e-05,2.22668428650253e-05,2.20306610609498e-05,2.18961221254665e-05,2.16582722222184e-05,2.13108598755517e-05,2.12922142607915e-05,2.07778266896786e-05,2.06353051741431e-05,2.06041658114094e-05,2.05813518864988e-05,2.05077637817561e-05,2.00463849886002e-05,1.98121066610291e-05,1.97235717915422e-05,1.97187709805171e-05,1.96798300201944e-05,1.96613318599289e-05,1.94722979181007e-05,1.94098861352649e-05,1.90948778298907e-05,1.90423966280397e-05,1.87858709925345e-05,1.87664361595432e-05,1.85850535680654e-05
持ち,2.62315198369028e-06,0,6,30,1,0,0,5,0,4,0,0,1,0,9,0,6,0,4,0,5,0,0,0,0,0,1,5,1,0,2,2,22,6,3,0,0,0,0,0,9,0,3,0,1,1,0,0,0,3,0
レスポンス,1.98791472878666e-06,6,1,6,4,2,0,0,0,0,0,0,0,0,0,2,0,6,0,0,1,0,1,0,1,0,0,0,1,0,1,0,8,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
色乗り,1.89589110531745e-06,2,0,0,0,2,2,1,2,1,0,0,2,3,0,1,0,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
もち,1.82563385925829e-06,0,0,7,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,1,0,1,1,0,2,1,1,1,0,0,2,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
視認性,1.81172436257035e-06,0,2,1,1,2,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ホールド感,1.78778145518956e-06,5,3,5,1,3,0,0,4,2,0,0,1,5,0,2,0,6,0,1,14,9,3,0,0,0,1,2,1,1,1,0,3,1,0,4,1,0,0,0,1,0,7,2,1,1,0,0,0,1,0
バランス,1.77682603952187e-06,10,2,6,5,20,6,4,4,7,0,2,3,5,2,0,3,6,1,2,5,3,0,0,0,4,3,1,1,0,3,2,14,0,0,3,0,8,0,1,4,0,2,0,4,0,0,1,0,0,0
操作性,1.76455224158111e-06,8,0,6,3,4,0,0,9,4,1,0,3,5,2,3,2,12,0,3,6,6,3,0,0,9,0,1,0,0,2,1,4,2,0,1,1,3,0,0,1,0,2,3,0,1,0,0,1,0,0
色のり,1.73083092326221e-06,1,0,0,2,1,1,0,0,1,1,0,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
