"",weight,が良く,の良い,も良く,がよく,もよく,が悪い,が良いです,も良いです,のよい,が良い,の高い,が悪く,がいいです,が高い,がよい,が良いので,がいい,は良いです,もいいです,も良好です,は良好です,も高く,が悪いと,が高く,は良く,が高いです,は良いと,が高いので,が良いと,がいいので,も良い,は良い,もいい,のある,も良いので,も良いと,が悪いです,が良くて,はいいと,はいいですね,はいいです,はありません,が感じます,は高い,の悪い,は感じです,といい,がいいと,があり,は良いのですが,が良くない,も悪くなく,があります,は最高です,は高く,が悪いので,も高い,も満足しています,は悪いです,が高いと,もありません,にありません,が違います,を考えると,もいいですね,も気に入っています,は高いと,が低い,がよいです,もあり,がいいですね,は落ちますが,にある,が良いのか,は抜群です,もある,も良好,がよいと,もいいし,も良いですね,はいい,はよいです,はよいと,も良いし,はあり,がイマイチ,も含めて,を考えて,にあり,は思います,もよい,がある,もなく,もいいと,もあって,もあります,は感じました,はよく,が違う,は良いですね
weight,"",8.98849456551874e-14,8.52813995805538e-14,7.58778034952348e-14,7.58476068627485e-14,7.2790841134494e-14,7.23415177489245e-14,7.21941239998861e-14,6.84195002453493e-14,6.73908543902677e-14,6.73391209459206e-14,6.21846412928472e-14,6.10747089101403e-14,6.07485066239455e-14,6.05648826638418e-14,5.96023799712052e-14,5.67524780630849e-14,5.54134512453889e-14,5.47641099748604e-14,5.40061997505779e-14,5.38818011152465e-14,5.21140082117419e-14,5.19512263359584e-14,5.1911284345533e-14,5.16899104826576e-14,5.11890206031505e-14,4.92369395614757e-14,4.88173989290552e-14,4.83627392165708e-14,4.82517499886204e-14,4.79428358350316e-14,4.75302419416144e-14,4.7257709662302e-14,4.62095752054037e-14,4.61116984341464e-14,4.42410677618149e-14,4.38388313107032e-14,4.37854087730454e-14,4.36465896876166e-14,4.35091507715672e-14,4.22212355338535e-14,4.11455669130449e-14,4.08209081477316e-14,4.03590776071869e-14,4.03005305695296e-14,3.99935042110095e-14,3.82345617919042e-14,3.81252235951497e-14,3.80223283055193e-14,3.78899627826434e-14,3.77045681861337e-14,3.7494158330525e-14,3.71491222749318e-14,3.71456142463541e-14,3.68253070382514e-14,3.67626443410371e-14,3.6761163378805e-14,3.66969909431956e-14,3.64656753462862e-14,3.64455863312299e-14,3.62853442888224e-14,3.55210743238973e-14,3.54717841696316e-14,3.51267044589919e-14,3.49010964931802e-14,3.47843987061217e-14,3.47702892606948e-14,3.44082520505015e-14,3.4234166127664e-14,3.32979170506283e-14,3.30475675226893e-14,3.28850301583137e-14,3.24622921947828e-14,3.23947629847723e-14,3.23891046574907e-14,3.16469335949098e-14,3.16171677672303e-14,3.15989993099311e-14,3.1325161770703e-14,3.1220040342775e-14,3.11116393901565e-14,3.09069985367169e-14,3.08143599416943e-14,3.065177302048e-14,3.06458934936754e-14,3.05552319966573e-14,3.05444271832923e-14,3.04473616931683e-14,3.01858349042697e-14,3.0035942751971e-14,2.99308242709088e-14,2.97502925145077e-14,2.97218522983859e-14,2.95099982158573e-14,2.90392238802904e-14,2.90077751903565e-14,2.8955244874335e-14,2.87931987074538e-14,2.87276413906629e-14,2.87237861819006e-14,2.87134016102956e-14
バランス,4.49199884857349e-15,10,20,6,5,5,6,7,4,6,14,2,2,3,2,3,2,4,5,0,0,3,0,4,0,3,1,8,0,9,0,1,2,2,0,3,11,2,1,4,2,0,0,3,0,0,0,0,4,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1
使い勝手,3.86086945930497e-15,10,12,4,5,4,7,15,1,5,17,0,1,12,0,6,3,1,10,1,1,5,0,1,0,1,0,5,0,6,1,1,1,1,0,0,1,2,1,3,0,3,4,1,0,0,0,0,3,0,0,1,1,1,2,0,0,0,0,0,0,1,1,0,4,1,1,0,0,5,0,4,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1
持ち,3.8128511798044e-15,0,0,0,1,0,30,4,0,0,22,0,6,1,0,6,2,9,5,0,0,0,0,5,0,2,0,6,0,2,6,0,3,0,0,0,0,9,1,0,2,1,7,1,0,0,2,0,1,0,1,5,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2
色乗り,3.47837495750837e-15,2,2,5,0,3,0,1,2,2,1,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
レスポンス,3.37911780110859e-15,6,2,6,4,0,6,0,0,0,8,0,1,0,0,0,1,1,1,1,2,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ホールド感,3.35741446651966e-15,5,3,6,1,5,5,2,4,0,3,0,3,1,1,0,3,1,14,3,2,9,0,0,1,1,0,4,0,1,1,1,7,3,0,4,0,0,1,0,0,2,9,1,0,0,3,2,1,2,3,2,1,1,0,0,0,0,2,1,0,5,2,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,3,0,0,2,2,1,0,2,1,0,0,0,4,0,0,0,2,3,0,1,0,0,1
発色,3.28578695167509e-15,3,1,3,1,6,2,0,4,1,0,0,0,0,0,0,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,1,0,1,1,0,2,0,0,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,2,1,1,1,0,0,0,0
操作性,3.22289427375069e-15,8,4,12,3,5,6,4,9,0,4,0,0,3,3,2,2,1,6,3,3,6,0,0,1,2,0,10,0,2,2,8,2,5,0,1,6,2,0,9,1,4,11,0,0,1,3,1,0,1,4,1,1,0,1,0,0,0,2,3,0,1,3,0,3,0,0,0,0,1,0,1,0,1,0,6,0,2,1,0,0,2,4,0,1,1,1,1,2,2,11,0,0,2,1,0,0,6,1,0,1
写り,3.19205272088093e-15,4,7,4,0,1,2,1,0,1,4,0,0,1,0,0,1,5,4,0,0,1,1,1,0,2,0,5,0,2,2,2,3,3,0,0,2,0,2,2,4,7,6,0,0,0,1,0,1,0,1,0,1,0,4,0,0,0,1,0,0,8,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,2,1,2,0,0,0,4,4,1,0,0,1,0,1,0,0,1,0
デザイン,3.11062370968755e-15,3,1,7,1,1,0,2,2,0,7,0,0,0,0,1,2,1,2,3,0,1,0,0,0,0,0,11,0,1,0,2,2,2,1,0,4,0,0,6,0,3,0,0,0,0,5,1,1,0,2,0,1,0,2,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,1,3,2,5,0,2,0,0,11,0,0,0,5,1,0,0,1,0,2
相性,3.10586447769442e-15,1,1,3,0,0,0,2,3,0,2,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
色のり,3.06977203972409e-15,1,1,0,2,6,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
携帯性,3.03423197686537e-15,2,11,12,0,6,3,5,2,0,6,0,2,1,1,3,1,1,3,1,0,3,1,2,0,4,0,12,1,1,5,1,3,0,0,1,2,1,1,0,0,10,11,0,0,0,2,1,1,0,5,0,1,0,1,0,2,0,0,5,1,1,1,0,3,1,0,0,0,0,0,0,3,0,0,17,0,0,1,4,0,0,3,2,1,0,0,0,2,1,12,0,0,1,1,0,0,1,0,0,1
評判,3.01780644253893e-15,0,14,0,1,0,0,0,0,3,1,3,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,2.97273945572988e-15,2,2,1,0,0,2,0,1,0,2,1,0,0,4,1,1,0,1,1,0,0,3,0,0,0,1,2,3,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
気持ち,2.90651330039168e-15,0,13,0,1,0,0,2,0,3,7,0,0,9,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
