"",weight,バランス,色乗り,持ち,使い勝手,発色,色のり,レスポンス,評判,気持ち,操作性,携帯性,視認性,ホールド感,相性,色,写り,重量バランス,デザイン,もち,描写,感度,ホールド性,質,反応,画質,音,見た目,精度,描写力,取り回し,ボケ味,出来,ヌケ,操作感,感触,シャッター音,位置,解像度,配置,性能,画像,補正,コントラスト,AF精度,天気,条件,切れ,色合い,質感,ボケ,音質,電池持ち,カメラ,感じ,ボケ具合,コストパフォーマンス,ホールド,レンズ,液晶,バッテリー,AF,大きさ,グリップ感,重さ,フィーリング,解像感,・画質,ファインダー,動画,気分
weight,"",1.58611794101659e-11,1.44103837292291e-11,1.4388938268586e-11,1.36126159837022e-11,1.33076217192965e-11,1.30100545889453e-11,1.29806330786113e-11,1.27033346905142e-11,1.19349760536825e-11,1.16919001819566e-11,1.15187079892343e-11,1.1485366693422e-11,1.13303878073459e-11,1.1322487025379e-11,1.11183470303859e-11,1.11061929224369e-11,1.09812145143792e-11,1.08886071681012e-11,1.08631031251322e-11,1.08594386658562e-11,1.06078723177101e-11,1.05730889148516e-11,1.00616151264303e-11,9.5787551391528e-12,9.55092620840816e-12,9.50307915562726e-12,9.49111160956511e-12,9.43343308038751e-12,9.29230181013975e-12,8.92113030616557e-12,8.83165721479893e-12,8.79052078872633e-12,8.74757967176633e-12,8.68566619921363e-12,8.62876327415582e-12,8.6268748844672e-12,8.45102930978628e-12,8.35777383518005e-12,8.28002365105859e-12,7.94256057214448e-12,7.54033385675336e-12,7.45964421793536e-12,7.43169120529094e-12,7.35050707118523e-12,7.28212910361802e-12,7.24434251816597e-12,7.14832374753795e-12,7.14366668522443e-12,7.07886899222415e-12,6.99010914992997e-12,6.87961946564104e-12,6.86852295404237e-12,6.83593327284949e-12,6.54120458341139e-12,6.36225970742276e-12,6.32233604547261e-12,6.29817734313208e-12,6.23406464174207e-12,6.18151753812413e-12,6.17894873688643e-12,6.08603796302355e-12,6.03599582701604e-12,6.02467806365214e-12,5.9689695785447e-12,5.95324627226977e-12,5.90688936073993e-12,5.57016206995506e-12,5.41071359633679e-12,5.35758906971352e-12,5.34381150939454e-12
が良く,9.71983149429207e-13,10,2,0,10,3,1,6,0,0,8,2,0,5,1,0,4,3,3,0,1,2,4,1,1,6,0,1,2,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
の良い,9.32707617757344e-13,20,2,0,12,1,1,2,14,13,4,11,2,3,1,0,7,0,1,0,2,1,0,4,2,2,0,0,2,0,0,0,5,5,0,0,0,0,0,0,5,0,0,1,1,15,2,4,1,1,0,0,0,3,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,1
がよく,8.89493398059161e-13,5,0,1,5,1,2,4,1,1,3,0,1,1,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のよい,8.35352586718204e-13,6,2,0,5,1,1,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いです,7.86637336463068e-13,7,1,7,15,0,1,0,0,2,4,5,0,2,2,0,1,0,2,1,0,0,2,1,0,6,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2
もよく,7.82917581597873e-13,5,3,6,4,6,6,0,0,0,5,6,0,5,0,0,1,0,1,0,0,0,0,0,1,11,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,1,0,0,1,0,0,0,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
が悪い,7.7619855461193e-13,6,0,36,7,2,0,6,0,0,6,3,1,5,0,2,2,1,0,7,0,2,2,2,2,12,1,0,2,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1
も良く,7.49063955519362e-13,6,5,7,4,3,0,6,0,0,12,12,2,6,3,1,6,0,7,0,6,0,0,1,0,14,1,0,1,1,2,1,0,1,0,0,1,0,1,0,3,0,0,1,1,0,0,1,1,5,4,0,0,0,0,0,1,0,1,0,0,0,1,0,2,1,2,0,0,0,0
も良いです,7.42196347068448e-13,4,2,5,1,4,0,0,0,0,9,2,0,4,3,0,0,0,2,1,3,0,0,0,1,5,0,0,1,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1
