"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,の高い,が良いので,がいい,が高い,もいいです,は良いです,も良好です,が悪いと,は良好です,は良く,も高く,が良いと,が高く,がいいので,も良い,は良い,が高いです,もいい,は良いと,が高いので,も良いので,のある,が良くて,が悪いです,はいいと,も良いと,はいいですね,の悪い,はありません,が感じます,はいいです,は高い,がいいと,は感じです,といい,が良くない,も満足しています,があり,も悪くなく,があります,は良いのですが,が悪いので,は悪いです,は最高です,が違います,にありません,もありません,も気に入っています,も高い,が高いと,もいいですね,は高く,を考えると,にある,が良いのか,もあり,がよいです,が低い,もある,がいいですね,も良好,もいいし,がイマイチ,も良いですね,は落ちますが,もよい,は思います,は高いと,も良いし,がよいと,はあり,はよいです,はいい,はよく,は抜群です,も含めて,はよいと,になります,もなく,がある,が違う,もあります,にあり,がなります,を考えて,もいいと,もあって
weight,"",4.19903274399811e-19,4.01024254261923e-19,3.57040123181591e-19,3.478537404053e-19,3.35384639010696e-19,3.33275486590058e-19,3.29578578686878e-19,3.17438108667184e-19,3.11995811152883e-19,3.07888988618546e-19,2.8137748759239e-19,2.76267874974216e-19,2.71562911904451e-19,2.69151880347986e-19,2.61057313169412e-19,2.60734982431005e-19,2.55835525192841e-19,2.49215841846397e-19,2.47770572866936e-19,2.46883860034938e-19,2.36669520243069e-19,2.34366950799573e-19,2.34059267207441e-19,2.24686840585017e-19,2.21552782065033e-19,2.19925136990434e-19,2.18692422337378e-19,2.17138101220215e-19,2.16902660018587e-19,2.13632723560016e-19,2.12914439968074e-19,2.12438055989859e-19,2.12094848825789e-19,2.11302089021152e-19,2.10291120865132e-19,2.03641583695848e-19,1.98580993082985e-19,1.95449335019107e-19,1.94760060373133e-19,1.9463862544232e-19,1.86885993344395e-19,1.85918503994929e-19,1.84643740042926e-19,1.8361631594098e-19,1.74082599763263e-19,1.73138163729247e-19,1.72863397852601e-19,1.72251765011114e-19,1.71960900608217e-19,1.7051885527019e-19,1.70367487416179e-19,1.69646239880455e-19,1.68477439439501e-19,1.67601746437922e-19,1.6701915025958e-19,1.64969197912148e-19,1.64152254037919e-19,1.6346880338722e-19,1.63160310713668e-19,1.61913052306808e-19,1.61399515176307e-19,1.5995581521559e-19,1.56605608757269e-19,1.56227925225474e-19,1.54107798825216e-19,1.53744465776138e-19,1.51863228316536e-19,1.51445372870216e-19,1.50656378258589e-19,1.50614207002276e-19,1.49083800138319e-19,1.48623459054414e-19,1.48207279581125e-19,1.43994740033226e-19,1.43760448322282e-19,1.43722207751987e-19,1.42492003188122e-19,1.42460701860502e-19,1.41446798176361e-19,1.40856833689758e-19,1.40362723880617e-19,1.39876056403895e-19,1.38878898072127e-19,1.38452679688067e-19,1.38028515134805e-19,1.37790453274682e-19,1.37581358114355e-19,1.37574749905521e-19,1.37498490972725e-19,1.36247309211339e-19,1.35471077225471e-19,1.35084288674239e-19,1.34740148532489e-19,1.33333339737574e-19,1.32814827679375e-19,1.32657176673062e-19,1.32458562789506e-19,1.32409392103228e-19,1.32313844124323e-19,1.32245825213479e-19
バランス,2.12306688563809e-20,10,20,5,6,6,5,7,4,6,14,2,3,3,2,2,4,2,0,5,0,4,3,3,0,9,0,0,1,2,1,2,8,0,3,0,1,2,4,11,2,0,0,3,0,0,4,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,2,0,0
使い勝手,1.87881714626462e-20,10,12,5,4,7,4,15,1,5,17,1,12,6,0,3,1,0,1,10,1,1,5,1,0,6,0,1,1,1,0,1,5,0,0,0,1,2,3,1,0,0,4,1,3,0,3,0,0,1,0,0,1,1,0,0,0,2,0,1,1,1,0,0,1,0,4,0,0,0,5,0,0,4,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
持ち,1.79667699070696e-20,0,0,1,0,30,0,4,0,0,22,6,1,6,0,2,9,0,0,5,0,5,0,2,0,2,0,6,0,3,0,0,6,0,0,0,1,9,0,0,2,0,7,1,1,0,1,2,0,5,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0
ホールド感,1.66176364141954e-20,5,3,1,6,5,5,2,4,0,3,3,1,0,0,3,1,1,3,14,2,0,9,1,0,1,1,1,1,7,0,3,4,0,4,0,1,0,0,0,0,0,9,1,2,0,1,3,2,2,2,2,1,1,3,0,1,0,0,2,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,4,0,0,3,2,2,2,0,4,0,1,0,0,0,0,0,0,0,0,2,3
操作性,1.62916509451323e-20,8,4,3,12,6,5,4,9,0,4,0,3,2,0,2,1,3,3,6,3,0,6,2,0,2,1,2,8,2,0,5,10,0,1,0,0,2,9,6,1,1,11,0,4,0,0,3,1,1,2,1,1,0,4,0,3,1,0,3,1,0,0,0,0,0,3,1,0,0,1,0,0,1,2,0,1,0,0,0,11,0,1,1,1,4,2,1,6,1,0,0,2,0,0,0,2,0,2,1,0
色乗り,1.62217629223447e-20,2,2,0,5,0,3,1,2,2,1,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,1.59768968183232e-20,6,2,4,6,6,0,0,0,0,8,1,0,0,0,1,1,0,1,1,2,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯性,1.50207398684197e-20,2,11,0,12,3,6,5,2,0,6,2,1,3,0,1,1,1,1,3,0,2,3,4,1,1,0,5,1,3,0,0,12,1,1,0,1,1,0,2,0,0,11,0,10,0,1,2,1,0,0,0,1,0,5,2,5,1,0,1,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,4,0,0,3,0,12,0,1,1,0,3,0,0,17,0,2,0,1,0,0,0,1,0,2,1,0
発色,1.49526511305121e-20,3,1,1,3,2,6,0,4,1,0,0,0,0,0,1,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,1,4,1,1,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,3,2,0,0,1,0,0,0,1,1
