"",weight,が良く,の良い,がよく,のよい,が悪い,が悪く,が良いです,もよく,も良く,も良いです,がいいです,が良い,が悪いと,がよい,も良好です,が良いので,は良好です,がいい,の悪い,は良く,もいいです,がいいので,が悪いです,は良い,が悪いので,が良くて,も良いので,のある,はいいと,は良いです,を考えると,が高い,が良くない,もいい,も高く,が感じます,の高い,が高いので,が良いと,がいいと,もいいですね,が良いのか,があります,はいいですね,は良いと,がよいです,も良い,もよい,も良いですね,にありません,は感じです,があり,が高く,がイマイチ,にある,も悪くなく,はありません,も良いと,が高いです,は悪いです
weight,"",1.03342186351861e-07,1.00334034270825e-07,9.64727324674176e-08,9.02344252754486e-08,8.78089603177794e-08,8.47519107763346e-08,8.44849636992672e-08,7.89373666669272e-08,7.85091439362614e-08,7.61338136072299e-08,7.58154576883955e-08,7.15428601860855e-08,6.85483500483181e-08,6.5211420961581e-08,6.49689864176401e-08,6.26887406572239e-08,6.07116112254707e-08,5.9347085500006e-08,5.82754137213125e-08,5.75908958936291e-08,5.74003382741943e-08,5.70350404500376e-08,5.64231515860936e-08,5.18197095231359e-08,5.10404898337609e-08,5.09442888818828e-08,5.04747402907083e-08,5.01400909583449e-08,5.01347149549782e-08,4.96653834743967e-08,4.9218298756482e-08,4.87741773322212e-08,4.87710368012259e-08,4.75566741642379e-08,4.74269934548217e-08,4.72544945377026e-08,4.69211443862063e-08,4.68106499745986e-08,4.66886247887224e-08,4.58143997072881e-08,4.57838525979734e-08,4.54131027684003e-08,4.50833293066576e-08,4.44037020785079e-08,4.38416849473347e-08,4.32354618067859e-08,4.23403243878286e-08,4.22861262997641e-08,4.13422305590896e-08,4.09979895234986e-08,4.09763092023194e-08,4.09493114251685e-08,4.09440519445266e-08,4.0664156969924e-08,3.97852153304058e-08,3.95945275083155e-08,3.92117859080899e-08,3.91399073651666e-08,3.8579691758256e-08,3.85646315965168e-08
バランス,7.00100463851608e-09,10,20,5,6,6,2,7,5,6,4,3,14,4,3,0,2,3,4,0,3,0,0,2,2,1,1,3,0,4,5,8,2,1,2,0,3,2,0,9,4,0,1,0,2,8,0,1,0,1,0,0,0,0,0,0,1,0,11,1,1
持ち,6.96810336721141e-09,0,0,1,0,30,6,4,0,0,0,1,22,5,6,0,2,0,9,0,2,0,6,9,3,4,1,0,0,0,5,0,0,5,0,0,1,0,0,2,1,0,0,0,2,6,1,0,0,0,0,2,0,0,0,0,0,7,0,0,5
色乗り,6.58286186623719e-09,2,2,0,2,0,0,1,3,5,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
使い勝手,6.00879323595074e-09,10,12,5,5,7,1,15,4,4,1,12,17,1,6,1,3,5,1,0,1,1,1,2,1,0,1,0,0,3,10,4,0,1,1,0,1,0,0,6,3,1,0,1,0,5,5,1,0,1,1,0,0,0,0,0,1,4,1,0,0
レスポンス,5.91455702571077e-09,6,2,4,0,6,1,0,0,6,0,0,8,0,0,2,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
評判,5.83084059292978e-09,0,14,1,3,0,0,0,0,0,0,0,1,0,0,0,6,0,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,5.73567698468356e-09,1,1,2,1,0,0,1,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0
発色,5.67501115157211e-09,3,1,1,1,2,0,0,6,3,4,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
気持ち,5.51074472143804e-09,0,13,1,3,0,0,2,0,0,0,9,7,0,2,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
視認性,5.36049166295033e-09,0,2,1,0,1,2,0,0,2,0,1,2,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
