"",weight,が良く,の良い,も良く,がよく,が悪い,もよく,が良いです,の高い,も良いです,が高い,が良い,のよい,が悪く,がいいです,がよい,がいい,が高く,が良いので,も高く,もいいです,は良いです,が高いです,も良好です,が高いので,が悪いと,は良く,は良好です,も良い,のある,がいいので,は良いと,は良い,もいい,が良いと,も良いので,が良くて,はいいですね,が悪いです,も良いと,は高い,はいいと,はありません,が高いと,はいいです,が感じます,があります,は高く,は感じです,があり,の悪い,といい,も高い,は最高です,も満足しています,は高いと,が良くない,もありません,が悪いので,は良いのですが,が違います,がいいと,を考えると,が低い,も悪くなく,にありません,は悪いです,も気に入っています,もあり,もいいですね,にある,は落ちますが,がいいですね,がよいです,はあり,もある,にあり,がある,も良いし,がイマイチ,が違う,も含めて,が良いのか,はよいと,も良いですね,がよいと,はよいです,もあります,もなく,はいい,になります,は抜群です,もいいし,はあります,もあって,になる,もいいと,はよく,は満足しています,は思います,もよい
weight,"",1.59740534450343e-08,1.53773040914688e-08,1.39824904312959e-08,1.36656416427454e-08,1.33871441084002e-08,1.33088340818769e-08,1.30237144588321e-08,1.28738699787768e-08,1.26516613996637e-08,1.23156611703838e-08,1.22014439362401e-08,1.21448552923507e-08,1.11988108027144e-08,1.10899357320977e-08,1.08545340513501e-08,1.0453681556782e-08,1.0411031733393e-08,1.03350791006516e-08,1.02756152081136e-08,1.00513035832487e-08,1.0034442082329e-08,9.85691455325061e-09,9.83267268742088e-09,9.75331205905901e-09,9.55742025310098e-09,9.43351268655424e-09,9.20875277045512e-09,8.92488763690917e-09,8.8397289809811e-09,8.77605339638018e-09,8.68557874273361e-09,8.63818690640573e-09,8.5413301601936e-09,8.52385400889141e-09,8.34691995889839e-09,8.0992926090853e-09,8.07534937981503e-09,8.03654585032113e-09,7.93312097581973e-09,7.9010164353537e-09,7.75816397578163e-09,7.54741161768706e-09,7.4630159182545e-09,7.39015949497366e-09,7.38873575007287e-09,7.33372383909944e-09,7.24856190290382e-09,7.22784072465708e-09,7.21280599932091e-09,7.20606571239372e-09,7.18730584613174e-09,7.14718562320329e-09,7.05452358833088e-09,6.97689221147367e-09,6.91040217730104e-09,6.86215365792082e-09,6.86033461248246e-09,6.84312058520445e-09,6.82591048125574e-09,6.80649043914191e-09,6.78791309392779e-09,6.72259357065721e-09,6.72214353456071e-09,6.71642434799367e-09,6.63861000348575e-09,6.58577508323592e-09,6.5637223222215e-09,6.49332968216529e-09,6.23351435210824e-09,6.04668499171303e-09,6.01692975140027e-09,6.00122334873431e-09,5.98643995738583e-09,5.97005825882502e-09,5.91136902346802e-09,5.82879653299173e-09,5.81055780753715e-09,5.78803339734238e-09,5.76763145128545e-09,5.75117852924762e-09,5.7492844475861e-09,5.66819260984398e-09,5.65915597276598e-09,5.65731990307895e-09,5.60243490620548e-09,5.59925297328353e-09,5.57570506143755e-09,5.53399515299399e-09,5.51869875170526e-09,5.50754871026421e-09,5.49981642123192e-09,5.49808012790834e-09,5.4553647728477e-09,5.45185400540415e-09,5.44311046506656e-09,5.42074664594088e-09,5.41990244955758e-09,5.40748831637461e-09,5.4023685057796e-09,5.36399035930601e-09
バランス,8.84919772121383e-10,10,20,6,5,6,5,7,2,4,2,14,6,2,3,3,4,0,2,0,0,5,1,0,0,4,3,3,1,0,0,8,2,2,9,3,1,2,2,11,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,8,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
使い勝手,7.78824195283572e-10,10,12,4,5,7,4,15,0,1,0,17,5,1,12,6,1,0,3,0,1,10,0,1,0,1,1,5,1,0,1,5,1,1,6,0,1,0,2,1,0,3,4,0,3,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,3,4,0,1,1,0,1,0,1,0,0,4,5,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
持ち,7.50573307978277e-10,0,0,0,1,30,0,4,0,0,0,22,0,6,1,6,9,0,2,0,0,5,0,0,0,5,2,0,0,0,6,6,3,0,2,0,1,2,9,0,0,0,7,0,1,1,0,0,2,0,0,0,0,1,0,0,5,0,4,1,0,1,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ホールド感,6.9728175632681e-10,5,3,6,1,5,5,2,0,4,1,3,0,3,1,0,1,1,3,0,3,14,0,2,0,0,1,9,1,0,1,4,7,3,1,4,1,0,0,0,0,0,9,0,2,1,1,0,3,2,0,2,0,0,2,0,2,5,0,3,0,1,0,0,1,2,1,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,3,2,0,0,2,0,4,0,3,3,0,2,0,0,4,0
操作性,6.77421970581852e-10,8,4,12,3,6,5,4,0,9,3,4,0,0,3,2,1,1,2,0,3,6,0,3,0,0,2,6,8,0,2,10,2,5,2,1,0,1,2,6,0,9,11,0,4,0,0,0,3,1,1,1,0,1,2,0,1,1,0,4,0,0,3,0,1,3,3,0,0,0,1,0,1,1,1,0,2,0,1,1,0,1,0,0,0,1,4,0,2,2,0,6,0,1,0,0,1,1,1,11,0
色乗り,6.57618688877319e-10,2,2,5,0,0,3,1,0,2,0,1,2,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
レスポンス,6.45309253768068e-10,6,2,6,4,6,0,0,0,0,0,8,0,1,0,0,1,0,1,0,1,1,0,2,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
携帯性,6.32885742607434e-10,2,11,12,0,3,6,5,0,2,1,6,0,2,1,3,1,0,1,1,1,3,0,0,1,2,4,3,1,0,5,12,3,0,1,1,1,0,1,2,0,0,11,1,10,0,0,0,2,0,0,1,0,1,0,0,0,1,2,5,0,1,3,0,1,1,5,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,0,2,0,1,3,0,1,0,0,17,4,1,0,0,1,0,2,12,0
発色,6.07463300145986e-10,3,1,3,1,2,6,0,0,4,0,0,1,0,0,0,3,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,2,1,2,4,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,3,0,2,0,1,1,1,0,0,2,0
