"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,がいい,が良いので,の高い,も良好です,もいいです,が高い,は良いです,は良好です,が悪いと,は良く,が良いと,がいいので,も良い,も高く,は良い,もいい,は良いと,も良いので,が高く,のある,が高いです,が高いので,が良くて,が悪いです,はいいと,はいいですね,も良いと,はありません,の悪い,が感じます,があり,はいいです,は感じです,がいいと,が良くない,といい,も悪くなく,も満足しています,があります,は高い,は良いのですが,が悪いので,は最高です,は悪いです,もありません,にありません,が違います,も気に入っています,もいいですね,も高い,を考えると,が良いのか,がよいです,もあり,にある,が高いと,は高く,がいいですね,もある,も良好,が低い,もいいし,がイマイチ,は思います,も良いですね,もよい,は落ちますが,も良いし,がよいと,は抜群です,はいい,はよいです,はよく,もなく,もあります,がある,はよいと,に満足しています,も含めて,を考えて,はあり,は高いと,は満足しています,もあって,に優れ,がなります,にあり
weight,"",2.31825051781017e-24,2.19364570729036e-24,1.97609590671416e-24,1.8960038820596e-24,1.86337696224473e-24,1.83376536809914e-24,1.81411021739061e-24,1.73831693795546e-24,1.72350753763581e-24,1.70073782721474e-24,1.55255318614644e-24,1.51211324066468e-24,1.48833210940143e-24,1.44424454074465e-24,1.43079070904655e-24,1.41673639645862e-24,1.36131098681423e-24,1.35875881590878e-24,1.34364607629556e-24,1.33344181608556e-24,1.30778330954355e-24,1.30005726197032e-24,1.28195945641558e-24,1.21689652287052e-24,1.20285136506931e-24,1.2016229367297e-24,1.20112022836665e-24,1.19057604541473e-24,1.18616504092577e-24,1.1794472768344e-24,1.17083362736124e-24,1.16618017130989e-24,1.15854702426414e-24,1.13426252472243e-24,1.12970537496128e-24,1.11826479883813e-24,1.09067161823099e-24,1.07027399586631e-24,1.0639402921725e-24,1.06296088817607e-24,1.04348490244545e-24,1.03101940755941e-24,1.00978956114445e-24,1.00610669544831e-24,9.97465681553488e-25,9.64147737112148e-25,9.54261435565171e-25,9.48985633671079e-25,9.3664951687554e-25,9.35727818556742e-25,9.28408162697937e-25,9.25804159613234e-25,9.24529850313777e-25,9.20421077216541e-25,9.17694938453957e-25,9.16099379074965e-25,9.11489314758288e-25,9.05716071874105e-25,8.97069612445416e-25,8.93908596271729e-25,8.78964349481727e-25,8.61373303774811e-25,8.5682929344206e-25,8.53388791755887e-25,8.35834094190598e-25,8.32669393595051e-25,8.30084854494431e-25,8.28721827071846e-25,8.26529756902122e-25,8.1908958658679e-25,8.13943124662275e-25,8.11104006931914e-25,8.01885310163545e-25,7.96479535061245e-25,7.95841409185639e-25,7.90892713059319e-25,7.87959897736675e-25,7.83273777997041e-25,7.8289966643817e-25,7.78171623903904e-25,7.69917149447175e-25,7.68673925553807e-25,7.61948676225759e-25,7.56899770171863e-25,7.548928548992e-25,7.54755367172857e-25,7.5296800483256e-25,7.51616086651963e-25,7.49187922580685e-25,7.45615815562492e-25,7.45107035047173e-25,7.43948348039099e-25,7.43607578816317e-25,7.42952108530017e-25,7.40896459823228e-25,7.3910707836553e-25,7.36275472562289e-25,7.35508422613341e-25,7.31513237184689e-25,7.29376406378702e-25
バランス,9.71919641407351e-26,10,20,5,6,6,5,7,4,6,14,2,3,3,4,2,2,0,0,2,5,3,4,3,9,0,1,0,2,2,8,3,0,0,1,0,1,2,4,2,11,0,0,3,0,0,0,4,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0
持ち,8.12367853335658e-26,0,0,1,0,30,0,4,0,0,22,6,1,6,9,2,0,0,0,0,5,0,5,2,2,6,0,0,3,0,6,0,0,0,0,0,1,9,0,2,0,7,0,1,0,1,2,1,5,0,0,0,0,0,1,4,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
使い勝手,8.11724796345936e-26,10,12,5,4,7,4,15,1,5,17,1,12,6,1,3,0,1,1,0,10,5,1,1,6,1,1,0,1,1,5,0,0,0,0,0,1,2,3,0,1,4,0,1,0,3,0,3,1,0,1,0,1,0,0,0,2,0,1,1,0,1,1,0,4,0,5,0,0,0,0,4,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0
色乗り,7.39708710962714e-26,2,2,0,5,0,3,1,2,2,1,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,7.27415486802398e-26,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,7.26515766372156e-26,5,3,1,6,5,5,2,4,0,3,3,1,0,1,3,0,2,3,1,14,9,0,1,1,1,1,0,7,3,4,4,1,0,0,0,1,0,0,0,0,9,0,1,2,2,3,1,2,2,1,2,1,0,3,0,0,1,5,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,3,4,2,2,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0
発色,6.96971186378777e-26,3,1,1,3,2,6,0,4,1,0,0,0,0,3,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,2,1,4,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0
操作性,6.86844267905703e-26,8,4,3,12,6,5,4,9,0,4,0,3,2,1,2,0,3,3,3,6,6,0,2,2,2,8,0,2,5,10,1,1,0,0,0,0,2,9,1,6,11,1,0,1,4,3,0,1,1,1,2,0,0,4,0,1,3,1,3,0,0,0,0,3,0,1,0,1,0,0,1,0,2,0,0,1,11,0,0,0,1,1,6,2,4,1,2,0,0,0,1,1,2,1,0,1,0,0,0,2
写り,6.71489635259035e-26,4,7,0,4,2,1,1,0,1,4,0,1,0,5,1,0,0,0,0,4,1,1,2,2,2,2,1,3,3,5,0,0,0,0,0,2,0,2,4,2,6,0,0,0,7,1,1,0,0,1,1,0,0,1,0,4,0,8,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,1,2,0,1,0,0,0,1,0,2,2,0,0,2,0,3,0,0,0,4
携帯性,6.62102728321906e-26,2,11,0,12,3,6,5,2,0,6,2,1,3,1,1,0,0,1,1,3,3,2,4,1,5,1,1,3,0,12,1,0,0,0,1,1,1,0,0,2,11,0,0,0,10,2,1,0,1,1,0,0,0,5,2,1,5,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,4,0,12,0,0,3,1,1,17,0,3,0,1,0,0,2,0,0,2,0,0,2,0,3,0,1
色のり,6.56192183652028e-26,1,1,2,0,0,6,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
相性,6.55947654290053e-26,1,1,0,3,0,0,2,3,0,2,0,0,1,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
デザイン,6.47493743110265e-26,3,1,1,7,0,1,2,2,0,7,0,0,1,1,2,0,0,3,0,2,1,0,0,1,0,2,0,2,2,11,0,0,1,0,0,0,0,6,0,4,0,0,0,0,3,5,1,0,1,1,1,0,0,2,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,11,0,0,0,2,0,0,0,1,1,0,0,0,3,0,2,0,5,0,2,1,0,0,0
評判,6.44770584272623e-26,0,14,1,0,0,0,0,0,3,1,0,0,0,3,6,3,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,6.2168627963325e-26,0,13,1,0,0,0,2,0,3,7,0,9,2,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,6.08914205112134e-26,2,2,0,1,2,0,0,1,0,2,0,0,1,0,1,1,0,1,4,1,0,0,0,0,0,0,3,0,0,2,2,0,0,1,3,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
もち,6.04459692511217e-26,0,0,0,0,7,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
描写,5.95457489589465e-26,1,2,0,6,0,0,0,3,0,0,0,1,0,1,2,0,1,1,0,5,0,0,3,4,1,1,0,1,1,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,3,0,0,0,0,5,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,4,0,2,0,0,1,0
視認性,5.86864967088172e-26,0,2,1,2,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
感度,5.67073759750178e-26,2,1,0,0,2,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,5.65767088455177e-26,4,0,1,0,2,0,2,0,0,1,1,0,0,1,1,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
色,5.65543811514179e-26,0,0,0,1,2,0,0,0,0,1,1,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
