"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,が良いので,がいい,の高い,は良いです,もいいです,が高い,も良好です,は良好です,が悪いと,は良く,が良いと,も高く,がいいので,は良い,も良い,は良いと,が高く,もいい,も良いので,のある,が高いです,が高いので,が良くて,が悪いです,はいいと,も良いと,はいいですね,はありません,はいいです,の悪い,が感じます,がいいと,は感じです,が良くない,といい,は高い,も悪くなく,は良いのですが,があり,も満足しています,が悪いので,は悪いです,があります,にありません,は最高です,もありません,も気に入っています,も高い,もいいですね,が違います,が良いのか,がよいです,を考えると,が高いと,は高く,がいいですね,もあり,にある,がイマイチ,が低い,もある,も良好,もいいし,は落ちますが,は思います,も良いですね,は抜群です,がよいと,はいい,もよい,も良いし,はよいです,は高いと,はよいと,はよく,も含めて,はあり,がある,もなく,を考えて,もあります,は満足しています,もいいと,がなります,に優れ,もあって,にあり
weight,"",1.08788095457899e-21,1.03047038166202e-21,9.19418394643219e-22,9.00478325485751e-22,8.6730254167617e-22,8.63615351163458e-22,8.5621790962222e-22,8.17518736121083e-22,8.01302234974537e-22,7.97150918322549e-22,7.2688357393951e-22,7.09682085330025e-22,7.01861468690218e-22,6.73806964892258e-22,6.66706586124018e-22,6.63489798031188e-22,6.45430926042507e-22,6.43242500355146e-22,6.4294909260241e-22,6.38245636951648e-22,6.14224000363421e-22,6.1078859235646e-22,6.05337562189303e-22,5.74698059080564e-22,5.71811678799647e-22,5.6649422582278e-22,5.6356669528535e-22,5.62115057055867e-22,5.61596593074627e-22,5.55893315331705e-22,5.45457881234397e-22,5.45304640570289e-22,5.4066348226535e-22,5.38045794357608e-22,5.34494097089596e-22,5.2486871193336e-22,5.16576001423786e-22,5.12182980003896e-22,5.07971588465555e-22,5.02987430641597e-22,4.82513275293354e-22,4.78892700564294e-22,4.78535596873753e-22,4.76541516251208e-22,4.51034361650467e-22,4.4594400628206e-22,4.45051206949191e-22,4.42554106883924e-22,4.40904549395695e-22,4.40055332762316e-22,4.39333502114298e-22,4.37239728620777e-22,4.35945300160443e-22,4.32975106663672e-22,4.3105919970327e-22,4.2997439373724e-22,4.23518571305814e-22,4.18924030945224e-22,4.17113950583269e-22,4.08945196042156e-22,4.06488320203909e-22,4.06099439939092e-22,4.04167580492485e-22,3.89088450982551e-22,3.89069885253072e-22,3.88026120778214e-22,3.84909165598751e-22,3.82136875416908e-22,3.8187952364768e-22,3.80907695740068e-22,3.80789551775772e-22,3.78271546746212e-22,3.77258024359383e-22,3.76669934501583e-22,3.75964950839376e-22,3.7038850378573e-22,3.68943529671834e-22,3.6808537557542e-22,3.66355106539863e-22,3.65998126043167e-22,3.64921566067952e-22,3.61669109294467e-22,3.61423508775965e-22,3.60206012068364e-22,3.5991647926964e-22,3.54471984290726e-22,3.5359079363785e-22,3.53355674155877e-22,3.49895590866774e-22,3.49833730341552e-22,3.47806086548501e-22,3.47265047658382e-22,3.46864779057893e-22,3.41956997555744e-22,3.4015200216781e-22,3.37817099957532e-22,3.36814717179745e-22,3.35800589960005e-22,3.33457902507984e-22,3.32157310670247e-22
バランス,5.41129274972146e-23,10,20,5,6,6,5,7,4,6,14,2,3,3,2,4,2,5,0,2,0,3,4,3,9,0,0,2,1,8,0,2,3,0,1,0,1,2,4,11,2,0,0,0,3,4,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0
使い勝手,4.57687495257163e-23,10,12,5,4,7,4,15,1,5,17,1,12,6,3,1,0,10,1,0,1,5,1,1,6,0,1,1,1,5,0,1,0,0,0,0,1,2,3,1,0,4,3,0,1,3,0,1,0,0,1,0,0,0,0,0,1,1,2,1,1,0,1,0,0,5,4,0,0,4,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0
持ち,4.5316937296512e-23,0,0,1,0,30,0,4,0,0,22,6,1,6,2,9,0,5,0,0,0,0,5,2,2,0,6,3,0,6,0,0,0,0,0,0,1,9,0,0,2,7,1,0,1,1,2,5,0,0,0,1,0,0,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
色乗り,4.13573461581445e-23,2,2,0,5,0,3,1,2,2,1,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,4.07314463770311e-23,5,3,1,6,5,5,2,4,0,3,3,1,0,3,1,0,14,3,1,2,9,0,1,1,0,1,7,1,4,1,3,4,0,0,0,1,0,0,0,0,9,2,0,1,1,3,2,2,0,1,3,2,2,0,1,1,2,0,5,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,4,0,4,3,2,0,0,2,0,1,0,0,2,0,0,0,0,0,2,0,0,3,0
レスポンス,4.05319426471092e-23,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,0,1,1,0,2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
発色,3.90572870000367e-23,3,1,1,3,2,6,0,4,1,0,0,0,0,1,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,0,1,0,1,4,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0,1,0
操作性,3.89609155889135e-23,8,4,3,12,6,5,4,9,0,4,0,3,2,2,1,0,6,3,3,3,6,0,2,2,0,2,2,8,10,1,5,1,0,0,0,0,2,9,6,1,11,4,1,0,0,3,1,1,0,1,4,1,2,0,3,0,3,1,1,0,0,0,0,0,1,3,0,0,1,0,1,1,0,0,2,0,0,11,0,6,1,2,0,1,4,0,0,1,1,1,0,2,2,0,1,1,0,0,0,2
写り,3.76765333252099e-23,4,7,0,4,2,1,1,0,1,4,0,1,0,1,5,0,4,0,0,0,1,1,2,2,1,2,3,2,5,0,3,0,0,0,0,2,0,2,2,4,6,7,0,0,1,1,0,0,0,1,1,0,1,0,0,0,2,4,8,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,2,1,1,1,0,0,2,0,0,2,0,0,0,1,3,1,0,0,0,4
