"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,の高い,が悪く,がいいです,が高い,がよい,がいい,が良いので,もいいです,は良いです,も良好です,が悪いと,が高く,も高く,は良く,は良好です,が高いです,が高いので,が良いと,がいいので,も良い,は良い,は良いと,もいい,のある,も良いので,が良くて,が悪いです,はいいですね,も良いと,はいいと,はありません,の悪い,が感じます,はいいです,は高い,は感じです,といい,があり,がいいと,が良くない,も満足しています,があります,も悪くなく,は最高です,が悪いので,は良いのですが,は高く,も高い,は悪いです,が違います,が高いと,にありません,もありません,も気に入っています,もいいですね,を考えると,が低い,は高いと,もあり,にある,がよいです,が良いのか,がいいですね,もある,がイマイチ,は落ちますが,も良好,はあり,もいいし,も良いですね,はいい,も良いし,もよい,がよいと,にあり,も含めて,はよいです,はよく,はよいと,は抜群です,は思います,がある,もなく,になります,が違う,もいいと,もあります,を考えて,は満足しています,もあって
weight,"",9.50446112670489e-14,9.05220421756271e-14,8.03550051865051e-14,8.00289225709132e-14,7.71020889404131e-14,7.66831091553113e-14,7.56440108592277e-14,7.32051272813546e-14,7.13543879892911e-14,7.07625891002471e-14,6.56996294164204e-14,6.45381651360435e-14,6.35618686159013e-14,6.31184491210731e-14,6.26262546632545e-14,6.00526442660077e-14,5.99205180234456e-14,5.76733042190579e-14,5.72537221516822e-14,5.69810867643532e-14,5.45610545699292e-14,5.42438968438096e-14,5.39531451146206e-14,5.38302395691281e-14,5.36636277250802e-14,5.13970001811046e-14,5.09039572737142e-14,5.07748911847534e-14,5.05863259446083e-14,5.01835160942854e-14,4.98190519800668e-14,4.91818857155041e-14,4.90470944635363e-14,4.89399999541251e-14,4.73764675503274e-14,4.70415806782715e-14,4.59299122078573e-14,4.51776544917647e-14,4.49923483604996e-14,4.49652332493858e-14,4.28167025397501e-14,4.27135975288326e-14,4.2676040495002e-14,4.25138454105027e-14,4.17840217534107e-14,4.02546745272157e-14,4.01841196296829e-14,3.97029486126098e-14,3.96832191331422e-14,3.95860015352562e-14,3.94713393818553e-14,3.90610905644777e-14,3.90427345909143e-14,3.87823217703029e-14,3.87468395529636e-14,3.86461593738569e-14,3.84174434491741e-14,3.82459487835447e-14,3.80055582925656e-14,3.7997585117792e-14,3.79200275408288e-14,3.78487306788165e-14,3.76812193978663e-14,3.72830798543306e-14,3.62530518232642e-14,3.62459040655316e-14,3.5706536311688e-14,3.55335788992152e-14,3.51939265890767e-14,3.51216320763468e-14,3.46488219428736e-14,3.4626773424848e-14,3.4183508437101e-14,3.38801984566449e-14,3.33700242809509e-14,3.32695293506243e-14,3.30674495125051e-14,3.30672860711003e-14,3.29184911744758e-14,3.28694726428272e-14,3.27714972252992e-14,3.2635315668661e-14,3.24094922618387e-14,3.22306464050773e-14,3.22003714882788e-14,3.20016080117959e-14,3.18916909572788e-14,3.17447081378898e-14,3.16437054932786e-14,3.16109885057311e-14,3.13405987615097e-14,3.12824404153988e-14,3.12569599732887e-14,3.11855991800076e-14,3.11543795549251e-14,3.08082328306827e-14,3.07901151723674e-14,3.05520953574197e-14,3.05240329360908e-14,3.0475179516407e-14
バランス,4.83442051102197e-15,10,20,5,6,6,5,7,4,6,14,2,2,3,2,3,4,2,0,5,0,4,0,0,3,3,1,0,9,0,1,2,8,2,0,3,1,2,2,11,4,0,0,3,0,0,0,0,0,4,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,2,0,0
使い勝手,4.24753904015524e-15,10,12,5,4,7,4,15,1,5,17,0,1,12,0,6,1,3,1,10,1,1,0,0,1,5,0,0,6,1,1,1,5,1,0,0,1,2,0,1,3,4,0,1,3,0,0,0,0,3,1,0,1,1,2,0,0,0,0,0,0,0,1,1,1,1,4,0,0,0,0,5,0,4,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0
持ち,4.13064399983801e-15,0,0,1,0,30,0,4,0,0,22,0,6,1,0,6,9,2,0,5,0,5,0,0,2,0,0,0,2,6,0,3,6,0,0,0,1,9,2,0,0,7,0,1,1,0,2,0,0,1,5,0,0,0,1,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1,0,0,1,0,1,0,0,0
ホールド感,3.80067748101185e-15,5,3,1,6,5,5,2,4,0,3,0,3,1,1,0,1,3,3,14,2,0,1,0,1,9,0,0,1,1,1,7,4,3,0,4,1,0,0,0,0,9,0,1,2,0,3,2,2,1,2,2,1,1,0,0,3,0,0,1,0,0,2,5,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,2,0,0,3,0,0,2,0,1,4,4,0,0,0,0,2,0,0,0,3
色乗り,3.72759335365784e-15,2,2,0,5,0,3,1,2,2,1,0,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
操作性,3.67190898205007e-15,8,4,3,12,6,5,4,9,0,4,0,0,3,3,2,1,2,3,6,3,0,1,0,2,6,0,0,2,2,8,2,10,5,0,1,0,2,1,6,9,11,1,0,4,0,3,1,1,0,1,2,0,1,1,0,4,0,0,3,0,0,3,1,0,0,3,0,0,0,1,1,0,1,0,1,0,2,1,0,0,2,1,0,1,2,1,4,1,0,6,11,0,2,0,0,1,0,2,1,0
レスポンス,3.65301131951339e-15,6,2,4,6,6,0,0,0,0,8,0,1,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
発色,3.4376380111261e-15,3,1,1,3,2,6,0,4,1,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,2,1,0,1,4,0,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,2,3,0,1,1,0,0,1
携帯性,3.39896482236028e-15,2,11,0,12,3,6,5,2,0,6,0,2,1,1,3,1,1,1,3,0,2,0,1,4,3,0,1,1,5,1,3,12,0,0,1,1,1,0,2,0,11,0,0,10,0,2,1,0,1,0,0,0,1,1,2,5,0,0,5,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,1,1,0,3,0,2,17,12,0,1,0,0,1,0,2,2,0
