"",weight,持ち,バランス,使い勝手,色乗り,レスポンス,もち,ホールド感,携帯性,操作性,発色,色のり,視認性,デザイン,感度,評判,相性,気持ち,写り,ホールド性,質,画質,色,重量バランス,精度,描写,位置,反応,見た目,音,解像度,描写力,感触,操作感,質感,ボケ味,AF精度,ヌケ,性能,取り回し,コストパフォーマンス,コントラスト,シャッター音,出来,条件,補正,液晶,画像,解像感,天気,切れ,色合い,ボケ,重さ,フィーリング,使用頻度,音質,ホールド,バッテリー,電池持ち,ボケ具合,カメラ,AF,グリップ感,レンズ,大きさ,配置,・画質,ファインダー,機動性,完成度,キレ,評価,満足度,機能性,満足感,気分,画素数,・操作性,グリップ,値段
weight,"",1.4081331368712e-06,1.33781389112736e-06,1.25978747980814e-06,1.12347102388255e-06,1.11258232968074e-06,1.04371155846714e-06,1.0319705824087e-06,1.00094894123091e-06,9.91892705046059e-07,9.90784757880302e-07,9.51969713228483e-07,9.47948202585694e-07,9.32005505355534e-07,9.31934048395178e-07,9.16294784535123e-07,9.04597543925592e-07,8.97906788742789e-07,8.84460907387697e-07,8.52743735753103e-07,8.49397954277313e-07,8.30059101867599e-07,8.17832022053625e-07,8.15719691919927e-07,7.94719189136738e-07,7.88399099783116e-07,7.81839094640516e-07,7.78437333184869e-07,7.43978923094821e-07,7.4052727008797e-07,7.20388313597269e-07,7.17017920712745e-07,7.14873143049196e-07,7.06200234491269e-07,7.02220387548525e-07,6.97910291973758e-07,6.85395710459536e-07,6.60954797552556e-07,6.59818259392424e-07,6.57570486018842e-07,6.48013578628926e-07,6.44117732487532e-07,6.24885581977004e-07,6.22587745936723e-07,6.04772048239746e-07,5.99233702029111e-07,5.96122601556016e-07,5.87727704880163e-07,5.83353202079529e-07,5.584904351176e-07,5.48109011573456e-07,5.41708057462097e-07,5.29611509240562e-07,5.22169294622161e-07,5.20817371093597e-07,5.17891318247429e-07,5.1586374156797e-07,5.06604960808999e-07,5.05425048279533e-07,5.03634938968143e-07,5.0110966317764e-07,5.00270103843042e-07,4.99743634822001e-07,4.99592372436454e-07,4.94883123037954e-07,4.89986588944218e-07,4.8518086002533e-07,4.72175857605825e-07,4.6088825936799e-07,4.54344755200614e-07,4.49357219521098e-07,4.48258488765784e-07,4.40721092008438e-07,4.35841348513686e-07,4.32513692944534e-07,4.25946346863693e-07,4.25639504526412e-07,4.17743391380211e-07,4.13299152984461e-07,4.05785949678213e-07,4.03341569386202e-07
が良く,7.15521897653121e-08,0,10,10,2,6,0,5,2,8,3,1,0,3,2,0,1,0,4,4,1,6,0,3,2,1,0,1,1,0,0,0,1,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
の良い,6.69923420791745e-08,0,20,12,2,2,0,3,11,4,1,1,2,1,1,14,1,13,7,0,4,2,0,0,2,2,0,2,0,0,0,0,0,0,1,0,1,5,5,0,5,1,0,5,2,0,1,0,0,15,4,1,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
がよく,6.39994318299306e-08,1,5,5,0,4,0,1,0,3,1,2,1,1,0,1,0,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
が悪い,6.23780841614413e-08,36,6,7,0,6,7,5,3,6,2,0,1,0,2,0,0,0,2,2,2,12,2,1,2,0,5,2,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
が良いです,5.95021987288271e-08,7,7,15,1,0,1,2,5,4,0,1,0,2,0,0,2,2,1,2,1,6,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1
のよい,5.81792624222614e-08,0,6,5,2,0,0,0,0,0,1,1,0,0,0,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もよく,5.75742194107725e-08,6,5,4,3,0,0,5,6,5,6,6,0,1,0,0,0,0,1,0,0,11,0,0,0,0,1,1,0,0,1,0,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
も良いです,5.66655349826862e-08,5,4,1,2,0,1,4,2,9,4,0,0,2,0,0,3,0,0,0,0,5,0,0,1,3,0,1,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,2,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
も良く,5.66116885307454e-08,7,6,4,5,6,0,6,12,12,3,0,2,7,0,0,3,0,6,0,1,14,1,0,1,6,0,0,0,1,1,1,0,0,5,1,1,1,3,2,1,1,1,0,0,0,0,0,2,0,1,1,4,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
