"",weight,の高い,が良く,が高い,も良く,の良い,もよく,も良いです,が良いです,が悪い,が高く,がよく,が高いです,も高く,が良い,がよい,が高いので,は良いです,もいいです,のよい,が悪く,が良いので,がいいです,がいい,のある,は良く,も良好です,が高いと,は高いと,がいいので,は高い,が悪いと,も高い,は良い,もいい,は良好です,はいいですね,があります,も良い,は良いと,は最高です,も良いので,も良いと,は高く,が良いと,は感じです,もあり,が良くて,を考えると,はいいです,といい,が悪いです,はいいと,があり,は良いのですが,も満足しています,もありません,はありません,が低い,は素晴らしいです,が悪いので,が感じます,は悪いです,がある,にありません,は高いです,に優れた,はあると,は満足しています,はしました,があると,はあります,もあります,もいいと,もいいですね,も悪くなく,の悪い,はよいと,はあり,も気に入っています,がいいと,が良くない,を考えれば,に優れ,も含めて,が違います,は最高ですね,も良いし,も高いです,は落ちますが,は抜群です,がよいと,は思いますが,はよいです,もあって,にある,を含め,はします,は良いですね,にあり,はいい
weight,"",0.00276724511628732,0.00258234667299133,0.00253979865453849,0.00249638004393681,0.00245876315622038,0.00237623420837668,0.0022741969471293,0.00227039289863596,0.00220399458047735,0.00218447972494885,0.00218034300568911,0.00215256373021287,0.00205436538279379,0.00202502689508973,0.00199609241070103,0.00196328245061281,0.00190331065140323,0.00189792434322705,0.00186022540226476,0.00184244715812554,0.00182929314972206,0.00181105094840905,0.00180385504819086,0.00180313268716519,0.00177289895208447,0.00177132298038847,0.00176980042604888,0.00176321872329413,0.00172403036433098,0.00168049307485887,0.00165184122408222,0.0016474683502848,0.00163528884311981,0.00163059669717712,0.00162913806709425,0.00162159431611002,0.00161353072038022,0.00159503387678398,0.00159020425240459,0.00158732525593845,0.00158072108390777,0.00153229152058592,0.00149753132537963,0.00149591003554526,0.00149125237333086,0.00147911654678475,0.00146581104202504,0.00144510037300674,0.00144332362849426,0.00144208944996611,0.00142843990737746,0.00142176947488836,0.00139356489044044,0.00136118156833502,0.00134663187001643,0.00133554346545754,0.00133024765641695,0.00132023416581707,0.00130636154056006,0.00130513902068689,0.0012767907823352,0.00127341856311622,0.00126628490763716,0.00126544981692836,0.00125184543906485,0.00124686984738464,0.00123056136954756,0.00122530299459074,0.00122427487845802,0.00122345030443372,0.00121742708286169,0.00121654594479374,0.00121513448338729,0.00121193512532491,0.00120869704857656,0.00120680190552088,0.00120424825123593,0.00119630711796539,0.00119171644950755,0.00119001432092898,0.00118272138225221,0.00117672511121905,0.00116686087425599,0.00115890599732601,0.00115590988480565,0.00114828212320596,0.00114616496830993,0.0011447333899259,0.00113835642933243,0.00113118870141826,0.0011277271466432,0.00112136137939536,0.00112110644880982,0.00111740861425502,0.00111556867115206,0.00111434709864895,0.00110494906120592,0.00110460726667994,0.00110031266474598,0.00109931262513404
バランス,0.000141854518801818,2,10,2,6,20,5,4,7,6,0,5,1,0,14,3,0,5,0,6,2,2,3,4,0,3,0,0,0,0,0,4,0,2,2,3,2,0,1,8,0,3,11,0,9,0,0,1,8,0,0,2,4,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1
持ち,0.000124529385325514,0,0,0,0,0,0,0,4,30,0,1,0,0,22,6,0,5,0,0,6,2,1,9,0,2,0,0,0,6,0,5,0,3,0,0,2,0,0,6,1,0,0,0,2,2,0,1,0,1,0,9,0,0,1,0,0,7,0,0,4,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,2,0,1
使い勝手,0.000123129197865335,0,10,0,4,12,4,1,15,7,0,5,0,0,17,6,0,10,1,5,1,3,12,1,0,1,1,0,0,1,0,1,0,1,1,5,0,1,1,5,2,0,1,0,6,0,0,1,4,3,0,2,3,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
発色,0.000116494682773353,0,3,0,3,1,6,4,0,2,0,1,0,0,0,0,0,2,1,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,1,0,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
デザイン,0.000112738326600129,0,3,0,7,1,1,2,2,0,0,1,0,0,7,1,0,2,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,2,1,0,0,2,11,2,0,4,1,1,5,0,0,0,3,1,0,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,5,2,1,0,2,0,5,0,1,0,3,5,3,1,0,0,0,2,0,1,2,0,0,0,0,3,1,1,0,2,3,2,0,0
写り,0.000111680073324256,0,4,0,4,7,1,0,1,2,0,0,0,1,4,0,0,4,0,1,0,1,1,5,0,2,0,0,0,2,0,1,0,3,3,1,4,0,2,5,4,0,2,0,2,1,0,2,0,7,0,0,2,0,1,1,8,6,0,1,0,0,0,0,2,0,0,0,3,0,0,1,1,1,0,1,0,2,2,0,1,0,2,0,0,4,0,1,0,0,0,2,0,0,0,2,0,2,0,4,1
色乗り,0.000110246944843465,0,2,0,5,2,3,2,1,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
操作性,0.000110182088377488,0,8,3,12,4,5,9,4,6,1,3,0,0,4,2,0,6,3,0,0,2,3,1,0,2,3,0,0,2,0,0,0,2,5,6,1,0,8,10,1,1,6,0,2,3,0,0,3,4,1,2,9,1,4,2,1,11,0,0,0,0,3,0,3,1,2,0,1,5,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,6,1,3,4,0,1,0,0,1,2,2
精度,0.00010988277948359,1,2,4,1,2,0,1,0,2,0,0,1,3,2,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
