"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,が良い,がいいです,がよい,も良好です,が良いので,がいい,が悪いと,は良好です,もいいです,は良く,がいいので,は良い,のある,はいいと,は良いです,の悪い,もいい,が良くて,が悪いです,を考えると,も良いので,も良い,が良いと,が高い,も高く,は良いと,はいいですね,の高い,があります,が高いので,が感じます,がいいと,が良くない,が悪いので,が高く,はありません,も悪くなく,はいいです,も良いと,は感じです,があり,が良いのか,も満足しています,は悪いです,もいいですね,といい,も気に入っています,がよいです,が違います,にありません,もよい,もいいし,がイマイチ,になります,も良いですね,が高いです,は良いのですが,もある,がいいですね,もありません,もあり,も良好,にある,もあります,はよく,は落ちますが,も良いし,を考えれば,は最高です,は高い
weight,"",4.8818056678617e-23,4.69549734954193e-23,4.4849811113846e-23,4.11386282182721e-23,4.08255001958332e-23,3.9369399885047e-23,3.90663605439015e-23,3.82860219640718e-23,3.76501412313209e-23,3.56789801130004e-23,3.40918254422074e-23,3.36915558435426e-23,3.23052374129857e-23,3.11359673674055e-23,3.02486713436817e-23,2.97234061658123e-23,2.95537017970228e-23,2.92277919723606e-23,2.91672919041208e-23,2.75697089574773e-23,2.61964759020112e-23,2.57048447659642e-23,2.52289419732315e-23,2.49887723302405e-23,2.45056684938184e-23,2.44870324659303e-23,2.44417068375473e-23,2.42700616756213e-23,2.42295990717143e-23,2.41538066511062e-23,2.40822191449879e-23,2.36889969496219e-23,2.36577299208959e-23,2.33172714501643e-23,2.30669002130449e-23,2.29325826072974e-23,2.26165726377446e-23,2.25261913689894e-23,2.20577771366393e-23,2.16619747479094e-23,2.16517008318037e-23,2.15751845150577e-23,2.14153901781162e-23,2.10874437770551e-23,2.10678405407837e-23,2.07993947741572e-23,2.07936292225145e-23,2.06761000203644e-23,2.0622446854972e-23,2.02908530449674e-23,2.01855507188068e-23,2.01594676949154e-23,2.01490909909535e-23,2.0096370929707e-23,2.00820558453381e-23,1.98383944852901e-23,1.96242075227148e-23,1.95058491408334e-23,1.94016698762473e-23,1.92203780350201e-23,1.88620415050289e-23,1.85790150692712e-23,1.84874969094643e-23,1.84319392709766e-23,1.83788738962186e-23,1.82729942045047e-23,1.82461454342056e-23,1.79995155773789e-23,1.78668159622099e-23,1.77260592534906e-23,1.76672825781677e-23,1.76233134251488e-23,1.7551730984602e-23,1.74910129548622e-23,1.74231623703607e-23,1.72598781831212e-23,1.71923295844033e-23,1.70605481002636e-23,1.69660347143545e-23,1.66760508106182e-23
バランス,2.69130884993408e-24,10,20,5,6,7,5,6,4,6,2,14,3,3,0,2,4,4,3,0,3,0,2,0,4,5,0,2,1,2,8,3,1,9,2,0,8,2,2,0,0,3,4,1,1,0,0,1,0,11,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,5,0,0
使い勝手,2.43327247621245e-24,10,12,5,5,15,4,7,1,4,1,17,12,6,1,3,1,1,5,1,1,1,1,0,3,10,0,1,1,2,4,0,1,6,0,0,5,0,0,1,0,1,3,1,0,0,4,1,3,1,0,0,0,0,0,1,0,1,5,0,1,0,1,0,0,1,0,0,0,4,1,0,1,0,0,0,0,0,0,2,0
持ち,2.42473548176561e-24,0,0,1,0,4,0,30,0,0,6,22,1,6,0,2,9,5,0,0,2,6,3,0,0,5,0,0,1,9,0,0,0,2,0,0,6,2,0,0,0,1,1,5,4,0,7,0,1,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
色乗り,2.35547293916848e-24,2,2,0,2,1,3,0,2,5,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
レスポンス,2.16549700637162e-24,6,2,4,0,0,0,6,0,6,1,8,0,0,2,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
操作性,2.11653149344861e-24,8,4,3,0,4,5,6,9,12,0,4,3,2,3,2,1,0,6,3,2,2,2,0,9,6,1,5,0,2,3,1,8,2,3,0,10,1,0,0,0,0,0,1,0,1,11,1,4,6,3,1,0,2,3,0,1,0,1,0,3,0,0,1,0,0,0,4,0,1,1,0,2,1,0,1,0,1,1,1,0
発色,2.0668621308638e-24,3,1,1,1,0,6,2,4,3,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,4,1,0,2,1,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0
色のり,2.0643843816296e-24,1,1,2,1,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
携帯性,2.05282982965856e-24,2,11,0,0,5,6,3,2,12,2,6,1,3,0,1,1,2,3,1,4,5,3,0,0,3,0,0,1,1,3,1,1,1,1,1,12,0,0,0,1,0,1,0,2,0,11,1,10,2,2,0,0,0,5,1,1,0,0,0,1,0,4,0,0,0,0,5,0,0,1,0,0,0,0,0,3,1,3,1,0
