"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,がいいです,がよい,が良いので,の高い,がいい,は良いです,が高い,もいいです,も良好です,は良好です,が悪いと,は良く,が良いと,も高く,がいいので,は良いと,は良い,も良い,が高く,もいい,も良いので,のある,が高いです,が高いので,が良くて,が悪いです,はいいと,も良いと,はいいですね,はありません,はいいです,の悪い,が感じます,がいいと,が良くない,は感じです,といい,も悪くなく,は高い,は良いのですが,も満足しています,があり,が悪いので,は悪いです,があります,にありません,は最高です,もありません,が違います,も気に入っています,も高い,もいいですね,が高いと,がよいです,は高く,を考えると,が良いのか,にある,がいいですね,が低い,もあり,もある,も良好,もいいし,は落ちますが,は思います,がイマイチ,も良いですね,は抜群です,がよいと,はよいです,も良いし,もよい,はいい,は高いと,はよいと,はよく,はあり,も含めて,を考えて,もなく,がある,にあり,もいいと,は満足しています,がなります,に優れ,もあります,が違う
weight,"",1.00293336902663e-21,9.49321964522068e-22,8.47834670896795e-22,8.30840435967972e-22,7.98300250409896e-22,7.96339177831779e-22,7.90490416229931e-22,7.54699361136744e-22,7.39482027080561e-22,7.34007596338733e-22,6.68296586554262e-22,6.56231637444455e-22,6.46597551028301e-22,6.22092472208389e-22,6.21631168087797e-22,6.12216029709138e-22,5.95979567871905e-22,5.94754231123595e-22,5.93798283606388e-22,5.90238358906505e-22,5.67798615143665e-22,5.62779766583774e-22,5.57888378666475e-22,5.30980946874864e-22,5.27312265531225e-22,5.2184444238525e-22,5.18719082914302e-22,5.18664067037e-22,5.17979322686173e-22,5.12936553202587e-22,5.05100501883125e-22,5.0156026239839e-22,4.96846797721255e-22,4.95856066189515e-22,4.93647605176365e-22,4.83650287049381e-22,4.75851991052447e-22,4.73282830013108e-22,4.6853499017298e-22,4.58891715456255e-22,4.45521455554223e-22,4.4451012008785e-22,4.4190098535831e-22,4.38250951973785e-22,4.15875957625713e-22,4.10557194126587e-22,4.10403559483433e-22,4.08622256930615e-22,4.06520168665123e-22,4.0620639615535e-22,4.0542945973903e-22,4.03058684625509e-22,3.99680324887708e-22,3.9782355119365e-22,3.97396486420972e-22,3.91257276704887e-22,3.90134661998519e-22,3.8695100639386e-22,3.8574097635058e-22,3.83987190155627e-22,3.78425845421813e-22,3.73927591203574e-22,3.73734350274072e-22,3.6337202755854e-22,3.60729308582722e-22,3.59944672851753e-22,3.58292949813794e-22,3.58079626496934e-22,3.56409644320827e-22,3.54661432830297e-22,3.49030744362148e-22,3.4888509503606e-22,3.47586088248528e-22,3.47548186830305e-22,3.42277677664047e-22,3.41438117018939e-22,3.39908795780406e-22,3.39373404173965e-22,3.37676350207661e-22,3.37529042935481e-22,3.37127093886324e-22,3.32818727809992e-22,3.32568957572736e-22,3.31558582365729e-22,3.30217779174366e-22,3.27046535045071e-22,3.26675081979802e-22,3.25077158794071e-22,3.24238668729595e-22,3.23915978903289e-22,3.21122125750175e-22,3.20796773343048e-22,3.15111202355751e-22,3.15026919969043e-22,3.14972576901428e-22,3.12367092570536e-22,3.11209100097016e-22,3.09167902355202e-22,3.08945381068438e-22,3.08663376006077e-22
バランス,4.98578303697508e-23,10,20,5,6,6,5,7,4,6,14,2,3,3,2,2,4,5,2,0,0,3,4,3,9,0,0,8,2,1,0,2,3,0,1,0,1,2,4,11,2,0,0,0,3,4,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0
使い勝手,4.22524703650389e-23,10,12,5,4,7,4,15,1,5,17,1,12,6,3,0,1,10,0,1,1,5,1,1,6,0,1,5,1,1,0,1,0,0,0,0,1,2,3,1,0,4,3,0,1,3,1,0,0,1,0,0,0,0,0,0,1,1,2,1,0,1,0,1,0,5,0,4,0,0,4,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
持ち,4.15766276846052e-23,0,0,1,0,30,0,4,0,0,22,6,1,6,2,0,9,5,0,0,0,0,5,2,2,0,6,6,3,0,0,0,0,0,0,0,1,9,0,0,2,7,1,0,1,1,5,2,0,0,0,1,0,0,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
色乗り,3.81220432265228e-23,2,2,0,5,0,3,1,2,2,1,0,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,3.78388438868582e-23,5,3,1,6,5,5,2,4,0,3,3,1,0,3,0,1,14,1,3,2,9,0,1,1,0,1,4,7,1,1,3,4,0,0,0,1,0,0,0,0,9,2,0,1,1,2,3,2,1,0,3,2,2,0,1,1,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,4,1,0,4,3,2,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0
レスポンス,3.73442603650788e-23,6,2,4,6,6,0,0,0,0,8,1,0,0,1,0,1,1,0,1,2,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
発色,3.60825306505434e-23,3,1,1,3,2,6,0,4,1,0,0,0,0,1,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,1,0,0,4,1,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1,0
操作性,3.59323076323918e-23,8,4,3,12,6,5,4,9,0,4,0,3,2,2,0,1,6,3,3,3,6,0,2,2,0,2,10,2,8,1,5,1,0,0,0,0,2,9,6,1,11,4,1,0,0,1,3,1,1,0,4,2,1,0,3,0,3,1,1,0,0,0,0,0,1,0,3,0,1,1,0,0,0,2,0,0,11,1,0,6,1,4,1,0,2,0,0,1,1,1,2,2,0,2,1,1,0,0,0,0
写り,3.45916330473468e-23,4,7,0,4,2,1,1,0,1,4,0,1,0,1,0,5,4,0,0,0,1,1,2,2,1,2,5,3,2,0,3,0,0,0,0,2,0,2,2,4,6,7,0,0,1,0,1,0,1,0,1,1,0,0,0,0,2,4,8,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,1,1,1,0,2,0,2,0,0,0,0,4,1,3,0,0,1,1
