"",weight,が良く,の良い,がよく,のよい,が悪い,もよく,が良いです,が悪く,も良く,も良いです,がいいです,が良い,も良好です,が悪いと,がよい,が良いので,は良好です,がいい,の悪い,もいいです,は良く,がいいので,は良い,が悪いです,もいい,も良いので,が良くて,は良いです,はいいと,の高い,が良くない,が悪いので,が感じます,が良いのか,が良いと,を考えると,がいいと,もいいですね,はいいですね,もよい,が高い,がよいです,は良いと,があります,も良い,も高く,も良いと,は感じです,も悪くなく,も良いですね,にありません,はいいです,は悪いです,のある,もいいし,が高いので,がイマイチ,にある,も気に入っています,はありません
weight,"",4.62056957763582e-10,4.56637758330751e-10,4.34635513549434e-10,4.22590329285945e-10,3.70911131262019e-10,3.70074083436567e-10,3.69180122421415e-10,3.50937739530189e-10,3.46142644083974e-10,3.35465256428333e-10,3.34589441831736e-10,3.04566541353182e-10,2.98126729145995e-10,2.97716203194022e-10,2.95728554158815e-10,2.87628279419932e-10,2.73362853508129e-10,2.67707022242538e-10,2.66219709450835e-10,2.51026650699557e-10,2.48266594822229e-10,2.45747708341484e-10,2.42622824023696e-10,2.39907069676321e-10,2.26967318034106e-10,2.25024682048104e-10,2.23929811791999e-10,2.22594438077491e-10,2.18414473957151e-10,2.1652558799006e-10,2.1142470923475e-10,2.11330060744892e-10,2.10801228681287e-10,2.10257161440921e-10,2.08674754942157e-10,2.07295514139521e-10,2.05961852844124e-10,2.02256705329295e-10,1.96981328934291e-10,1.94654213252791e-10,1.94422827895304e-10,1.94010594702595e-10,1.9221664244339e-10,1.92189199662413e-10,1.91363205700161e-10,1.8946227488504e-10,1.89292716682934e-10,1.86670004061233e-10,1.85927626259706e-10,1.83017727313413e-10,1.78927250386311e-10,1.78920046470602e-10,1.77680633643059e-10,1.77133528586881e-10,1.76698871627763e-10,1.75953415405318e-10,1.75914531663193e-10,1.75419823742111e-10,1.75136731221978e-10,1.75015055162967e-10
バランス,2.90660326065316e-11,10,20,5,6,6,5,7,2,6,4,3,14,0,4,3,2,3,4,0,0,3,0,2,2,2,3,1,5,4,2,1,1,3,1,9,8,4,0,2,0,2,0,8,0,1,0,11,0,1,1,0,0,1,0,0,0,0,0,0,0
色乗り,2.81326437758832e-11,2,2,0,2,0,3,1,0,5,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
持ち,2.74822554662023e-11,0,0,1,0,30,0,4,6,0,0,1,22,0,5,6,2,0,9,0,0,2,6,3,9,0,0,1,5,0,0,5,4,1,0,2,0,1,0,2,0,0,1,6,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,7
発色,2.5941657683731e-11,3,1,1,1,2,6,0,0,3,4,0,0,0,0,0,1,1,3,0,1,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,1,1
色のり,2.58295573252178e-11,1,1,2,1,0,6,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0
評判,2.56411135613679e-11,0,14,1,3,0,0,0,0,0,0,0,1,0,0,0,6,0,3,3,0,1,2,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,2.47597654830984e-11,6,2,4,0,6,0,0,1,6,0,0,8,2,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
気持ち,2.46449313363339e-11,0,13,1,3,0,0,2,0,0,0,9,7,0,0,2,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
使い勝手,2.30911357288131e-11,10,12,5,5,7,4,15,1,4,1,12,17,1,1,6,3,5,1,0,1,1,1,1,2,1,0,1,10,3,0,1,0,1,0,6,4,3,1,0,0,0,5,5,1,1,0,1,0,1,1,1,3,0,0,1,0,0,0,1,4
視認性,2.20647402153176e-11,0,2,1,0,1,0,0,2,2,0,1,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
重量バランス,2.2047854976937e-11,3,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
感度,2.15108518924252e-11,2,1,0,0,2,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
色,2.13522525676412e-11,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,1,1,2,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,3,0
ホールド感,2.13502789867706e-11,5,3,1,0,5,5,2,3,6,4,1,3,2,0,0,3,9,1,0,3,1,1,7,0,3,4,1,14,0,0,2,0,1,0,1,0,1,0,0,0,1,1,4,1,1,0,0,3,1,0,2,2,1,0,0,0,1,0,0,9
相性,2.12846490613916e-11,1,1,0,0,0,0,2,0,3,3,0,2,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
もち,2.07841018937941e-11,0,0,0,0,7,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0,0,1,1,2,0,1,1,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
操作性,2.02336249069258e-11,8,4,3,0,6,5,4,0,12,9,3,4,3,0,2,2,6,1,1,3,2,2,2,2,5,1,0,6,9,0,1,0,0,0,2,3,0,0,1,0,3,1,10,0,8,0,6,3,1,0,3,4,3,0,0,0,1,1,0,11
