"",weight,が悪い,が良く,の良い,が悪く,がよく,が良いです,が良い,も良く,のよい,も良いです,もよく,がいいです,がよい,が悪いと,もいいです,がいい,は良好です,も良好です,が良いので,が悪いです,が高い,がいいので,は良く,は良いです,はいいと,は良い,の高い,の悪い,は良いと,が良くない,が良いと,が悪いので,が良くて,も良い,も良いので,が高いので,を考えると,はいいですね,も高く,があります,が感じます,がいいと,は感じです,にありません,が高く,があり,もいい,は高いです,も悪くなく,もいいですね,のある,がなります,も良いと,がよいです,は高い,が高いです,はいいです,はありません,も満足しています,がイマイチ,が違います,にある,になります,もありません,は悪いです,は方だと,も良いし,が悪いのが,にあります,といい,も良いですね,を考えれば,は良いのですが,がよいと,もよい,にあり,もあります,も気に入っています,は落ちますが,は良いですが
weight,"",2.67140812973045e-05,2.51123560582318e-05,2.22398418713601e-05,2.08781678166768e-05,2.07277967446907e-05,1.96458128919994e-05,1.87408562198267e-05,1.85354097924558e-05,1.82954635841379e-05,1.79225886754101e-05,1.77633737912657e-05,1.66151015446857e-05,1.59102320836726e-05,1.53648733041241e-05,1.50572828497387e-05,1.48525847154089e-05,1.46343229833484e-05,1.39423897085819e-05,1.38616556555732e-05,1.35351251813224e-05,1.3196281256814e-05,1.31475508894375e-05,1.30342462658823e-05,1.28985293916135e-05,1.27197333107348e-05,1.26564953173266e-05,1.26327396757607e-05,1.20071666334284e-05,1.18443873866697e-05,1.17617497920956e-05,1.16997839580036e-05,1.16636947969233e-05,1.14780520801053e-05,1.14643262238757e-05,1.14584525028333e-05,1.13528360995544e-05,1.12299329615589e-05,1.11917398222465e-05,1.10549638860421e-05,1.07266510417343e-05,1.05882127257663e-05,1.04779354692572e-05,1.04487602330096e-05,1.04175787798932e-05,1.0236995914011e-05,1.01719753955453e-05,1.00462547647873e-05,9.97842134534874e-06,9.97460031285452e-06,9.95233793973526e-06,9.93056390072315e-06,9.88833083630842e-06,9.78805653332658e-06,9.7789750416787e-06,9.67663190173621e-06,9.61564994500517e-06,9.61140254307764e-06,9.54690418129101e-06,9.43023919983778e-06,9.2490068645154e-06,9.17764964849247e-06,9.14313448321983e-06,8.97397349552746e-06,8.90648751789147e-06,8.89879367152859e-06,8.82774923784247e-06,8.81315471161811e-06,8.77165654231182e-06,8.71410346131874e-06,8.67838060532447e-06,8.67507168655596e-06,8.62467263152404e-06,8.60244614827256e-06,8.59277935603765e-06,8.5663125418241e-06,8.46711609395256e-06,8.43726947709744e-06,8.38203870706499e-06,8.37635119047296e-06,8.32751646548589e-06
持ち,1.4081331368712e-06,30,0,0,6,1,4,22,0,0,0,0,1,6,5,0,9,0,0,2,9,0,6,2,5,0,3,0,0,6,5,2,4,1,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,0,5,2,0,3,0,0,0,0,1,0,0,0,1,0,1,0
バランス,1.33781389112736e-06,6,10,20,2,5,7,14,6,6,4,5,3,3,4,0,4,3,0,2,2,2,0,3,5,4,2,2,0,8,1,9,1,1,1,3,0,8,2,0,0,3,4,0,0,0,0,2,0,1,0,0,0,11,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
使い勝手,1.25978747980814e-06,7,10,12,1,5,15,17,4,5,1,4,12,6,1,1,1,5,1,3,2,0,1,1,10,3,1,0,0,5,1,6,0,1,1,0,0,4,0,0,1,1,3,0,1,0,0,1,0,1,1,0,0,1,5,0,0,3,4,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0
色乗り,1.12347102388255e-06,0,2,2,0,0,1,1,5,2,2,3,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
レスポンス,1.11258232968074e-06,6,6,2,1,4,0,8,6,0,0,0,0,0,0,1,1,0,2,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
もち,1.04371155846714e-06,7,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,2,0,1,0,1,2,0,0,0,1,1,1,1,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ホールド感,1.0319705824087e-06,5,5,3,3,1,2,3,6,0,4,5,1,0,0,3,1,9,2,3,0,1,1,1,14,0,7,0,0,4,2,1,0,1,1,4,0,0,0,0,1,1,1,3,2,1,2,3,1,1,0,0,0,0,1,0,0,2,9,2,1,0,0,0,5,1,1,0,0,0,2,0,1,3,3,0,0,0,0,0,1
携帯性,1.00094894123091e-06,3,2,11,2,0,5,6,12,0,2,6,1,3,2,1,1,3,0,1,1,1,5,4,3,0,3,0,0,12,0,1,2,1,1,1,1,3,0,1,0,0,1,2,1,0,0,0,0,1,1,0,0,2,0,0,0,10,11,0,0,0,0,0,1,5,0,1,0,0,1,0,3,5,1,0,1,0,0,3,0
操作性,9.91892705046059e-07,6,8,4,0,3,4,4,12,0,9,5,3,2,0,3,1,6,3,2,2,3,2,2,6,9,2,0,1,10,1,2,0,0,8,1,0,3,1,0,0,0,0,3,3,1,1,5,1,1,0,0,0,6,1,0,0,4,11,2,1,0,1,0,1,3,0,1,0,1,1,0,1,4,1,0,2,0,0,0,2
