"",weight,の良い,が良く,がよく,のよい,もよく,が良いです,も良く,が悪く,も良いです,が悪い,がいいです,も良好です,の悪い,が悪いと,が良いので,が良い,がよい,は良好です,もいいです,がいい,の高い,がいいので,は良い,が良いのか,もいい,は良く,が良くて,が悪いです,もよい,も良いので,もいいですね,が良くない,は良いです,は感じです,がよいです,がいいと,が感じます,が高い,はいいと,も悪くなく,を考えると,にある,があります,もある,のある,もいいし,が良いと,も良いですね,も気に入っています,が悪いので
weight,"",2.43721107001248e-14,2.3650302428884e-14,2.2504378788766e-14,2.21705308030268e-14,1.87015079887735e-14,1.7752160008608e-14,1.73764253204688e-14,1.7074590373627e-14,1.6908700895525e-14,1.6197342750408e-14,1.59484566614781e-14,1.593375206439e-14,1.51522905148641e-14,1.43612870580869e-14,1.40185028015107e-14,1.39412297630207e-14,1.37267517843968e-14,1.35518927940934e-14,1.26268907728022e-14,1.2549547153706e-14,1.21558060275081e-14,1.21553460188691e-14,1.19301582852448e-14,1.1530482446813e-14,1.12803272807865e-14,1.12497260632336e-14,1.07982546937384e-14,1.07880715094907e-14,1.0716464060372e-14,1.05894307342007e-14,1.04123331126832e-14,1.02778032701207e-14,9.82099644863135e-15,9.80459276785182e-15,9.75467260253823e-15,9.73359724689828e-15,9.70088130954046e-15,9.68410311669093e-15,9.62762680469856e-15,9.53339294932781e-15,9.5133485326547e-15,9.47958522892372e-15,9.46641858039519e-15,9.41444244256137e-15,9.37308105242758e-15,9.36782639925527e-15,9.35196241890226e-15,9.1955510776803e-15,9.15480247644981e-15,9.04082997332731e-15
色乗り,1.53713682697905e-15,2,2,0,2,3,1,5,0,2,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
色のり,1.50641923721087e-15,1,1,2,1,6,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
評判,1.48629162676818e-15,14,0,1,3,0,0,0,0,0,0,0,0,3,0,6,1,0,0,0,3,3,2,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持ち,1.45251135813718e-15,0,0,1,0,0,4,0,6,0,30,1,0,0,5,2,22,6,0,0,9,0,6,3,0,0,2,1,9,0,0,0,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,4
発色,1.44146457107818e-15,1,3,1,1,6,0,3,0,4,2,0,0,0,0,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0
バランス,1.42837302156297e-15,20,10,5,6,5,7,6,2,4,6,3,0,0,4,2,14,3,3,0,4,2,0,2,1,2,3,1,2,0,3,0,1,5,0,0,4,3,2,4,1,8,0,0,1,0,0,9,1,0,1
レスポンス,1.42423330313543e-15,2,6,4,0,0,0,6,1,0,6,0,2,0,0,1,8,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,1.41693159570708e-15,13,0,1,3,0,2,0,0,0,0,9,0,0,0,0,7,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
携帯性,1.30666716265991e-15,11,2,0,0,6,5,12,2,2,3,1,0,0,2,1,6,3,3,1,1,0,5,3,0,0,4,1,1,0,1,1,0,3,2,0,1,0,1,0,1,3,0,0,0,0,4,1,0,0,2
操作性,1.25299862512529e-15,4,8,3,0,5,4,12,0,9,6,3,3,1,0,2,4,2,6,3,1,0,2,2,0,5,2,0,2,0,1,0,1,6,3,1,0,0,3,9,1,3,1,0,0,0,0,2,0,0,0
重量バランス,1.25178363770034e-15,0,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0
使い勝手,1.24010444726254e-15,12,10,5,5,4,15,4,1,1,7,12,1,0,1,3,17,6,5,1,1,0,1,1,0,1,1,1,2,0,0,1,1,10,0,5,3,1,0,3,1,4,0,1,0,0,1,6,1,1,0
写り,1.21635959031263e-15,7,4,0,1,1,1,4,0,0,2,1,0,0,1,1,4,0,1,0,5,0,2,3,0,3,2,2,0,1,0,0,0,4,1,0,1,0,0,2,1,0,2,0,0,0,0,2,0,0,0
相性,1.20217936551647e-15,1,1,0,0,0,2,3,0,3,0,0,0,0,0,1,2,1,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,1,1
ホールド感,1.18449085772804e-15,3,5,1,0,5,2,6,3,4,5,1,2,0,0,3,3,0,9,3,1,0,1,7,0,3,1,1,0,0,4,0,2,14,3,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0
視認性,1.13890494572574e-15,2,0,1,0,0,0,2,2,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
感度,1.12558640669403e-15,1,2,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ホールド性,1.12490354143372e-15,0,4,1,0,0,2,0,1,0,2,0,0,0,0,1,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
色,1.12021449684646e-15,0,0,0,0,0,0,1,1,0,2,1,0,0,0,1,1,0,1,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0
反応,1.10120298734987e-15,2,1,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
出来,1.09939220090571e-15,5,0,0,1,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
音,1.09720543010964e-15,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
描写,1.09395034553303e-15,2,1,0,0,0,0,6,0,3,0,1,1,0,0,2,0,0,0,1,1,0,1,1,0,1,3,2,0,1,1,0,0,5,0,0,0,0,0,0,0,1,5,0,3,0,0,4,0,0,0
デザイン,1.04796153241247e-15,1,3,1,0,1,2,7,0,2,0,0,0,0,0,2,7,1,1,3,1,0,0,2,0,2,0,0,0,0,0,0,0,2,5,0,1,0,0,6,1,0,0,0,0,1,3,1,0,3,0
質,1.04227144005712e-15,4,1,0,1,0,1,1,1,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ヌケ,1.03541890237748e-15,5,2,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見た目,1.00400298775639e-15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
取り回し,9.7709421232543e-16,0,0,1,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
もち,9.68202630550054e-16,0,0,0,0,0,1,0,0,1,7,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,2,0,0,0,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1
ボケ味,9.62428186673684e-16,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
配置,9.48185300939206e-16,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
位置,9.34389059643419e-16,0,0,0,0,1,0,0,3,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8,1,0,0,0,0,0,0,0
シャッター音,9.18129813754681e-16,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
操作感,8.95025587046513e-16,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,2,1,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
天気,8.8753997902441e-16,15,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,8.6598128276035e-16,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,3,0,0,4,0,0,0,1,0
画質,8.6466266318937e-16,2,6,1,1,11,6,14,0,5,12,6,2,2,4,5,24,1,2,9,9,0,1,7,1,4,7,2,4,0,0,1,1,13,2,0,1,0,0,11,3,2,3,1,0,0,2,13,0,3,2
