"",weight,バランス,使い勝手,持ち,色乗り,レスポンス,操作性,発色,色のり,携帯性,評判,ホールド感,デザイン,相性,気持ち,視認性,もち,写り,重量バランス,描写,感度,ホールド性,色,質,精度,画質,感触,描写力,見た目,反応,音,操作感,ボケ味,性能,解像度,シャッター音,質感,取り回し,出来,ヌケ,位置,配置,AF精度,コントラスト,補正,コストパフォーマンス,切れ,色合い,画像,天気,ボケ,条件,レンズ,音質,解像感,液晶,電池持ち,カメラ,ホールド,バッテリー,重さ,AF,フィーリング,ボケ具合,大きさ,キレ,グリップ感,使用頻度,機動性,機能性,・画質,満足度,描写性能,動画,ファインダー,グリップ,画素数,表現力,気分,・操作性,完成度
weight,"",9.20649316880579e-22,8.35969747261494e-22,8.30362988650431e-22,8.05817720722127e-22,7.41200805218049e-22,7.23844411371679e-22,7.07855003734978e-22,7.06630014883852e-22,7.00909177372942e-22,6.90232996837195e-22,6.73936088115167e-22,6.50403717983687e-22,6.49932602857061e-22,6.44043017301883e-22,6.21894171989099e-22,6.21578131976669e-22,5.99571747731514e-22,5.91358121908668e-22,5.84435104422028e-22,5.83800031867442e-22,5.79659316825435e-22,5.76135095029667e-22,5.66157495981743e-22,5.52764151653391e-22,5.49477622737334e-22,5.31707310018027e-22,5.26381663166988e-22,5.2574134517459e-22,5.16763587468622e-22,5.10051717529205e-22,5.00168385583568e-22,4.94210574147079e-22,4.93792792050396e-22,4.93487553504949e-22,4.9221472847869e-22,4.85106873022108e-22,4.799152487129e-22,4.72079237061623e-22,4.64099063666796e-22,4.5546400123666e-22,4.3770364428847e-22,4.36535476450541e-22,4.32635323870991e-22,4.21663603432514e-22,4.17423543462298e-22,4.09455346813275e-22,4.01587669924806e-22,3.99941570927914e-22,3.88604811615535e-22,3.87006269663062e-22,3.83818440573008e-22,3.8265478099054e-22,3.77745017587894e-22,3.72785767798057e-22,3.69795554085117e-22,3.69069928940478e-22,3.627114076223e-22,3.61153120558393e-22,3.54172186127578e-22,3.5247074730834e-22,3.46927850851044e-22,3.44883406445828e-22,3.44710284622049e-22,3.42113134513623e-22,3.39692173092451e-22,3.31503214632202e-22,3.24522971566616e-22,3.18368904980978e-22,3.08964525656951e-22,3.05759990283611e-22,2.98332401020028e-22,2.9803062681086e-22,2.95583414462752e-22,2.92404403329423e-22,2.91837169019953e-22,2.8995018080807e-22,2.89646276133981e-22,2.85733230857757e-22,2.83147106733305e-22,2.81022295811494e-22
が良く,4.8818056678617e-23,10,10,0,2,6,8,3,1,2,0,5,3,1,0,0,0,4,3,1,2,4,0,1,2,6,1,0,1,1,0,0,0,0,0,0,5,0,0,2,0,1,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
の良い,4.69549734954193e-23,20,12,0,2,2,4,1,1,11,14,3,1,1,13,2,0,7,0,2,1,0,0,4,2,2,0,0,0,2,0,0,0,5,0,0,1,0,5,5,0,0,1,1,0,5,4,1,0,15,0,2,5,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
がよく,4.4849811113846e-23,5,5,1,0,4,3,1,2,0,1,1,1,0,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のよい,4.11386282182721e-23,6,5,0,2,0,0,1,1,0,3,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いです,4.08255001958332e-23,7,15,7,1,0,4,0,1,5,0,2,2,2,2,0,1,1,0,0,0,2,0,1,0,6,2,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
もよく,3.9369399885047e-23,5,4,6,3,0,5,6,6,6,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0,1,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪い,3.90663605439015e-23,6,7,36,0,6,6,2,0,3,0,5,0,0,0,1,7,2,1,0,2,2,2,2,2,12,0,0,0,2,1,0,0,0,1,0,1,0,0,0,5,0,2,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
も良いです,3.82860219640718e-23,4,1,5,2,0,9,4,0,2,0,4,2,3,0,0,1,0,0,3,0,0,0,0,1,5,1,0,0,1,0,0,2,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0
も良く,3.76501412313209e-23,6,4,7,5,6,12,3,0,12,0,6,7,3,0,2,0,6,0,6,0,0,1,1,1,14,0,1,0,0,1,0,1,3,1,1,5,2,0,1,0,0,1,1,0,1,1,1,0,0,4,0,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
が悪く,3.56789801130004e-23,2,1,6,0,1,0,0,0,2,0,3,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良い,3.40918254422074e-23,14,17,24,1,8,4,0,0,6,1,3,7,2,7,2,1,4,0,0,0,1,1,0,2,24,2,0,0,0,0,1,0,2,1,0,4,0,1,0,0,0,0,1,0,5,1,0,1,2,1,1,1,1,0,1,0,0,1,1,3,1,0,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,3,0
がいいです,3.36915558435426e-23,3,12,6,2,0,3,0,1,1,0,1,0,0,9,1,0,1,1,1,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
がよい,3.23052374129857e-23,3,6,6,0,0,2,0,0,3,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
も良好です,3.11359673674055e-23,0,1,1,1,2,3,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いので,3.02486713436817e-23,2,3,2,0,1,2,1,0,1,6,3,2,1,0,0,0,1,0,2,1,1,1,0,1,5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
