"",weight,の良い,が良く,がよく,のよい,もよく,が良いです,も良く,が悪く,も良いです,が悪い,がいいです,も良好です,の悪い,が悪いと,が良いので,が良い,がよい,は良好です,は良い,がいいので,がいい,の高い,もいいです,が良いのか,もいい,は良く,が悪いです,を考えると,が良くて,も良いので,もよい,もいいですね,が良くない,がいいと,はいいと,がよいです,が感じます,は感じです,もいいし,も悪くなく,が良いと,は良いです,のある,もある,も気に入っています,は良いと,があります,も良いですね,が悪いので,が高い
weight,"",1.28864804214337e-16,1.22759092659006e-16,1.1775913987045e-16,1.17749807847179e-16,9.80609425259747e-17,9.30718088299248e-17,9.26769009537122e-17,8.99765930450613e-17,8.71967900076399e-17,8.32017700801003e-17,8.28466658357257e-17,8.27995209473988e-17,7.91316892879803e-17,7.61454642325833e-17,7.5945143944201e-17,7.55254940235694e-17,7.40611540020724e-17,7.16964896120968e-17,6.61027754795174e-17,6.58846476102131e-17,6.50376749901788e-17,6.4640783711864e-17,6.37027626777727e-17,6.07677312867298e-17,6.03414985975762e-17,6.0103433533679e-17,5.75779638822299e-17,5.75671802831525e-17,5.7551244733318e-17,5.68684638831685e-17,5.65562451834286e-17,5.50770376828642e-17,5.48788285450075e-17,5.30384222063269e-17,5.27431846278431e-17,5.24294125415048e-17,5.23754988026604e-17,5.16392684103985e-17,5.13231792478398e-17,5.09506846460573e-17,5.03251883888654e-17,5.01099021502819e-17,4.98661435519096e-17,4.9491261201206e-17,4.91718839926748e-17,4.90911982638313e-17,4.90344140335258e-17,4.90300420175932e-17,4.83768309178e-17,4.82382302231882e-17
色乗り,8.14466650808143e-18,2,2,0,2,3,1,5,0,2,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
評判,7.94840745905824e-18,14,0,1,3,0,0,0,0,0,0,0,0,3,0,6,1,0,0,0,2,3,3,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,7.7807498676631e-18,1,1,2,1,6,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0
発色,7.63217749412027e-18,1,3,1,1,6,0,3,0,4,2,0,0,0,0,1,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,2,0,0,1,0,0,0,0,0
気持ち,7.5409182110944e-18,13,0,1,3,0,2,0,0,0,0,9,0,0,0,0,7,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
持ち,7.38298361527336e-18,0,0,1,0,0,4,0,6,0,30,1,0,0,5,2,22,6,0,3,6,9,0,0,0,0,2,9,0,1,0,0,0,5,1,0,1,1,2,0,0,2,5,0,0,0,6,0,0,4,0
レスポンス,7.27591793485246e-18,2,6,4,0,0,0,6,1,0,6,0,2,0,0,1,8,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
バランス,6.86413082228292e-18,20,10,5,6,5,7,6,2,4,6,3,0,0,4,2,14,3,3,2,0,4,2,0,1,2,3,2,8,1,3,0,0,1,4,4,0,3,0,0,1,9,5,0,1,0,8,0,1,1,2
重量バランス,6.60745702563342e-18,0,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
