"",weight,が良く,が悪く,の良い,がよく,のよい,が悪い,が悪いと,の高い,が良いです,の悪い,が高い,も良いです,がいいです,も良好です,がよい,もよく,も良く,を上げて,が悪いです,が良くて,がなります,は良好です,を考えると,が悪いので,が感じます,を上げると,が良くない,があります,がいいので,がいい,もいいです,が悪いのが,もいいですね,は良いです,もよい,は良く,が良い,を上げる,は良い,はいいと
weight,"",6.57522446641736e-05,5.85576528503858e-05,5.64047669516774e-05,5.52680739861077e-05,5.03410996896908e-05,4.70675153035504e-05,4.10861749587659e-05,4.02329370099609e-05,3.9176209261837e-05,3.8560381311778e-05,3.83777691068465e-05,3.79057872074063e-05,3.72200493298838e-05,3.65491373892202e-05,3.64868465764596e-05,3.62123829895475e-05,3.5639792874997e-05,3.47027575150322e-05,3.41308813975733e-05,3.40409223255509e-05,3.31034954660629e-05,3.28487122348932e-05,3.27365214738933e-05,3.2417864210567e-05,3.20608076293659e-05,3.17848035770612e-05,3.13563084644868e-05,3.10963551422393e-05,3.00229441965919e-05,2.97623943600582e-05,2.96239363366169e-05,2.93048841104562e-05,2.87844253598309e-05,2.87306292746711e-05,2.84737117951988e-05,2.79015379831698e-05,2.77828885330351e-05,2.77645374028171e-05,2.75002919055228e-05,2.74360490815898e-05
持ち,3.84429957670482e-06,0,6,0,1,0,30,5,0,4,0,0,0,1,0,6,0,0,0,9,1,0,0,0,4,1,0,5,0,6,9,0,3,0,5,0,2,22,0,3,0
レスポンス,3.00853997976184e-06,6,1,2,4,0,6,0,0,0,0,0,0,0,2,0,0,6,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,8,0,1,0
色乗り,2.99833381206554e-06,2,0,2,0,2,0,1,0,1,0,0,2,2,1,0,3,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
色のり,2.95149049947361e-06,1,0,1,2,1,0,0,0,1,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0
感度,2.89115766574956e-06,2,1,1,0,0,2,1,2,0,0,0,0,0,1,0,0,0,13,1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,6,0,0
視認性,2.78142823746136e-06,0,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
気持ち,2.72904238317847e-06,0,0,13,1,3,0,0,0,2,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,0,7,0,0,0
発色,2.68718895372685e-06,3,0,1,1,1,2,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,1,0,0,1,0,1,0,0,3,1,0,0,2,0,0,0,0,0,0
位置,2.66757164315275e-06,0,3,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1
評判,2.62780065613847e-06,0,0,14,1,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,1,0,0,0
写り,2.57324076849949e-06,4,0,7,0,1,2,1,0,1,0,0,0,1,0,0,1,4,0,0,2,0,1,0,0,0,0,0,0,2,5,0,0,0,4,1,2,4,0,3,2
音,2.57122750400454e-06,0,1,0,0,0,1,1,0,0,0,0,0,2,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
もち,2.56548082529171e-06,0,0,0,0,0,7,0,0,1,0,0,1,0,0,1,0,0,0,2,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,2
反応,2.54869893719383e-06,1,1,2,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ホールド性,2.47696737831065e-06,4,1,0,1,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0
重量バランス,2.46806381132016e-06,3,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
バランス,2.38697794769742e-06,10,2,20,5,6,6,4,2,7,0,2,4,3,0,3,5,6,0,2,1,0,3,8,1,3,0,1,0,0,4,0,0,0,5,0,3,14,0,2,4
