"",weight,のよい,の良い,が良く,がよく,もよく,も良く,の悪い,が良いです,が悪く,も良いです,が良い,がいいです,も良好です,が悪い,が悪いと,もいいです,が良いのか,が良いので,は良好です,がよい,の高い,がいいので,がいい,は良く,もいいですね,もよい,が良くて,は良い,が悪いです,を考えると,はいいと,のある,もいい,も悪くなく,は感じです,で満足しています,が悪いので,も良くて,もいいし,が良いと
weight,"",3.97370259490564e-12,3.90551692693819e-12,3.79707246173603e-12,3.60750365172697e-12,3.10675204178824e-12,2.94548855521651e-12,2.91759709918464e-12,2.89961552141055e-12,2.85009531357975e-12,2.67437775485827e-12,2.6737314077932e-12,2.64551224608332e-12,2.6099547620618e-12,2.52481224396008e-12,2.49074357619645e-12,2.26469938859376e-12,2.13398883037203e-12,2.10684128928291e-12,2.06994723536236e-12,2.06613073451493e-12,2.06329236408058e-12,2.02844224543433e-12,1.95103467226951e-12,1.94262441783489e-12,1.89196434773454e-12,1.86779956620946e-12,1.85179491021239e-12,1.83909299627636e-12,1.8228027822917e-12,1.78490561887777e-12,1.7625804156346e-12,1.72663598965746e-12,1.69813420599371e-12,1.67289195375979e-12,1.6509576661625e-12,1.63674701462488e-12,1.63538456481579e-12,1.62512365334291e-12,1.62200035575923e-12,1.60545196914622e-12
色のり,2.84733648184083e-13,1,1,1,2,6,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,2,2,0,0,1,0
色乗り,2.84628284387227e-13,2,2,2,0,3,5,0,1,0,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
評判,2.60966618854553e-13,3,14,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,6,0,0,3,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
レスポンス,2.55718674045126e-13,0,2,6,4,0,6,0,0,1,0,8,0,2,6,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0
発色,2.4317091409228e-13,1,1,3,1,6,3,0,0,0,4,0,0,0,2,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0
重量バランス,2.35979888083057e-13,0,0,3,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2
気持ち,2.34013723615749e-13,3,13,0,1,0,0,0,2,0,0,7,9,0,0,0,0,0,0,0,2,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持ち,2.32633865282282e-13,0,0,0,1,0,0,0,4,6,0,22,1,0,30,5,0,0,2,0,6,0,6,9,2,0,0,1,3,9,0,0,0,0,0,2,0,4,0,0,2
出来,2.21233622693127e-13,1,5,0,0,0,0,4,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
ホールド感,2.10617695099161e-13,0,3,5,1,5,6,0,2,3,4,3,1,2,5,0,3,0,3,9,0,0,1,1,1,0,0,1,7,0,0,0,0,3,1,3,0,0,0,0,1
写り,2.10532821428523e-13,1,7,4,0,1,4,0,1,0,0,4,1,0,2,1,0,0,1,1,0,0,2,5,2,0,1,2,3,0,0,2,0,3,1,1,0,0,2,0,2
相性,2.09259965000064e-13,0,1,1,0,0,3,0,2,0,3,2,0,0,0,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2
位置,2.08478721839589e-13,0,0,0,0,1,0,1,0,3,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
視認性,2.07090897820322e-13,0,2,0,1,0,2,0,0,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
質,2.0619313208451e-13,1,4,1,0,0,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,2.06055842896675e-13,0,0,4,1,0,0,0,2,1,0,1,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
描写,2.02310425825676e-13,0,2,1,0,0,6,0,0,0,3,0,1,1,0,0,1,0,2,0,0,0,1,1,3,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,4
バランス,2.01368348618303e-13,6,20,10,5,5,6,0,7,2,4,14,3,0,6,4,0,1,2,3,3,2,0,4,3,0,0,1,2,2,8,4,0,2,1,0,0,1,0,0,9
反応,2.00331639636299e-13,0,2,1,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音,1.96570586906772e-13,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ヌケ,1.94596506134138e-13,0,5,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
携帯性,1.91767502036981e-13,0,11,2,0,6,12,0,5,2,2,6,1,0,3,2,1,0,1,3,3,0,5,1,4,1,0,1,3,1,3,0,0,0,1,2,0,2,0,4,1
感度,1.89780919066279e-13,0,1,2,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
見た目,1.83782629325512e-13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
取り回し,1.82671280491656e-13,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
配置,1.79695843052563e-13,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
色,1.72130956790233e-13,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0
操作性,1.7001710091557e-13,0,4,8,3,5,12,1,4,0,9,4,3,3,6,0,3,0,2,6,2,0,2,1,2,0,0,0,2,2,3,9,0,5,1,3,1,0,0,0,2
操作感,1.7000930658284e-13,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
使い勝手,1.68626336492865e-13,5,12,10,5,4,4,0,15,1,1,17,12,1,7,1,1,0,3,5,6,0,1,1,1,1,0,1,1,2,4,3,0,1,1,0,0,0,0,1,6
天気,1.6787736243676e-13,1,15,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,1.66066175662789e-13,0,2,2,0,0,1,0,0,0,1,2,0,0,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ボケ味,1.62238928376974e-13,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
描写力,1.61053442793458e-13,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0
