"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,がいいので,が良いと,は良い,もいい,も良い,も良いので,のある,が良くて,が悪いです,はいいですね,は良いと,はいいと,の悪い,が高い,も高く,も良いと,が感じます,はありません,の高い,が良くない,があります,を考えると,がいいと,はいいです,も悪くなく,も満足しています,が高いので,があり,が悪いので,が高く,は悪いです,といい,は感じです,にありません,も気に入っています,が良いのか,もいいですね,が違います,もありません,は良いのですが,がよいです,もある,もよい,がイマイチ,が高いです,にある,も良好,は最高です,もあり,も良いですね,もいいし,がいいですね,もあります,はいい,はよく,も良いし,は思います,も高い,は落ちますが,がなります,がよいと,もあって,は満足しています,は高い,に満足しています,はよいです,は抜群です,で満足しています,もなく
weight,"",9.33672754215188e-19,8.84737590445957e-19,8.15630336222048e-19,7.48359562052655e-19,7.418764215993e-19,7.30301471506069e-19,7.22702732809386e-19,7.16890909600059e-19,6.93979690412944e-19,6.63188314890519e-19,6.35652231779139e-19,6.10676827035921e-19,6.02899424485099e-19,5.83235953111214e-19,5.70285120338802e-19,5.52280531260657e-19,5.39252391658434e-19,5.26675965419951e-19,5.146481596137e-19,5.07335856653061e-19,4.94143301495953e-19,4.80652721510802e-19,4.78634239549717e-19,4.71712546542943e-19,4.69494109337936e-19,4.67446284816199e-19,4.63889705324471e-19,4.49703317135878e-19,4.49555995040629e-19,4.39644278248892e-19,4.25515232615919e-19,4.25496513856607e-19,4.18995092607498e-19,4.17405827047978e-19,4.1460943431278e-19,4.05291546993708e-19,4.03692671434968e-19,4.02500459667398e-19,4.01603848518581e-19,3.92986422718059e-19,3.87860803148899e-19,3.85669923218241e-19,3.84344062728117e-19,3.82889153254138e-19,3.78439684027559e-19,3.75053888490836e-19,3.74949485704113e-19,3.74281261986612e-19,3.73331409950412e-19,3.71477306364087e-19,3.69240657148907e-19,3.66275870921202e-19,3.64673179835258e-19,3.64248352249066e-19,3.53820596753078e-19,3.51028780746006e-19,3.48382176817638e-19,3.48006009759548e-19,3.47282562037463e-19,3.43562998557923e-19,3.39201242694194e-19,3.36187541393202e-19,3.32648534102707e-19,3.32279688741813e-19,3.31270187594323e-19,3.29040937386941e-19,3.26725104347523e-19,3.25075039555688e-19,3.23715044634988e-19,3.2344563674738e-19,3.20284529722205e-19,3.19906243445418e-19,3.19085237334448e-19,3.1188989804957e-19,3.07334436384391e-19,3.07136953506318e-19,3.05664761734364e-19,3.04204722632276e-19,3.0081322241384e-19,2.97700052800269e-19,2.97469751594536e-19,2.96902489385957e-19,2.96446778042539e-19,2.94637905940847e-19,2.92765727608497e-19,2.90969752388502e-19,2.89857709002811e-19,2.88908327430424e-19,2.88839255089268e-19,2.88723070735515e-19
バランス,3.93266544153658e-20,10,20,5,6,6,7,5,6,4,14,2,3,3,4,2,0,0,4,3,3,5,0,9,2,2,1,3,0,1,2,2,8,4,0,2,0,11,3,0,2,1,0,8,4,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
持ち,3.39488780319362e-20,0,0,1,30,0,4,0,0,0,22,6,1,6,9,2,0,0,5,0,2,5,6,2,3,0,0,0,0,1,9,2,6,0,0,0,0,0,1,7,0,5,0,0,1,1,0,0,0,0,4,0,5,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
使い勝手,3.19370316578061e-20,10,12,5,7,4,15,4,5,1,17,1,12,6,1,3,1,1,1,5,1,10,1,6,1,1,1,0,0,1,2,0,5,3,0,0,0,1,1,4,0,1,1,4,3,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,5,0,0,0,0,0,1,2,0,1,1,4,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
色乗り,3.12157375982314e-20,2,2,0,0,5,1,3,2,2,1,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,3.03417176630785e-20,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,2,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
発色,2.86840418161391e-20,3,1,1,2,3,0,6,1,4,0,0,0,0,3,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,4,0,1,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2
ホールド感,2.79684992152292e-20,5,3,1,5,6,2,5,0,4,3,3,1,0,1,3,2,3,0,9,1,14,1,1,7,3,1,4,0,1,0,0,4,0,0,1,0,0,1,9,0,2,1,0,1,2,1,2,0,2,0,1,1,2,3,2,0,0,0,0,5,3,1,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,3,3,0,0,0,2,4,0,0
色のり,2.76339347098764e-20,1,1,2,0,0,1,6,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
評判,2.71530989547022e-20,0,14,1,0,0,0,0,3,0,1,0,0,0,3,6,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
