"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,がいいです,も良好です,が良い,が良いので,がよい,が悪いと,がいい,は良好です,もいいです,は良く,の悪い,は良い,がいいので,もいい,も良い,が良くて,が悪いです,はいいと,が良いと,も良いので,は良いです,のある,はいいですね,が良くない,がいいと,が感じます,の高い,を考えると,が良いのか,も悪くなく,は良いと,が悪いので,が高い,があります,はいいです,もよい,もいいですね,がよいです,といい,も満足しています,は感じです,も良いと,も気に入っています,が違います,もいいし,もある,は悪いです,も良いですね,も高く,にありません,はありません,があり,も良好,がイマイチ,にある,は良いのですが,がいいですね,もあります,が高いので,も良くて
weight,"",1.49725104412479e-22,1.46224301528271e-22,1.40017764928996e-22,1.29410984168669e-22,1.21833853722947e-22,1.19650987037511e-22,1.17195566910584e-22,1.15292437420616e-22,1.13968526919163e-22,1.09172926938125e-22,9.95604263057181e-23,9.54682612667585e-23,9.44434528101278e-23,9.36841186525397e-23,9.20456513306339e-23,8.95981191429873e-23,8.79594818807364e-23,8.7935528289847e-23,8.35469440158978e-23,8.02670320751172e-23,7.93007540335399e-23,7.78902103920122e-23,7.66415434190849e-23,7.47471700843345e-23,7.14252792530573e-23,7.11041728762783e-23,7.09017003227895e-23,7.08777030128239e-23,6.99418519744556e-23,6.88992920656881e-23,6.8492096169914e-23,6.77778213577884e-23,6.54446791716939e-23,6.50960705285759e-23,6.50250538111206e-23,6.49320511255871e-23,6.44816624796377e-23,6.43479292426614e-23,6.41526431975775e-23,6.37430795815306e-23,6.21707824884349e-23,6.18931941775073e-23,6.18009500504809e-23,6.11030958651217e-23,6.09882629980418e-23,6.04948450105194e-23,6.04528998113216e-23,5.88791394781257e-23,5.87468438237241e-23,5.87343880187453e-23,5.85824155730461e-23,5.85605923046956e-23,5.80737947836343e-23,5.7920724672129e-23,5.74145808084608e-23,5.64491492661851e-23,5.62193889344325e-23,5.60615588084603e-23,5.48404672696277e-23,5.48077691912631e-23,5.41488148173679e-23,5.36442254523405e-23,5.29393604169678e-23,5.28457887886275e-23,5.26624442555969e-23,5.22816091219535e-23,5.12941137275461e-23,5.11064802311459e-23,5.10720714071234e-23,5.09391903939075e-23
バランス,8.90768580112267e-24,10,20,5,6,7,5,6,4,6,2,3,0,14,2,3,4,4,3,0,3,0,2,0,2,1,1,2,4,9,3,5,0,2,1,4,3,2,8,1,1,8,1,2,0,0,0,0,0,0,1,0,11,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
色乗り,8.24386808881888e-24,2,2,0,2,1,3,0,2,5,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
持ち,7.8119762526556e-24,0,0,1,0,4,0,30,0,0,6,1,0,22,2,6,5,9,0,0,2,0,3,6,0,0,1,9,0,2,0,5,0,2,5,1,1,0,0,0,0,6,4,0,0,1,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,7,0,0,0,0,1,0,1,0,0
使い勝手,7.58348934249129e-24,10,12,5,5,15,4,7,1,4,1,12,1,17,3,6,1,1,5,1,1,0,1,1,1,1,1,2,3,6,0,10,0,0,1,3,1,0,4,0,1,5,0,0,1,3,0,1,5,0,0,0,1,1,0,1,0,0,1,0,1,4,0,1,0,0,0,4,0,0,0
レスポンス,7.53492240429738e-24,6,2,4,0,0,0,6,0,6,1,0,2,8,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
発色,7.47231791826964e-24,3,1,1,1,0,6,2,4,3,0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,4,1,0,1,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
色のり,7.33805254393681e-24,1,1,2,1,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
評判,7.18384102594224e-24,0,14,1,3,0,0,0,0,0,0,0,0,1,6,0,0,3,0,0,1,3,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,6.77264706105238e-24,0,13,1,3,2,0,0,0,0,0,9,0,7,0,2,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
