"",weight,色乗り,色のり,評判,持ち,発色,バランス,レスポンス,気持ち,携帯性,操作性,重量バランス,使い勝手,写り,相性,ホールド感,視認性,感度,ホールド性,色,反応,出来,音,描写,デザイン,質,ヌケ,見た目,取り回し,もち,ボケ味,配置,位置,シャッター音,操作感,天気,描写力,画質,切れ,精度,条件,カメラ,感触,画像,電池持ち,解像度,感じ,レンズ,ボケ,補正,質感
weight,"",1.53713682697905e-15,1.50641923721087e-15,1.48629162676818e-15,1.45251135813718e-15,1.44146457107818e-15,1.42837302156297e-15,1.42423330313543e-15,1.41693159570708e-15,1.30666716265991e-15,1.25299862512529e-15,1.25178363770034e-15,1.24010444726254e-15,1.21635959031263e-15,1.20217936551647e-15,1.18449085772804e-15,1.13890494572574e-15,1.12558640669403e-15,1.12490354143372e-15,1.12021449684646e-15,1.10120298734987e-15,1.09939220090571e-15,1.09720543010964e-15,1.09395034553303e-15,1.04796153241247e-15,1.04227144005712e-15,1.03541890237748e-15,1.00400298775639e-15,9.7709421232543e-16,9.68202630550054e-16,9.62428186673684e-16,9.48185300939206e-16,9.34389059643419e-16,9.18129813754681e-16,8.95025587046513e-16,8.8753997902441e-16,8.6598128276035e-16,8.6466266318937e-16,8.46603601484273e-16,8.25962921156791e-16,8.1589717428724e-16,7.97711759915936e-16,7.90119939309436e-16,7.78328418289444e-16,7.75026175472106e-16,7.50840998799604e-16,7.37019198224132e-16,7.36596515031362e-16,7.26609940499869e-16,7.23216441106184e-16,6.97870219746043e-16
の良い,1.28864804214337e-16,2,1,14,0,1,20,2,13,11,4,0,12,7,1,3,2,1,0,0,2,5,0,2,1,4,5,0,0,0,0,0,0,0,0,15,0,2,4,2,2,3,0,0,0,0,0,5,0,0,1
が良く,1.22759092659006e-16,2,1,0,0,3,10,6,0,2,8,3,10,4,1,5,0,2,4,0,1,0,0,1,3,1,2,1,0,0,0,1,0,0,0,0,0,6,3,2,0,0,1,0,0,0,0,1,0,0,5
がよく,1.1775913987045e-16,0,2,1,1,1,5,4,1,0,3,2,5,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
のよい,1.17749807847179e-16,2,1,3,0,1,6,0,3,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
もよく,9.80609425259747e-17,3,6,0,6,6,5,0,0,6,5,0,4,1,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,11,0,0,0,0,1,1,1,1,0,0,0,0,2
が良いです,9.30718088299248e-17,1,1,0,7,0,7,0,2,5,4,0,15,1,2,2,0,0,2,0,0,1,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,6,0,0,0,0,2,0,1,0,1,0,1,0,2
も良く,9.26769009537122e-17,5,0,0,7,3,6,6,0,12,12,0,4,6,3,6,2,0,0,1,0,0,1,6,7,1,1,0,2,0,1,0,0,1,0,0,1,14,1,1,0,0,0,0,0,1,0,1,4,0,5
が悪く,8.99765930450613e-17,0,0,0,6,0,2,1,0,2,0,0,1,0,0,3,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も良いです,8.71967900076399e-17,2,0,0,5,4,4,0,0,2,9,0,1,0,3,4,0,0,0,0,1,0,0,3,2,0,0,0,1,1,2,1,0,0,0,0,0,5,0,1,0,0,1,0,1,0,1,0,1,1,2
