"",weight,の良い,が良く,がよく,のよい,もよく,が良いです,も良く,が悪く,も良いです,が悪い,がいいです,も良好です,が良い,の悪い,が悪いと,が良いので,は良好です,がよい,もいいです,は良い,がいい,がいいので,の高い,は良く,もいい,が良いのか,が良くて,も良いので,が悪いです,もよい,は良いです,もいいですね,がいいと,を考えると,が良くない,はいいと,が感じます,がよいです,は感じです,も悪くなく,が良いと,もいいし,が高い,は良いと,もある,があります,も気に入っています,も良いと,も良いですね,といい
weight,"",3.6116937590877e-21,3.61021717875705e-21,3.41159055518609e-21,3.36862441604607e-21,2.88861003793757e-21,2.7383545430224e-21,2.67686861034416e-21,2.54373280639307e-21,2.51295168228104e-21,2.48808521568923e-21,2.40542105546584e-21,2.38106819632909e-21,2.22565068497421e-21,2.22078619436289e-21,2.14728430989616e-21,2.11966944652323e-21,2.1119124765746e-21,2.1022956675448e-21,1.87242030859416e-21,1.85629192304466e-21,1.8398507896827e-21,1.83502524907044e-21,1.7350820220107e-21,1.7333079215236e-21,1.72353134388806e-21,1.71187381418276e-21,1.65181095784516e-21,1.63527390283395e-21,1.62067549386434e-21,1.59944061283733e-21,1.57633805196452e-21,1.56821513841407e-21,1.54916433848825e-21,1.54759044188003e-21,1.54609157245724e-21,1.54107262320597e-21,1.50980492867739e-21,1.50530728905187e-21,1.49491964711007e-21,1.48382848714221e-21,1.47595085660251e-21,1.46655450352756e-21,1.45621543910623e-21,1.44424522203123e-21,1.40139668833822e-21,1.38516358159997e-21,1.38444590049867e-21,1.36705880660879e-21,1.3454585897632e-21,1.34314448343778e-21
色乗り,2.28309614661052e-22,2,2,0,2,3,1,5,0,2,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
評判,2.19436214496697e-22,14,0,1,3,0,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,3,2,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
色のり,2.17726593021715e-22,1,1,2,1,6,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,1,0,0
発色,2.1237854150368e-22,1,3,1,1,6,0,3,0,4,2,0,0,0,0,0,1,1,0,1,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1,0,1,1,0,2,0,0,0,0,1,0,0,2
気持ち,2.10557862120485e-22,13,0,1,3,0,2,0,0,0,0,9,0,7,0,0,0,0,2,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
レスポンス,2.02258663265319e-22,2,6,4,0,0,0,6,1,0,6,0,2,8,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
持ち,1.90317591578899e-22,0,0,1,0,0,4,0,6,0,30,1,0,22,0,5,2,0,6,0,3,9,6,0,2,0,0,1,0,9,0,5,0,1,0,5,0,1,1,2,0,2,0,0,6,0,0,0,0,0,0
重量バランス,1.89992677587841e-22,0,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
描写,1.72317833143967e-22,2,1,0,0,0,0,6,0,3,0,1,1,0,0,0,2,0,0,1,1,1,1,0,3,1,0,2,1,0,1,5,0,0,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
ホールド性,1.69118309862706e-22,0,4,1,0,0,2,0,1,0,2,0,0,1,0,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
感度,1.68309346151297e-22,1,2,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
相性,1.67532534236832e-22,1,1,0,0,0,2,3,0,3,0,0,0,2,0,0,1,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0
音,1.6621772177127e-22,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
写り,1.64685285150627e-22,7,4,0,1,1,1,4,0,0,2,1,0,4,0,1,1,1,0,0,3,5,2,0,2,3,0,2,0,0,1,4,0,1,0,0,2,0,0,1,1,2,0,0,5,0,0,0,2,0,0
出来,1.64016655863357e-22,5,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
視認性,1.63486966284566e-22,2,0,1,0,0,0,2,2,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色,1.61763927071055e-22,0,0,0,0,0,0,1,1,0,2,1,0,1,0,0,1,1,0,0,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3,0,1,0
反応,1.59538649721037e-22,2,1,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
バランス,1.59148743542204e-22,20,10,5,6,5,7,6,2,4,6,3,0,14,0,4,2,3,3,0,2,4,0,2,3,2,1,1,3,2,0,5,0,4,8,1,4,3,0,0,1,9,0,2,8,1,0,0,11,1,0
見た目,1.56669745997094e-22,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
ヌケ,1.55432441352608e-22,5,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,1.53346383034919e-22,0,0,0,0,1,0,0,3,0,5,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
質,1.52971533337551e-22,4,1,0,1,0,1,1,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
取り回し,1.52296446112337e-22,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,1.50920244403321e-22,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,1.46971681834518e-22,4,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
配置,1.45909872848951e-22,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
描写力,1.44903560272652e-22,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
操作性,1.44771423987611e-22,4,8,3,0,5,4,12,0,9,6,3,3,4,1,0,2,6,2,3,2,1,2,0,2,5,0,0,1,2,0,6,0,0,3,1,9,0,1,3,1,2,0,3,10,0,0,0,6,0,1
シャッター音,1.4362320309964e-22,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1
ホールド感,1.43019416565592e-22,3,5,1,0,5,2,6,3,4,5,1,2,3,0,0,3,9,0,3,7,1,1,0,1,3,0,1,4,0,0,14,0,1,0,2,0,1,1,3,1,1,0,1,4,1,1,0,0,0,2
使い勝手,1.4115729310634e-22,12,10,5,5,4,15,4,1,1,7,12,1,17,0,1,3,5,6,1,1,1,1,0,1,1,0,1,0,2,0,10,1,3,4,1,3,1,5,0,1,6,1,0,5,0,1,1,1,1,0
携帯性,1.38538905983901e-22,11,2,0,0,6,5,12,2,2,3,1,0,6,0,2,1,3,3,1,3,1,5,0,4,0,0,1,1,1,0,3,1,1,3,0,0,0,0,2,1,1,4,1,12,0,0,0,2,0,1
操作感,1.35312843882937e-22,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
天気,1.32176743925045e-22,15,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,1.31121548556095e-22,0,0,0,0,0,1,0,0,1,7,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,2,0,1,0,0,1,1,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0
デザイン,1.2876545216851e-22,1,3,1,0,1,2,7,0,2,0,0,0,7,0,0,2,1,1,3,2,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,6,0,0,5,1,1,3,0,11,0,0,3,4,0,1
補正,1.26696581405568e-22,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
条件,1.21746119214881e-22,2,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
画像,1.2004244274812e-22,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
感触,1.19503061104809e-22,0,1,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,1,3,0,1,0,0,0,0,0,1,1,1,0,6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
カメラ,1.19168172563391e-22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
電池持ち,1.18697856141675e-22,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,1.18569590658864e-22,2,2,0,0,0,0,1,0,1,2,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,2,0,1,0,2,0,0
色合い,1.11734905407309e-22,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
レンズ,1.110605903394e-22,5,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,1,3,0,1,0,0,0,10,0,1,0,0,3,1,0,1,0,2,0,0,2,1,0,0,0,0,1
解像度,1.10184227687505e-22,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0
感じ,1.09688695365226e-22,0,0,0,0,0,1,0,0,1,0,2,0,4,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,5,1,0,0,0
ボケ,1.08279200918127e-22,0,0,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
音質,1.05405423964084e-22,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大きさ,1.02273654139205e-22,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,8,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1
性能,9.96105532990532e-23,5,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,4,0,1,2,1,1,0,0,0,2,0,0,0,0,0,0,12,0,3,1,0,1,0,1,0,2,3,1,2,0,0,0,2
AF,9.87824627698835e-23,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
