"",weight,持ち,レスポンス,色乗り,色のり,感度,視認性,気持ち,発色,位置,評判,写り,音,もち,反応,ホールド性,重量バランス,バランス,ヌケ,操作性,質,携帯性,描写,相性,ホールド感,解像度,ISO感度,色,天気,条件,描写力,出来,使い勝手,見た目,デザイン,コントラスト,取り回し,切れ,ISO,配置,音質
weight,"",3.84429957670482e-06,3.00853997976184e-06,2.99833381206554e-06,2.95149049947361e-06,2.89115766574956e-06,2.78142823746136e-06,2.72904238317847e-06,2.68718895372685e-06,2.66757164315275e-06,2.62780065613847e-06,2.57324076849949e-06,2.57122750400454e-06,2.56548082529171e-06,2.54869893719383e-06,2.47696737831065e-06,2.46806381132016e-06,2.38697794769742e-06,2.3424898611847e-06,2.32594281057992e-06,2.31430457908495e-06,2.25857082783855e-06,2.15590464814643e-06,2.11896824950101e-06,2.05658294956127e-06,2.00768807755152e-06,1.99840453883743e-06,1.98706816130599e-06,1.97333460231108e-06,1.95870325019168e-06,1.94957277374851e-06,1.94240932112431e-06,1.94109692706463e-06,1.93009696556424e-06,1.85129361473022e-06,1.85012778761703e-06,1.82913047071656e-06,1.82878477514241e-06,1.80130835088028e-06,1.75481468713731e-06,1.74555248018475e-06
のよい,2.19103644166187e-07,0,0,2,1,0,0,3,1,0,3,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,1,1,5,0,0,0,1,1,0,0,0
の良い,2.02366014155107e-07,0,2,2,1,1,2,13,1,0,14,7,0,0,2,0,0,20,5,4,4,11,2,1,3,0,0,0,15,2,0,5,12,0,1,1,0,4,0,0,0
が良く,2.00814557940632e-07,0,6,2,1,2,0,0,3,0,0,4,0,0,1,4,3,10,2,8,1,2,1,1,5,0,0,0,0,0,0,0,10,1,3,0,0,3,0,1,1
がよく,1.98448133516049e-07,1,4,0,2,0,1,1,1,0,1,0,0,0,1,1,2,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,1,1,0,0,1,1
の悪い,1.82715120672703e-07,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0
が悪く,1.78079564593832e-07,6,1,0,0,1,2,0,0,3,0,0,1,0,1,1,0,2,0,0,1,2,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
が悪いと,1.58475041707624e-07,6,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,4,1,0,1,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
もよく,1.5045016486835e-07,6,0,3,6,0,0,0,6,1,0,1,0,0,1,0,0,5,1,5,0,6,0,0,5,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
の高い,1.40525741480353e-07,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
も良好です,1.39253419788962e-07,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
が悪い,1.32765686450527e-07,36,6,0,0,2,1,0,2,5,0,2,1,7,2,2,1,6,0,6,2,3,0,0,5,1,0,2,0,2,0,0,7,0,0,0,0,0,0,0,0
がいいです,1.29943922980369e-07,6,0,2,1,0,1,9,0,0,0,1,2,0,1,0,1,3,0,3,0,1,1,0,1,0,0,1,0,0,0,0,12,0,0,3,0,0,0,0,0
も良いです,1.28786947663452e-07,5,0,2,0,0,0,0,4,0,0,0,0,1,1,0,0,4,0,9,0,2,3,3,4,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0
が良いです,1.27293068753485e-07,7,0,1,1,0,0,2,0,0,0,1,0,1,0,2,0,7,0,4,1,5,0,2,2,0,0,0,0,0,0,1,15,0,2,0,1,0,0,0,0
を上げて,1.23701508255012e-07,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0
が良くて,1.21425590486209e-07,2,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良く,1.19139861187532e-07,7,6,5,0,0,2,0,3,0,0,6,1,0,0,0,0,6,1,12,1,12,6,3,6,1,0,1,0,0,1,0,4,0,7,1,2,1,0,0,0
が良いのか,1.19049459283504e-07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
がよい,1.18862596368044e-07,6,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,3,0,2,0,3,0,1,0,0,0,0,1,1,0,0,6,0,1,0,0,0,0,0,0
があり,1.18210586255658e-07,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0
もいいですね,1.17836441618248e-07,2,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
を上げると,1.16581336427475e-07,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,3,0,0
もよい,1.15245017639739e-07,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
が悪いです,1.13154553412294e-07,10,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
はいいと,1.1293917726668e-07,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,4,0,9,0,0,0,2,0,0,0,0,0,0,0,1,3,0,6,0,1,0,0,0,0
を上げる,1.10878027942331e-07,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0
が悪いので,1.10276947776086e-07,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良い,1.09566651697751e-07,24,8,1,0,0,2,7,0,0,1,4,0,1,0,1,0,14,0,4,0,6,0,2,3,1,0,1,2,1,0,1,17,0,7,1,0,1,0,0,1
にある,1.08235880163571e-07,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0
もいいです,1.08136293928804e-07,6,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,3,0,1,1,2,3,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,1
が感じます,1.05879772888999e-07,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
が高い,1.04585174010714e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,1,1,0,0,1,6,0,0,0,0,1,0,0,0,0,5,0,0,2,0,0
がいい,1.04059761943025e-07,10,1,0,0,0,0,9,3,0,3,5,0,1,0,1,0,4,0,1,0,1,1,0,1,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0
がなります,1.03036074866555e-07,0,0,0,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
