"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,が良いと,がいいので,は良い,もいい,も良いので,も良い,の高い,が良くて,は良いと,が悪いです,のある,はいいと,はいいですね,はありません,の悪い,も良いと,が感じます,はいいです,が高い,が良くない,がいいと,があります,も悪くなく,も高く,も満足しています,が悪いので,は悪いです,は感じです,といい,があり,にありません,も気に入っています,もいいですね,が良いのか,は良いのですが,もありません,が違います,が高いので,がよいです,が高く,が高いです,がイマイチ,は最高です,もある,もよい,がいいですね,もいいし,も良好,にある,も良いですね,もあり,はいい,もあります,はよく,も良いし,は高いです,は思います,がよいと,は高い,は落ちますが,は抜群です,は満足しています,はよいです,もあって,がなります,もなく,に満足しています,を考えて,も良くて
weight,"",4.36596073837775e-24,4.12243084663552e-24,3.77582443283634e-24,3.49289233417462e-24,3.49236081721379e-24,3.42170803335733e-24,3.38134878006229e-24,3.3214622038037e-24,3.23955027540704e-24,3.10420081229354e-24,2.93707245465354e-24,2.85084801173805e-24,2.76359048478006e-24,2.69931724682e-24,2.6592015198562e-24,2.56312036679181e-24,2.51836763797524e-24,2.43724808494721e-24,2.43625207795787e-24,2.37227708527287e-24,2.32975094021534e-24,2.26968013407038e-24,2.23069669018117e-24,2.20797844312827e-24,2.19337132366124e-24,2.15844435438509e-24,2.14412488651887e-24,2.10004175740003e-24,2.09776931127806e-24,2.05983305881599e-24,2.04420944907643e-24,2.02994338340681e-24,1.98577108935316e-24,1.97749677436094e-24,1.9569887973687e-24,1.91855371867094e-24,1.91606555976734e-24,1.86889337921039e-24,1.80835324261337e-24,1.80822298712761e-24,1.80778860101767e-24,1.79979944757079e-24,1.77628714444977e-24,1.7654259019146e-24,1.75459672487354e-24,1.72698799807874e-24,1.70892224456904e-24,1.70270143567187e-24,1.69553947316933e-24,1.68791770240184e-24,1.68712372294374e-24,1.65453320896661e-24,1.63280945376407e-24,1.61099594094327e-24,1.60707652382848e-24,1.60054696814394e-24,1.59935806617607e-24,1.59486898665521e-24,1.58568571652671e-24,1.56310619391717e-24,1.56236291856985e-24,1.55679406246025e-24,1.53855929370066e-24,1.53810169321047e-24,1.53720882935668e-24,1.52613656845599e-24,1.50502097016874e-24,1.50339517054803e-24,1.50207826323071e-24,1.50189367389549e-24,1.4809434968543e-24,1.46370406781704e-24,1.44666549890914e-24,1.43453631286021e-24,1.42218279274e-24,1.4169528457902e-24,1.41615004016811e-24,1.41457760142859e-24,1.40776869303777e-24,1.38895151314123e-24,1.37342753096027e-24,1.37270562169702e-24,1.36695678540559e-24,1.36645009437268e-24,1.36544554117219e-24,1.36154920918183e-24,1.35772928540205e-24,1.35220839237582e-24,1.3467107185584e-24,1.34506589144446e-24
バランス,1.87130133855402e-25,10,20,5,6,6,7,5,6,4,14,2,3,3,4,2,0,0,4,3,3,5,9,0,2,2,3,1,2,1,8,2,0,4,2,0,0,11,3,0,2,1,4,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0
持ち,1.55261036494222e-25,0,0,1,30,0,4,0,0,0,22,6,1,6,9,2,0,0,5,0,2,5,2,6,3,0,0,0,0,1,6,9,0,0,2,7,0,0,1,1,0,5,1,0,0,0,0,4,5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0
使い勝手,1.50207065168293e-25,10,12,5,7,4,15,4,5,1,17,1,12,6,1,3,1,1,1,5,1,10,6,1,1,1,0,1,0,1,5,2,0,3,0,4,0,1,1,3,0,1,3,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,5,0,0,0,2,0,0,4,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0
色乗り,1.47078555282381e-25,2,2,0,0,5,1,3,2,2,1,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
レスポンス,1.43852783897791e-25,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,2,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
発色,1.30580420437608e-25,3,1,1,2,3,0,6,1,4,0,0,0,0,3,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,4,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0
相性,1.28025952061403e-25,1,1,0,0,3,2,0,0,3,2,0,0,1,0,1,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
色のり,1.27634986310688e-25,1,1,2,0,0,1,6,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
評判,1.25730124166832e-25,0,14,1,0,0,0,0,3,0,1,0,0,0,3,6,0,0,0,0,1,0,0,2,0,2,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
