"",weight,の高い,の良い,は高いです,が良い,が高い,は高いと,が悪い,は良いです,が良く,も良く,は良いと,が高いです,はありません,に優れた,が良いです,もよく,がいいです,がいい,が良いと,が高く,は高い,がよい,も良いと,は最高です,が高いと,がよく,のよい,も良いです,も高く,があります,はいいと,は良好です,はいいです,が良いので,も良い,は良い,もいいです,はあります,は5です,が悪いと,は良く,は高く,が悪く,もありません,もいい,は満点です,はいいですね,がいいので,は抜群です,が悪いです,がいいと,は最高だと,も高い,も良いので,の悪い,が良くて,は最高ですね,も良好です,も満足しています,は悪いです,が弱いです,がいいですね,もいいですね,は良いのですが,がよいです,はよいと,は良いですね,が低い,は素晴らしいです,はよいです,は高いですね,に優れている,に優れていると,が良くない,が悪いので,には満足しています,は抜群,は大満足です,がよいと,もありますが,は抜群だと,は満足です,で満足しています,も悪くなく,は満足しています,に優れ,の強い,が多い,がありません,は気に入っています,を重視して,も高いです,は悪くないと,は文句なしです,もいいと,が素晴らしい,に満足しています,が高かった,は最高,はいい
weight,"",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
コストパフォーマンス,0.0630966520411425,36,5,4,5,14,24,0,4,1,1,8,4,0,33,0,1,0,1,2,4,2,3,2,9,6,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,0,0,9,3,0,0,0,3,0,0,0,0,0,3,0,0,2,1,0,3,0,2,3,7,0,0,0,4,0,2,0,5,1,1,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0
デザイン,0.0573674715612122,0,1,0,7,0,0,0,2,3,7,11,0,0,0,2,1,0,1,1,0,0,1,4,2,0,1,0,2,0,0,6,1,3,2,2,2,3,2,1,0,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4,0,2,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,13,1,0,3,2,5,0,0,0,0,0
持ち,0.0555436900239498,0,0,0,22,0,0,30,5,0,0,6,0,7,0,4,0,1,9,2,0,0,6,0,1,0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,5,2,0,6,0,0,0,2,6,1,9,1,0,0,0,0,1,0,0,0,5,0,0,0,1,1,1,2,0,0,2,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
満足度,0.054870308889778,45,0,68,0,7,10,0,0,0,0,0,16,1,0,0,0,0,0,0,2,13,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
携帯性,0.0545964151459779,0,11,0,6,1,0,3,3,2,12,12,0,11,5,5,6,1,1,1,0,0,3,2,1,1,0,0,2,1,0,0,3,10,1,1,3,1,1,0,2,4,0,2,1,0,1,0,5,17,1,1,0,0,1,0,1,0,0,0,5,0,0,1,5,0,2,1,0,1,3,0,4,1,0,2,1,6,1,1,0,0,2,0,1,2,3,0,0,0,0,8,0,2,1,1,0,0,0,1,0
バランス,0.0537574289707519,2,20,0,14,2,0,6,5,10,6,8,1,0,0,7,5,3,4,9,0,0,3,11,0,0,5,6,4,0,0,4,3,0,2,1,2,0,0,0,4,3,0,2,0,2,0,2,0,1,2,4,1,0,3,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1
写り,0.0525174003190143,0,7,0,4,0,0,2,4,4,4,5,0,6,0,1,1,1,5,2,0,0,0,2,4,0,0,1,0,1,0,2,1,7,1,2,3,0,1,0,1,2,0,0,8,3,0,4,2,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,3,1,4,2,0,0,2,0,1,3,0,0,0,0,0,0,0,0,1,1,0,2,0,2,1
ホールド感,0.0470936625528629,0,3,1,3,1,0,5,14,5,6,4,0,9,0,2,5,1,1,1,1,0,0,0,0,0,1,0,4,0,1,0,9,2,3,1,7,3,3,0,0,1,0,3,5,3,1,0,1,4,0,1,0,0,4,0,1,0,2,2,1,0,0,0,3,1,1,1,0,0,2,0,0,0,2,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,2,2
性能,0.0463924330768092,1,5,1,2,2,2,0,0,0,3,3,0,1,0,0,0,0,2,1,1,0,4,0,0,1,0,0,0,0,2,3,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,6,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0
価格,0.0463594557292104,0,0,1,0,9,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
発色,0.0459556807202714,0,1,0,0,0,0,2,2,3,3,0,0,1,0,0,6,0,3,0,0,0,0,0,2,0,1,1,4,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
