"",weight,が良く,の良い,がよく,も良く,が悪い,が良いです,もよく,も良いです,が良い,のよい,が悪く,がいいです,がよい,がいい,が良いので,もいいです,も良好です,は良いです,は良く,が悪いと,は良好です,も良い,が良いと,がいいので,は良い,もいい,の高い,が高い,も良いので,は良いと,が良くて,のある,が悪いです,も高く,はいいですね,はありません,はいいと,も良いと,が高く,が高いので,はいいです,が感じます,は感じです,が高いです,の悪い,があり,がいいと,が良くない,といい,も満足しています,が悪いので,も悪くなく,は悪いです,があります,もありません,にありません,は良いのですが,は最高です,も気に入っています,もいいですね,が違います,は高い,もあり,が良いのか,がよいです,がイマイチ,はいい,がいいですね,もある,にある,もよい,もいいし,も高い,も良いですね,は思います,も良好,も良いし,はよいです,はよく,がよいと,を考えると,は落ちますが,もあります,もあって,がある,は満足しています,は抜群です,はよいと,が低い,はあり,もなく,がなります,は高く,は方だと,は悪くないです,に満足しています,で満足しています,もいいと,にあり,を考えて
weight,"",7.36250502611546e-11,6.96162880547125e-11,6.35606591218156e-11,6.11734533928112e-11,6.06192763752273e-11,5.81747790083727e-11,5.73158495118123e-11,5.68937286845555e-11,5.56565282877439e-11,5.41302290743771e-11,4.94863314868646e-11,4.8559056912585e-11,4.80835136248665e-11,4.64279653561642e-11,4.54842187818465e-11,4.41261038746979e-11,4.30549926112883e-11,4.25763269144276e-11,4.19846464102721e-11,4.12735082363242e-11,4.06348123354412e-11,3.89464221104959e-11,3.88035278360511e-11,3.85432644014715e-11,3.82025289615298e-11,3.75807800173774e-11,3.71929171952942e-11,3.71372559048428e-11,3.66562329955351e-11,3.59988465378413e-11,3.59524074305512e-11,3.51624641912974e-11,3.50612585906097e-11,3.48694671733456e-11,3.4572348712538e-11,3.34670727530163e-11,3.32042762428811e-11,3.31632457642916e-11,3.29019390503997e-11,3.13768793036136e-11,3.12578680630329e-11,3.12553299394156e-11,3.11762850545387e-11,3.10534588233175e-11,3.10150446751052e-11,3.05640355256976e-11,3.05182973712716e-11,2.98823764666378e-11,2.96394970709996e-11,2.95841512812875e-11,2.95453832798176e-11,2.94437588117406e-11,2.93518608876938e-11,2.86924863288064e-11,2.84726046085215e-11,2.84720282933296e-11,2.83807628124285e-11,2.79110529292398e-11,2.79003745271093e-11,2.74061312451389e-11,2.70940929453914e-11,2.64396100147139e-11,2.6370814916313e-11,2.61472671231962e-11,2.60183673715163e-11,2.57379620610675e-11,2.56924045068767e-11,2.56125376755753e-11,2.55260080224138e-11,2.54176939890894e-11,2.52612029807437e-11,2.49422889536814e-11,2.4846518005867e-11,2.48018188913399e-11,2.47957362210909e-11,2.46040439329183e-11,2.45566796197366e-11,2.43242290369707e-11,2.42792937748399e-11,2.40932771653062e-11,2.39594115123029e-11,2.38534939597217e-11,2.37765459853965e-11,2.35022209267699e-11,2.34900972570523e-11,2.34074228263087e-11,2.33986433783946e-11,2.33841094050145e-11,2.337317789794e-11,2.31711302336634e-11,2.30734030428816e-11,2.3052874252819e-11,2.29552926054054e-11,2.28577591257617e-11,2.28268679993444e-11,2.28245502109516e-11,2.28150734642038e-11,2.27911814723038e-11,2.27328541822266e-11,2.26348489992223e-11
バランス,3.11470858364307e-12,10,20,5,6,6,7,5,4,14,6,2,3,3,4,2,0,0,5,3,4,3,1,9,0,2,2,2,2,3,8,1,0,2,0,2,0,4,11,0,0,0,3,0,1,0,0,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2
持ち,2.63312011337401e-12,0,0,1,0,30,4,0,0,22,0,6,1,6,9,2,0,0,5,2,5,0,0,2,6,3,0,0,0,0,6,1,0,9,0,2,7,0,0,0,0,1,1,2,0,0,0,1,5,0,0,4,0,5,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
使い勝手,2.62878167719324e-12,10,12,5,4,7,15,4,1,17,5,1,12,6,1,3,1,1,10,1,1,5,1,6,1,1,1,0,0,0,5,1,0,2,0,0,4,3,1,0,0,3,1,0,0,0,0,3,1,0,0,0,1,0,1,1,1,0,2,1,1,0,0,0,0,5,0,0,4,0,0,0,1,0,1,1,1,0,0,0,1,4,0,0,0,0,1,0,1,0,0,1,0,0,0,3,1,0,0,0,1
色乗り,2.34982183515685e-12,2,2,0,5,0,1,3,2,1,2,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,2.32762103030202e-12,6,2,4,6,6,0,0,0,8,0,1,0,0,1,1,1,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ホールド感,2.32735913680842e-12,5,3,1,6,5,2,5,4,3,0,3,1,0,1,3,3,2,14,1,0,9,1,1,1,7,3,0,1,4,4,1,0,0,0,0,9,0,0,1,0,2,1,3,0,0,2,1,2,2,2,0,1,1,1,5,2,3,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,0,4,0,0,2,0,3,0,0,0,3,0,0,4,1,0,2,0,0,0,1,1,0,0,2,0,0
発色,2.24646506649613e-12,3,1,1,3,2,0,6,4,0,1,0,0,0,3,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,2,4,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0
操作性,2.16383177457762e-12,8,4,3,12,6,4,5,9,4,0,0,3,2,1,2,3,3,6,2,0,6,8,2,2,2,5,0,3,1,10,0,0,2,0,1,11,9,6,1,0,4,0,3,0,1,1,0,1,1,2,0,1,3,0,1,3,4,1,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,11,2,1,4,1,1,3,0,0,0,0,1,6,0,0,1,2,0,0,0,0,1,1,1,2,2
写り,2.14149470250706e-12,4,7,0,4,2,1,1,0,4,1,0,1,0,5,1,0,0,4,2,1,1,2,2,2,3,3,0,0,0,5,2,0,0,1,4,6,2,2,0,0,7,0,1,0,0,0,1,0,0,1,0,1,0,0,8,2,1,4,0,0,4,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0,1,0,0,2,0,0,1,0,0,3,0,2,0,2,0,0,0,1,1,2,0,1,4,0
