"",weight,色のり,色乗り,評判,レスポンス,発色,重量バランス,気持ち,出来,持ち,ホールド性,ホールド感,反応,見た目,質,音,相性,視認性,ボケ味,ヌケ,感度,位置,操作感,配置,バランス,描写,写り,感触,取り回し,色,描写力,携帯性,デザイン,天気,切れ,精度,画像,補正,カメラ,条件,電池持ち
weight,"",1.77324651973756e-15,1.72881860278021e-15,1.57361395574374e-15,1.5485505592152e-15,1.50203719577498e-15,1.49026789792043e-15,1.3960073865421e-15,1.33697857915622e-15,1.31120041628136e-15,1.28346322020442e-15,1.28235624499288e-15,1.24583247687873e-15,1.24134009670846e-15,1.23106000731892e-15,1.22629193482443e-15,1.22600236363555e-15,1.20142256215603e-15,1.19938581124256e-15,1.18055706315e-15,1.17115443377583e-15,1.16734986561266e-15,1.11721408260005e-15,1.11650411741461e-15,1.11055706656111e-15,1.09974985182813e-15,1.09370600462318e-15,1.07983601359471e-15,1.07856419339535e-15,1.06997116838069e-15,1.04851041112373e-15,1.04146005411648e-15,1.01779513345967e-15,1.00416156866458e-15,1.00109741968665e-15,9.93603349349406e-16,9.74538553144345e-16,9.49803632448757e-16,9.48514513138704e-16,9.19318310894941e-16,9.12347633558131e-16
が良く,1.51897636242187e-16,1,2,0,6,3,3,0,0,0,4,5,1,1,1,0,1,0,0,2,2,0,0,1,10,1,4,1,0,0,0,2,3,0,3,2,0,0,0,0,0
の良い,1.42034288108208e-16,1,2,14,2,1,0,13,5,0,0,3,2,0,4,0,1,2,0,5,1,0,0,0,20,2,7,0,0,0,0,11,1,15,4,2,0,0,3,2,0
がよく,1.37606663062827e-16,2,0,1,4,1,2,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
のよい,1.36159102252228e-16,1,2,3,0,1,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
もよく,1.16167759002896e-16,6,3,0,0,6,0,0,0,6,0,5,1,0,0,0,0,0,0,1,0,1,2,0,5,0,1,1,0,0,0,6,1,0,0,0,1,0,0,0,1
の悪い,1.14599282082348e-16,1,0,3,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
が良いです,1.11644920229945e-16,1,1,0,0,0,0,2,1,7,2,2,0,0,1,0,2,0,1,0,0,0,0,0,7,0,1,2,1,0,0,5,2,0,0,0,0,0,0,0,1
も良く,1.07297950991256e-16,0,5,0,6,3,0,0,0,7,0,6,0,0,1,1,3,2,1,1,0,0,0,0,6,6,6,0,2,1,1,12,7,0,1,1,0,0,0,0,0
も良好です,1.03332230619475e-16,1,1,0,2,0,1,0,0,1,0,2,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
も良いです,1.02719446934296e-16,0,2,0,0,4,0,0,0,5,0,4,1,0,0,0,3,0,2,0,0,0,0,1,4,3,0,1,1,0,0,2,2,0,0,1,0,1,0,0,1
