"",weight,の良い,が良く,がよく,のよい,もよく,が良いです,も良く,が悪く,も良いです,が悪い,も良好です,がいいです,の悪い,が悪いと,が良いので,が良い,がよい,は良好です,がいい,もいいです,がいいので,の高い,は良い,が良いのか,もいい,は良く,が良くて,もよい,が悪いです,も良いので,もいいですね,が良くない,は感じです,がよいです,は良いです,がいいと,が感じます,が高い,はいいと,を考えると,も悪くなく,にある,もある,があります,のある,もいいし,が良いと,も気に入っています,も良いですね,があり
weight,"",6.77361019831721e-19,6.51219830350404e-19,6.20747174954719e-19,6.15400351275027e-19,5.14665520955356e-19,4.8733393219681e-19,4.77471161487932e-19,4.67898085402918e-19,4.63955412332714e-19,4.41766303163587e-19,4.38568266036073e-19,4.38329483933846e-19,4.21791271684332e-19,3.93727016934481e-19,3.87709303333421e-19,3.82304652705813e-19,3.77238964999691e-19,3.72510459412415e-19,3.45603378660108e-19,3.43903195039741e-19,3.35757714680274e-19,3.35204450778599e-19,3.28640826891929e-19,3.19730304697946e-19,3.12299950704032e-19,3.08987678906037e-19,2.96474612075286e-19,2.951218626141e-19,2.93028799014098e-19,2.89537210758211e-19,2.8629673761603e-19,2.81660307806595e-19,2.69460868921993e-19,2.68886865858985e-19,2.6836765015018e-19,2.68198114596378e-19,2.66933710172209e-19,2.64979872778908e-19,2.64097828970461e-19,2.62978858673361e-19,2.62568352850276e-19,2.61851711603552e-19,2.61120119779998e-19,2.60063494727804e-19,2.59339564791121e-19,2.58878394179044e-19,2.5601012959857e-19,2.53716157200265e-19,2.53219113320161e-19,2.50078964703761e-19
バランス,4.42268776992003e-20,20,10,5,6,5,7,6,2,4,6,0,3,0,4,2,14,3,3,4,0,0,2,2,1,2,3,1,0,2,3,0,1,0,0,5,4,3,2,4,8,1,0,1,0,0,0,9,0,1,0
色乗り,4.37034879791504e-20,2,2,0,2,3,1,5,0,2,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
色のり,4.27304598821237e-20,1,1,2,1,6,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
評判,4.22666959627982e-20,14,0,1,3,0,0,0,0,0,0,0,0,3,0,6,1,0,0,3,0,2,3,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,4.08018851540397e-20,2,6,4,0,0,0,6,1,0,6,2,0,0,0,1,8,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持ち,4.05728477579444e-20,0,0,1,0,0,4,0,6,0,30,0,1,0,5,2,22,6,0,9,0,6,0,3,0,0,2,1,0,9,0,0,5,2,1,5,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
発色,3.96107119143107e-20,1,3,1,1,6,0,3,0,4,2,0,0,0,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1
使い勝手,3.89213877731065e-20,12,10,5,5,4,15,4,1,1,7,1,12,0,1,3,17,6,5,1,1,1,0,1,0,1,1,1,0,2,0,1,1,0,5,10,3,1,0,3,4,1,0,0,1,0,1,6,1,1,0
携帯性,3.8822905118055e-20,11,2,0,0,6,5,12,2,2,3,0,1,0,2,1,6,3,3,1,1,5,0,3,0,0,4,1,0,1,1,1,0,2,0,3,1,0,1,0,3,1,0,0,0,0,4,1,0,0,0
