"",weight,の良い,が良く,がよく,のよい,もよく,が良いです,が悪い,が悪く,も良く,も良いです,がいいです,も良好です,が良いので,が悪いと,が良い,がよい,の悪い,は良好です,がいい,の高い,もいいです,は良い,は良く,がいいので,が悪いです,もいい,が良くて,も良いので,が良いのか,が良いと,が良くない,が感じます,はいいと,が高い,は良いです,がいいと,を考えると,が悪いので,もいいですね,もよい,は感じです,がよいです,は良いと,があります,も悪くなく,も良い,のある,も良いですね,も気に入っています,もある,もいいし,はいいですね,も高く,はいいです,も良いと,といい,がイマイチ,にある,があり,にありません
weight,"",2.06229821909863e-12,2.05642209439961e-12,1.90792623066821e-12,1.84488257545692e-12,1.6368427411079e-12,1.55683909068366e-12,1.53424686471202e-12,1.49361602082481e-12,1.48818899477362e-12,1.4874433645701e-12,1.38929686861965e-12,1.31238431617396e-12,1.2649835841178e-12,1.2638959560576e-12,1.25593173751418e-12,1.21254673821367e-12,1.18196160241534e-12,1.17954122694014e-12,1.14124402638819e-12,1.11040686735313e-12,1.07456222750212e-12,1.06466764157004e-12,1.06423290489478e-12,1.05356884396593e-12,1.00213228946158e-12,9.75866337958787e-13,9.53954671437021e-13,9.36470138687212e-13,9.29477717156804e-13,9.16048742619465e-13,9.09887631144598e-13,9.09645266197636e-13,8.98714070976176e-13,8.96287326456401e-13,8.8472709875251e-13,8.7729248370201e-13,8.7384937114474e-13,8.72961779782441e-13,8.55124172315928e-13,8.49918261404524e-13,8.31657780602699e-13,8.25587994926443e-13,8.21525225630729e-13,8.18608175414151e-13,8.1467374056747e-13,8.12629906825931e-13,7.95781966162156e-13,7.91383682776904e-13,7.90778953946561e-13,7.83602231860747e-13,7.82554672718928e-13,7.7889428828445e-13,7.66671408430585e-13,7.64985794017713e-13,7.6327752031942e-13,7.61746207980496e-13,7.50222299808004e-13,7.44140675950772e-13,7.41510267849196e-13,7.38934638554509e-13
色乗り,1.19085015818619e-13,2,2,0,2,3,1,0,0,5,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0
持ち,1.1688631391784e-13,0,0,1,0,0,4,30,6,0,0,1,0,2,5,22,6,0,0,9,0,0,3,2,6,9,0,1,0,0,2,5,1,0,0,5,1,0,4,0,0,2,1,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
バランス,1.16453532486996e-13,20,10,5,6,5,7,6,2,6,4,3,0,2,4,14,3,0,3,4,2,0,2,3,0,2,2,1,3,1,9,1,3,4,2,5,4,8,1,0,0,0,0,8,0,1,1,0,1,0,1,0,2,0,0,11,0,0,0,0,0
色のり,1.09843791064104e-13,1,1,2,1,6,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
評判,1.09817862341613e-13,14,0,1,3,0,0,0,0,0,0,0,0,6,0,1,0,3,0,3,3,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
発色,1.09652268920247e-13,1,3,1,1,6,0,2,0,3,4,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,2,0,0,1,0
レスポンス,1.08415159046075e-13,2,6,4,0,0,0,6,1,6,0,0,2,1,0,8,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,1.03853747963367e-13,13,0,1,3,0,2,0,0,0,0,9,0,0,0,7,2,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
使い勝手,1.02508212705653e-13,12,10,5,5,4,15,7,1,4,1,12,1,3,1,17,6,0,5,1,0,1,1,1,1,2,1,1,0,0,6,1,1,3,0,10,3,4,0,1,0,0,5,5,1,1,1,0,1,1,0,1,0,0,3,1,0,0,0,0,1
重量バランス,9.35136968898899e-14,0,3,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
