"",weight,持ち,位置,バランス,レスポンス,もち,使い勝手,反応,ホールド感,操作性,質,感度,ホールド性,発色,携帯性,AF精度,画質,重量バランス,視認性,精度,条件,色,デザイン,色乗り,音,写り,相性,目,色のり,解像感,気持ち,フィーリング,評判,ISO感度,ISO,ヌケ,コントラスト,天気,音質,グリップ感,性能,切れ,背面液晶,気分,出来,解像度,・画質,品質,①操作性,映り,質感
weight,"",0.000883663962502284,0.000851776406039471,0.000795348513759717,0.000782878209340638,0.000727389006393485,0.000717731461111451,0.000698613363976167,0.000671798999617429,0.000668592638845848,0.000624309407804099,0.000603461247028647,0.000596755364624735,0.000588823801424214,0.000557558207521352,0.000543135407833827,0.000532977090263498,0.000528117914110657,0.000519033524089033,0.000507034199778882,0.000506972111545342,0.00048815365232423,0.000476820057196858,0.000472197226622555,0.000470599744492877,0.000464897893000515,0.000451003842977908,0.000436856218586232,0.000428837882218288,0.000422046758152169,0.000400273706971894,0.000393819312261611,0.000362474063558854,0.000350056100220484,0.000349031157066479,0.000347408275431622,0.000339482237974427,0.000336898595770755,0.000329175450502141,0.000328479066229427,0.000328460109829117,0.000327271352669356,0.000323570623268266,0.000321532622486643,0.000316886571036866,0.000316242285907709,0.000311845574346073,0.00030993748985721,0.000305779670703155,0.00030529257103819,0.000303923003017286
が良く,4.76092584823625e-05,0,0,10,6,0,10,1,5,8,1,2,4,3,2,0,6,3,0,2,0,0,3,2,0,4,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,3,1,0,0,0,0,0,1,0,5
が悪く,4.30182514266799e-05,6,3,2,1,0,1,1,3,0,1,1,1,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
が悪い,3.99898957633194e-05,36,5,6,6,7,7,2,5,6,2,2,2,2,3,2,12,1,1,2,2,2,0,0,1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1
がよく,3.81034167789722e-05,1,0,5,4,0,5,1,1,3,0,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
の良い,3.63611452304231e-05,0,0,20,2,0,12,2,3,4,4,1,0,1,11,1,2,0,2,2,2,0,1,2,0,7,1,0,1,0,13,0,14,0,0,5,1,15,0,0,5,4,0,1,5,0,0,1,0,0,1
のよい,3.57970312393031e-05,0,0,6,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,3,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
が悪いと,3.01702141551373e-05,6,0,4,0,0,1,0,0,0,1,1,0,0,2,0,4,0,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
も良いです,2.93552632978835e-05,5,0,4,0,1,1,1,4,9,0,0,0,4,2,0,5,0,0,1,0,0,2,2,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
が良いです,2.93410138501953e-05,7,0,7,0,1,15,0,2,4,1,0,2,0,5,0,6,0,0,0,0,0,2,1,0,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2
の悪い,2.74772419154094e-05,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
の高い,2.71989585624373e-05,0,0,2,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,11,0,0,0,1,0,0,0,0,5,0,0,0,0,5
がいいです,2.7136995932298e-05,6,0,3,0,0,12,1,1,3,0,0,0,0,1,0,6,1,1,0,0,1,0,2,2,1,0,0,1,0,9,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
もよく,2.61431185488715e-05,6,1,5,0,0,4,1,5,5,0,0,0,6,6,1,11,0,0,0,0,0,1,3,0,1,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
が悪いです,2.55015357569292e-05,10,0,2,0,2,2,0,0,2,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
も良好です,2.53719262149431e-05,1,0,0,2,0,1,0,2,3,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
