"",weight,色のり,持ち,色乗り,レスポンス,評判,バランス,視認性,重量バランス,携帯性,出来,写り,質,使い勝手,気持ち,位置,発色,反応,相性,感度,ヌケ,もち,音,ホールド感,描写,ホールド性,描写力,性能,ISO感度,条件,配置,天気,感触,デザイン,見た目,操作性,解像度,取り回し,腕,画像,操作感
weight,"",1.17114993507278e-08,1.16555456483927e-08,1.14585867022581e-08,1.08961450909546e-08,1.06125479513224e-08,1.00553868558515e-08,9.45925230044319e-09,9.30705720272242e-09,9.15854965401411e-09,9.02403751932411e-09,9.02120105468586e-09,8.91123695700884e-09,8.74491568418004e-09,8.53591641096317e-09,8.50446195236733e-09,8.49170366006477e-09,8.33487737162574e-09,8.26827006306562e-09,8.26250544332941e-09,8.19159986766678e-09,8.06684310010335e-09,7.99427890063812e-09,7.92736172129795e-09,7.70067609991671e-09,7.63653816640106e-09,7.56820586072719e-09,7.4549764038031e-09,7.41966315761474e-09,7.31585404510011e-09,7.214783314258e-09,7.07092697618036e-09,7.064754016746e-09,6.78334937853276e-09,6.76296276542555e-09,6.62713549198652e-09,6.61018296275329e-09,6.53742851942299e-09,6.33212748103638e-09,6.27459584016162e-09,6.24088160437051e-09
のよい,8.73820752931556e-10,1,0,2,0,3,6,0,0,0,1,1,1,5,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
の良い,8.26259580208549e-10,1,0,2,2,14,20,2,0,11,5,7,4,12,13,0,1,2,1,1,5,0,0,3,2,0,0,5,0,2,0,15,0,1,0,4,0,0,0,0,0
がよく,8.07517277870955e-10,2,1,0,4,1,5,1,2,0,0,0,0,5,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0
が良く,7.73639812577241e-10,1,0,2,6,0,10,0,3,2,0,4,1,10,0,0,3,1,1,2,2,0,0,5,1,4,0,0,0,0,1,0,1,3,1,8,0,0,0,0,0
の悪い,7.57777092642863e-10,1,0,0,0,3,0,0,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
が悪く,6.26202989105519e-10,0,6,0,1,0,2,2,0,2,0,0,1,1,0,3,0,1,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
もよく,5.98027988409417e-10,6,6,3,0,0,5,0,0,6,0,1,0,4,0,1,6,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,1,0,5,1,0,0,1,2
が悪いと,5.80562749147104e-10,0,6,1,0,0,4,1,0,2,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0
も良好です,5.67925244306225e-10,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1
が良いです,5.61170239958277e-10,1,7,1,0,0,7,0,0,5,1,1,1,15,2,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,2,2,0,4,0,1,0,0,0
がいいです,5.51022245814068e-10,1,6,2,0,0,3,1,1,1,0,1,0,12,9,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
も良く,5.36500736452364e-10,0,7,5,6,0,6,2,0,12,0,6,1,4,0,0,3,0,3,0,1,0,1,6,6,0,1,3,0,0,0,0,0,7,0,12,1,2,0,0,0
が良いのか,5.14480392249558e-10,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
が悪い,5.14288957890369e-10,0,36,0,6,0,6,1,1,3,0,2,2,7,0,5,2,2,0,2,0,7,1,5,0,2,0,0,0,2,0,0,0,0,0,6,1,0,0,1,0
も良いです,5.11157297441184e-10,0,5,2,0,0,4,0,0,2,0,0,0,1,0,0,4,1,3,0,0,1,0,4,3,0,0,0,0,0,1,0,1,2,0,9,0,1,0,0,0
の高い,5.09949691852972e-10,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
が良くて,4.65984944183781e-10,0,2,1,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
がよい,4.64021593586396e-10,0,6,0,0,0,3,0,0,3,0,0,0,6,2,0,0,0,1,0,0,1,2,0,0,0,0,4,0,1,0,1,1,1,0,2,0,0,0,0,1
もいいですね,4.5774583031395e-10,2,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良好です,4.4706311765552e-10,0,0,1,0,0,3,0,1,3,0,1,0,5,0,0,1,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,1,0,6,0,0,0,0,2
もよい,4.44762916775285e-10,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
はいいと,4.4068270023944e-10,0,0,0,0,0,4,0,0,0,1,2,0,3,0,1,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,6,0,9,0,1,0,0,0
は良く,4.40643950053053e-10,0,2,0,1,1,3,2,0,4,0,2,0,1,0,0,0,0,2,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1
を上げて,4.363463128112e-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0
にある,4.31046206802084e-10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,5,0,3,1,0,0,1,0,0,0,0,1,0,1,1,0,1
が良い,4.29481904061975e-10,0,24,1,8,1,14,2,0,6,1,4,0,17,7,0,0,0,2,0,0,1,0,3,0,1,0,2,0,1,0,2,2,7,0,4,1,0,0,1,1
が悪いです,4.23042823815369e-10,0,10,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0
が悪いので,4.14346025542648e-10,0,5,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
もいいです,4.04860404536747e-10,0,6,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,2,0,0,1,0,3,1,0,0,0,0,0,0,0,3,3,2,3,0,0,0,1,1
がいいと,4.04083455817026e-10,0,2,0,0,0,4,0,0,1,1,1,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
がいい,4.02239192625197e-10,0,10,0,1,3,4,0,0,1,0,5,0,1,9,0,3,0,0,0,0,1,0,1,1,1,0,2,0,0,0,0,1,1,2,1,0,0,0,0,2
が良いので,3.9471407983748e-10,0,2,0,1,6,2,0,0,1,0,1,0,3,0,0,1,0,1,1,0,0,0,3,2,1,1,1,0,0,0,0,0,2,0,2,0,1,0,0,0
で満足しています,3.91521941674872e-10,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0
がいいので,3.9124656866262e-10,0,6,0,1,2,0,0,0,5,0,2,0,1,1,1,0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
が良いと,3.82355672407705e-10,0,2,0,0,0,9,0,2,1,1,2,0,6,0,0,0,0,2,1,0,1,1,1,4,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0
を考えると,3.81742230085714e-10,0,0,0,0,0,8,0,1,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,12,0,0,0,0,1,0,0,3,0,0,0,0,0
