"",weight,が良く,の良い,がよく,が悪い,も良く,が良いです,もよく,のよい,も良いです,が良い,が悪く,がいいです,がよい,がいい,が良いので,も良好です,もいいです,が悪いと,は良好です,は良く,は良いです,がいいので,が良いと,は良い,もいい,も良い,は良いと,が良くて,が悪いです,も良いので,はいいと,のある,はいいですね,はありません,が高い,の高い,も高く,も良いと,の悪い,が感じます,はいいです,が良くない,が高いので,がいいと,も悪くなく,が悪いので,も満足しています,は感じです,が高く,があります,は悪いです,があり,といい,にありません,もありません,は良いのですが,もいいですね,も気に入っています,が違います,が高いです,が良いのか,は最高です,がよいです,もいいし,がイマイチ,もある,にある,もよい,がいいですね,も良好,も良いですね,も良いし,もあり,がよいと,は高い,は落ちますが,も高い,はよく,もあります,は抜群です,は満足しています,はいい,はよいです,は思います,もなく,はよいと,に満足しています,を考えて,も良くて,は方だと
weight,"",9.58131600801565e-11,9.03992500528314e-11,8.23052790517115e-11,7.96166398268991e-11,7.94057987428974e-11,7.67719895968929e-11,7.62605634748928e-11,7.3599952932999e-11,7.34442906538406e-11,7.01705835754278e-11,6.65753358180022e-11,6.43518250859497e-11,6.26523163359525e-11,6.08521049721185e-11,6.00423528679683e-11,5.74411983443991e-11,5.69429188891826e-11,5.56865426516463e-11,5.47787765309732e-11,5.41319780987665e-11,5.31206493328443e-11,5.10926259054348e-11,5.09658496708806e-11,4.98343560311721e-11,4.9796932605735e-11,4.87075026141651e-11,4.77675339532079e-11,4.74466200580623e-11,4.69634416093532e-11,4.66357628089692e-11,4.57325366381909e-11,4.53953735084316e-11,4.48508868470679e-11,4.42817492941062e-11,4.41836628714054e-11,4.39811111949045e-11,4.38341152148608e-11,4.35137730068664e-11,4.2980794981958e-11,4.21931004002422e-11,4.1545801173869e-11,4.09097483154542e-11,4.09065982429602e-11,4.00745209848471e-11,3.97647229199059e-11,3.96970867606482e-11,3.9459471337622e-11,3.94092998263578e-11,3.9400047037406e-11,3.92793954318541e-11,3.90731626824431e-11,3.85832885386333e-11,3.84100873718449e-11,3.8213861559174e-11,3.74700246998385e-11,3.69321777213203e-11,3.68518934738795e-11,3.67086746841767e-11,3.62353670636218e-11,3.58980368943998e-11,3.56485464281738e-11,3.56112433089255e-11,3.53324169721964e-11,3.45085565817772e-11,3.42430970176578e-11,3.41405963661964e-11,3.41160488546988e-11,3.39739657230286e-11,3.37825447737672e-11,3.34571289153381e-11,3.334064580257e-11,3.31448252343612e-11,3.29319348690376e-11,3.2564201398429e-11,3.23855550349341e-11,3.2381952640888e-11,3.23198162512243e-11,3.22406930321104e-11,3.19109094105032e-11,3.17369428463267e-11,3.16589359379514e-11,3.1623091065798e-11,3.14905881425795e-11,3.12648811350549e-11,3.12265242366066e-11,3.10335456706726e-11,3.09473622755421e-11,3.0761905502677e-11,3.07573029760451e-11,3.06756234880461e-11
バランス,4.08821259797949e-12,10,20,5,6,6,7,5,6,4,14,2,3,3,4,2,0,0,4,3,3,5,0,9,2,2,1,8,1,2,3,4,0,2,0,2,2,0,11,0,3,0,1,0,4,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,2,0,0
持ち,3.53255120860311e-12,0,0,1,30,0,4,0,0,0,22,6,1,6,9,2,0,0,5,0,2,5,6,2,3,0,0,6,1,9,0,0,0,2,7,0,0,0,0,0,1,1,5,0,1,0,4,0,2,0,0,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,0,0,1,0,0,0,2
色乗り,3.28102027134607e-12,2,2,0,0,5,1,3,2,2,1,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
使い勝手,3.25197417753483e-12,10,12,5,7,4,15,4,5,1,17,1,12,6,1,3,1,1,1,5,1,10,1,6,1,1,1,5,1,2,0,3,0,0,4,0,0,0,1,0,1,3,1,0,3,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,2,5,1,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
レスポンス,3.18253331083378e-12,6,2,4,6,6,0,0,0,0,8,1,0,0,1,1,2,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
発色,2.95991747127193e-12,3,1,1,2,3,0,6,1,4,0,0,0,0,3,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,4,1,0,0,1,1,2,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,1
相性,2.86050965660959e-12,1,1,0,0,3,2,0,0,3,2,0,0,1,0,1,0,2,0,0,2,0,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
色のり,2.8369678692742e-12,1,1,2,0,0,1,6,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ホールド感,2.80402897970119e-12,5,3,1,5,6,2,5,0,4,3,3,1,0,1,3,2,3,0,9,1,14,1,1,7,3,1,4,1,0,4,0,0,0,9,1,0,0,0,0,1,2,2,0,1,1,0,2,3,1,1,1,2,2,2,5,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,2,2,4,0,1,0,0,0,1
評判,2.7838602664177e-12,0,14,1,0,0,0,0,3,0,1,0,0,0,3,6,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もち,2.77375657292159e-12,0,0,0,7,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,2,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
操作性,2.72396302758045e-12,8,4,3,6,12,4,5,0,9,4,0,3,2,1,2,3,3,0,6,2,6,2,2,2,5,8,10,0,2,1,9,0,1,11,3,0,0,6,1,0,4,1,0,0,1,0,2,3,1,0,3,1,1,3,1,4,0,0,0,0,0,1,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,1,0,6,1,2,4,11,2,0,1,2,0,0
写り,2.71979335454607e-12,4,7,0,2,4,1,1,1,0,4,0,1,0,5,1,0,0,1,1,2,4,2,2,3,3,2,5,2,0,0,2,0,4,6,0,0,1,2,0,0,7,0,0,1,1,0,1,1,0,0,0,0,0,2,8,1,0,0,4,0,0,4,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,0,1,0,3,1,0,4,0,2,2,0,2,1
気持ち,2.71052849524088e-12,0,13,1,0,0,2,0,3,0,7,0,9,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
デザイン,2.66316585437706e-12,3,1,1,0,7,2,1,0,2,7,0,0,1,1,2,0,3,0,1,0,2,0,1,2,2,2,11,0,0,0,6,1,0,0,0,0,0,4,0,0,3,0,0,1,1,0,1,5,0,0,0,0,1,0,1,2,0,3,0,0,0,2,0,3,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,2,0,1,11,0,3,0,0,1,1
描写,2.56822466770669e-12,1,2,0,0,6,0,0,0,3,0,0,1,0,1,2,1,1,0,0,3,5,1,4,1,1,1,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,5,1,0,0,0,0,0
携帯性,2.55424526022932e-12,2,11,0,3,12,5,6,0,2,6,2,1,3,1,1,0,1,2,3,4,3,5,1,3,0,1,12,1,1,1,0,0,0,11,1,0,1,2,0,0,10,0,1,1,1,2,0,2,0,0,5,0,1,1,1,5,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,17,2,0,3,12,1,2,0,2,0,0
視認性,2.51643076893031e-12,0,2,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
色,2.45304341008989e-12,0,0,0,2,1,0,0,0,0,1,1,1,0,2,1,0,0,0,1,0,0,1,0,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
重量バランス,2.42892748964657e-12,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールド性,2.36043669189894e-12,4,0,1,2,0,2,0,0,0,1,1,0,0,1,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
感度,2.34850138519985e-12,2,1,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
感触,2.30512489984727e-12,1,0,0,0,0,2,1,0,1,2,0,0,1,1,0,0,3,0,0,0,6,0,1,0,0,2,1,1,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
質,2.2991723095144e-12,1,4,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,2.29702462653441e-12,2,2,0,2,1,0,0,0,1,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,1,4,1,3,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
性能,2.28316207634494e-12,0,5,0,0,3,0,0,0,0,2,0,0,4,2,1,0,0,0,0,0,0,1,1,1,0,0,3,2,0,0,3,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2,2,0,0
見た目,2.27006492590142e-12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
