"",weight,が良く,の良い,がよく,が良いです,が悪い,のよい,もよく,も良く,も良いです,が悪く,が良い,がいいです,がよい,も良好です,がいい,が良いので,が悪いと,もいいです,は良好です,は良く,がいいので,は良い,はいいと,は良いです,が悪いです,もいい,のある,を考えると,も良い,は良いと,が良いと,の悪い,が良くて,が高い,も良いので,はいいですね,も高く,の高い,が感じます,が良くない,が高いので,が悪いので,があります,がいいと,も良いと,も悪くなく,はありません,はいいです,は悪いです,が高く,があり,もいいですね,といい,は感じです,が良いのか,も気に入っています,がよいです,も満足しています,が違います,にありません,もよい,は良いのですが,もいいし,が高いです,もありません,も良いですね,になります,もある,がいいですね,にある,もあり,がイマイチ,もあります,は最高です,は落ちますが,も良いし,を考えれば,も良好,がよいと,は高い
weight,"",2.14250649963014e-10,2.06361873945174e-10,1.9425168347516e-10,1.80183470648023e-10,1.77016384646969e-10,1.76809987492375e-10,1.74066223390203e-10,1.69671558387315e-10,1.66411719872067e-10,1.57413601696693e-10,1.54802608529847e-10,1.49038705957151e-10,1.4385846829636e-10,1.35428658773468e-10,1.34179521189004e-10,1.33582452029507e-10,1.31028705180592e-10,1.30039302959126e-10,1.25881454870651e-10,1.23018123215323e-10,1.16773556635272e-10,1.12061291030712e-10,1.11655429921369e-10,1.0908260973002e-10,1.08769387184906e-10,1.08733697529901e-10,1.07613530542896e-10,1.06839744690423e-10,1.06657415284553e-10,1.06443669113838e-10,1.06282570216144e-10,1.04882125155505e-10,1.04449216842236e-10,1.04107729113759e-10,1.03056109518132e-10,1.02062592895695e-10,1.01444322619545e-10,9.82172168245663e-11,9.60618906705339e-11,9.56182892294265e-11,9.50274704838734e-11,9.45263854037447e-11,9.40807168298821e-11,9.25670330205365e-11,9.23856704178481e-11,9.12019500207024e-11,9.05930721342173e-11,8.99710785561515e-11,8.98516220993889e-11,8.86496531159132e-11,8.86255848306227e-11,8.82174063370467e-11,8.77371566898821e-11,8.75928164583516e-11,8.61196438120372e-11,8.51370903913978e-11,8.47093740087312e-11,8.39894495401022e-11,8.36125733997137e-11,8.25022662910551e-11,8.1567405653993e-11,8.15114100855483e-11,8.08992119046954e-11,8.07157608238236e-11,8.07025658855817e-11,7.99585009512188e-11,7.89932860115268e-11,7.76931575222059e-11,7.75001454831854e-11,7.74921675699138e-11,7.7129800058683e-11,7.70641028257146e-11,7.70549388701021e-11,7.65157330245562e-11,7.64003904406878e-11,7.63565426801448e-11,7.61346612174219e-11,7.59692986290849e-11,7.35466919758957e-11,7.3376918562867e-11
バランス,1.18535401247719e-11,10,20,5,7,6,6,5,6,4,2,14,3,3,0,4,2,4,0,3,3,0,2,4,5,2,2,0,8,1,8,9,0,1,2,3,2,0,2,3,1,0,1,0,4,11,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0
持ち,1.08389842326808e-11,0,0,1,4,30,0,0,0,0,6,22,1,6,0,9,2,5,0,0,2,6,3,0,5,9,0,0,0,0,6,2,0,1,0,0,2,0,0,1,5,0,4,0,1,0,0,7,1,5,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
使い勝手,1.07378723562132e-11,10,12,5,15,7,5,4,4,1,1,17,12,6,1,1,3,1,1,5,1,1,1,3,10,2,1,0,4,1,5,6,0,1,0,0,0,0,0,1,1,0,0,1,3,1,1,4,3,0,0,0,1,0,0,0,1,5,0,0,1,0,0,1,0,1,1,0,0,4,0,0,0,0,2,0,0,0,1,1,0
色乗り,1.03170215820487e-11,2,2,0,1,0,2,3,5,2,0,1,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
レスポンス,9.43936547614101e-12,6,2,4,0,6,0,0,6,0,1,8,0,0,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
操作性,9.35868073276007e-12,8,4,3,4,6,0,5,12,9,0,4,3,2,3,1,2,0,3,6,2,2,2,9,6,2,5,0,3,8,10,2,1,0,3,1,1,0,0,0,1,0,0,0,0,6,1,11,4,3,1,1,0,1,3,0,0,1,2,0,3,0,4,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,2,1,0
携帯性,9.14095299857253e-12,2,11,0,5,3,0,6,12,2,2,6,1,3,0,1,1,2,1,3,4,5,3,0,3,1,0,0,3,1,12,1,0,1,1,1,0,1,0,0,0,1,2,0,1,2,1,11,10,5,0,0,1,1,2,0,0,0,0,0,1,0,5,4,0,1,0,0,0,0,0,0,0,0,1,3,1,3,0,1,0
発色,9.07355119510896e-12,3,1,1,0,2,1,6,3,4,0,0,0,0,0,3,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,2,1,0,1,0,4,0,0,0,0,2,0,1,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0
色のり,9.02373338146475e-12,1,1,2,1,0,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
