"",weight,が良く,がよく,の良い,のよい,もよく,も良く,の悪い,が良いです,も良いです,も良好です,がいいです,が悪く,が良い,が良いので,が悪い,は良好です,もいいです,が良いのか,が悪いと,は良い,がよい,がいい,もよい,もいいですね,もいい,も悪くなく,の高い,がいいので,は良く,も良い,で満足しています,もいいし,が良いと,にある,が良くて,は良いです,は感じです,を考えると,のある,はいいと
weight,"",4.94986908298254e-21,4.84614683062872e-21,4.78163546080653e-21,4.69340846027155e-21,4.28608903481617e-21,3.70601474723606e-21,3.5600066475761e-21,3.52562242556685e-21,3.44020379229337e-21,3.4265196948931e-21,3.18862185596968e-21,3.0990517931516e-21,3.02746338034481e-21,2.88640137910399e-21,2.86717408692795e-21,2.75842154487296e-21,2.67362146660587e-21,2.63353189306173e-21,2.60479012445991e-21,2.55478508541563e-21,2.36019865432103e-21,2.32901474703119e-21,2.26486473135437e-21,2.2517484174867e-21,2.20339720436931e-21,2.18751086603825e-21,2.18059723216227e-21,2.13934537105639e-21,2.13517132136527e-21,2.04799687606051e-21,2.03108397285193e-21,2.01099396446459e-21,1.99103228952423e-21,1.93983123610441e-21,1.92344567432834e-21,1.90742589118438e-21,1.89686217380499e-21,1.88812943665974e-21,1.88019377488115e-21,1.865836322363e-21
色のり,3.68491668986382e-22,1,2,1,1,6,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,2,1,0,0,0,1,2,0,0,0
色乗り,3.47875675182893e-22,2,0,2,2,3,5,0,1,2,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
評判,3.31815404344323e-22,0,1,14,3,0,0,3,0,0,0,0,0,1,6,0,0,0,1,0,0,0,3,0,0,2,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0
発色,3.21611715585538e-22,3,1,1,1,6,3,0,0,4,0,0,0,0,1,2,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,2,0,0,0,2,1,0,0,0
重量バランス,3.11355174269185e-22,3,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0
レスポンス,3.05249152543808e-22,6,4,2,0,0,6,0,0,0,2,0,1,8,1,6,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0
気持ち,2.93977904397698e-22,0,1,13,3,0,0,0,2,0,0,9,0,7,0,0,0,0,0,0,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
バランス,2.76702348928985e-22,10,5,20,6,5,6,0,7,4,0,3,2,14,2,6,3,0,1,4,2,3,4,0,0,2,1,2,0,3,1,0,0,9,0,1,5,0,8,0,4
出来,2.68121841621698e-22,0,0,5,1,0,0,4,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
