"",weight,バランス,使い勝手,持ち,色乗り,レスポンス,操作性,発色,色のり,携帯性,評判,ホールド感,デザイン,相性,気持ち,もち,写り,視認性,重量バランス,感度,描写,ホールド性,色,画質,質,精度,感触,見た目,反応,描写力,音,操作感,ボケ味,シャッター音,性能,取り回し,解像度,質感,出来,ヌケ,位置,AF精度,配置,補正,コストパフォーマンス,コントラスト,切れ,色合い,画像,ボケ,天気,条件,レンズ,音質,解像感,液晶,電池持ち,カメラ,ホールド,重さ,バッテリー,AF,大きさ,フィーリング,ボケ具合,キレ,使用頻度,グリップ感,機動性,・画質,機能性,描写性能,動画,グリップ,ファインダー,完成度,表現力,気分,満足感,・操作性,満足度
weight,"",3.1974151599916e-19,2.89284990942975e-19,2.86221659626259e-19,2.76515819158139e-19,2.56318699495232e-19,2.46198235625645e-19,2.43621877393343e-19,2.4192775992785e-19,2.41268177671209e-19,2.37648783851389e-19,2.27880340622702e-19,2.26341773550927e-19,2.23648219998914e-19,2.22139701820625e-19,2.14004441585765e-19,2.0960055376752e-19,2.09197107298455e-19,2.02533103101044e-19,2.0085724929402e-19,1.99471188580829e-19,1.98618596132518e-19,1.97802461666392e-19,1.92739203495433e-19,1.88816534196794e-19,1.87706789757548e-19,1.83707594769994e-19,1.80381001498678e-19,1.77802094351437e-19,1.75782337740448e-19,1.75255273659568e-19,1.72084656677626e-19,1.69630973139683e-19,1.68309725416994e-19,1.64914336787528e-19,1.64384112014641e-19,1.63236648325771e-19,1.62391982760707e-19,1.61529070965609e-19,1.59723584670185e-19,1.56471817351143e-19,1.50495647828118e-19,1.49162344628339e-19,1.44404537232139e-19,1.43152784054119e-19,1.43024077246746e-19,1.4057195435983e-19,1.3838618512769e-19,1.38004915805983e-19,1.34108517589894e-19,1.33841137365995e-19,1.3222291050971e-19,1.29877865285786e-19,1.29354444256497e-19,1.28269829522597e-19,1.27357085222219e-19,1.26389751621886e-19,1.24943020518867e-19,1.24737675318536e-19,1.22807478571907e-19,1.21133929713267e-19,1.20239457040185e-19,1.18501879184698e-19,1.18478511935059e-19,1.17900694786997e-19,1.16514378011874e-19,1.14278426705728e-19,1.14277592108491e-19,1.11464499592823e-19,1.06139656088597e-19,1.05844098401098e-19,1.01532879368334e-19,1.01306480837876e-19,1.01074997309517e-19,1.00804439274024e-19,1.00304222681159e-19,1.00228450050995e-19,9.81348093095352e-20,9.79195937686899e-20,9.78965900632893e-20,9.78755097294817e-20
が良く,1.67162812473383e-20,10,10,0,2,6,8,3,1,2,0,5,3,1,0,0,4,0,3,2,1,4,0,6,1,2,1,1,1,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
の良い,1.60521009672041e-20,20,12,0,2,2,4,1,1,11,14,3,1,1,13,0,7,2,0,1,2,0,0,2,4,2,0,0,2,0,0,0,0,0,5,0,0,1,5,5,0,1,0,0,5,1,4,1,0,0,15,2,5,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
がよく,1.53563125516799e-20,5,5,1,0,4,3,1,2,0,1,1,1,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
のよい,1.4111417344533e-20,6,5,0,2,0,0,1,1,0,3,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いです,1.39882585311817e-20,7,15,7,1,0,4,0,1,5,0,2,2,2,2,1,1,0,0,0,0,2,0,6,1,0,2,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
もよく,1.34846196419034e-20,5,4,6,3,0,5,6,6,6,0,5,1,0,0,0,1,0,0,0,0,0,0,11,0,0,1,0,1,0,0,2,0,0,0,0,1,2,0,1,1,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が悪い,1.3369760110557e-20,6,7,36,0,6,6,2,0,3,0,5,0,0,0,7,2,1,1,2,0,2,2,12,2,2,0,0,2,0,1,0,0,0,0,0,1,1,0,0,5,2,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
も良いです,1.30947680653316e-20,4,1,5,2,0,9,4,0,2,0,4,2,3,0,1,0,0,0,0,3,0,0,5,0,1,1,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0
も良く,1.28532978621463e-20,6,4,7,5,6,12,3,0,12,0,6,7,3,0,0,6,2,0,0,6,0,1,14,1,1,0,0,0,1,1,0,1,1,3,2,1,5,0,1,0,1,0,0,1,1,1,1,0,4,0,0,1,0,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
