"",weight,が悪い,が良く,の良い,が悪く,にあります,もよく,にあるので,にある,がよく,も満足しています,がいいです,が高い,のよい,も良く,は高いです,が良い,がよい,がなります,を上げて,はありません,がある,を上げると,が高く,にありません,があります,の高い,を上げた,も良いです,を上げても,は高い,の悪い,も悪くなく,もいいです,が良くなく,が遅い,が鈍い,を上げる,が良いです,が悪いと,は感じです
weight,"",0.0427307567573136,0.0137643433154472,0.0131680888560595,0.0130916486814823,0.0101735820777332,0.00871955492356986,0.00861937813010325,0.00838692482746387,0.00837565180997853,0.00835839740395294,0.00829762566318931,0.00824103121412602,0.00806800097893031,0.00752525259704457,0.00748994464992154,0.00726764491760716,0.00709117130164587,0.00698141780824656,0.00678907714028045,0.00676693558226237,0.00674170828744146,0.00661611412963885,0.00661493134547336,0.00648069863886828,0.00647761153202135,0.00647494649783665,0.00645944738389627,0.00630528629836516,0.00622121291896252,0.00621478758981616,0.00621190517499391,0.00617346833889235,0.00615436947137433,0.00615336798093947,0.00615215214771509,0.00615215214771509,0.00608387301625123,0.00605126014682446,0.0059788426971313,0.00595360416601018
持ち,0.00107603070376086,30,0,0,6,0,0,0,0,1,0,1,0,0,0,0,22,6,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2
位置,0.0010266039080391,5,0,0,3,4,1,6,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
バランス,0.000951531702665813,6,10,20,2,0,5,0,0,5,1,3,2,6,6,0,14,3,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,7,4,0
レスポンス,0.000930874201242061,6,6,2,1,0,0,0,0,4,0,0,0,0,6,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
もち,0.000893787292487302,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
反応,0.000889668392941345,2,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,0,0,0
使い勝手,0.000794423083766657,7,10,12,1,0,4,0,0,5,0,12,0,5,4,0,17,6,0,0,4,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,15,1,0
ホールド感,0.000777154805704205,5,5,3,3,0,5,0,0,1,2,1,1,0,6,1,3,0,0,0,9,0,0,1,2,1,0,0,4,0,0,0,1,3,0,0,0,0,2,0,3
発色,0.000760035804869456,2,3,1,0,1,6,0,0,1,4,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,1
感度,0.000752877197120371,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,0,2,7,0,8,1,0,0,0,0,0,0,6,0,1,0
色,0.000745435864130027,2,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ホールド性,0.000728734561179261,2,4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
質,0.000724665422246256,2,1,4,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0
操作性,0.000661822807006291,6,8,4,0,1,5,0,1,3,2,3,3,0,12,1,4,2,0,0,11,0,0,1,3,0,0,0,9,0,0,1,1,3,0,0,0,0,4,0,3
