"",weight,バランス,色乗り,持ち,使い勝手,レスポンス,発色,色のり,評判,気持ち,操作性,相性,ホールド感,写り,重量バランス,携帯性,色,デザイン,視認性,描写,ホールド性,もち,感度,質,反応,見た目,音,シャッター音,取り回し,出来,描写力,画質,操作感,精度,ボケ味,ヌケ,感触,配置,位置,性能,画像,解像度,補正,色合い,天気,切れ,条件,AF精度,質感,音質,ボケ,電池持ち,カメラ,感じ,コントラスト,ボケ具合,レンズ,フィーリング,ホールド,大きさ,バッテリー,液晶,AF,グリップ感,重さ,キレ,コストパフォーマンス,解像感,・画質,気分,動画
weight,"",2.45752001332995e-21,2.26767048532307e-21,2.15799406985408e-21,2.08979517334801e-21,2.07148569650462e-21,2.05543336406668e-21,2.02351665306365e-21,1.97517299359902e-21,1.87493099596941e-21,1.7881099539969e-21,1.7801840065629e-21,1.75167292228079e-21,1.73575054233377e-21,1.71131022269182e-21,1.71129363986834e-21,1.70683001738667e-21,1.69623923103459e-21,1.68365326388202e-21,1.66599286756569e-21,1.64092614588263e-21,1.63501334385958e-21,1.59194855045441e-21,1.52765947998835e-21,1.48539176640268e-21,1.46984531428339e-21,1.44882310473421e-21,1.41249597426174e-21,1.38529868947573e-21,1.37302625521638e-21,1.37201533187913e-21,1.37147165007744e-21,1.37070342038987e-21,1.3691217632765e-21,1.36642939853565e-21,1.35918396607335e-21,1.33369867652916e-21,1.29925207387393e-21,1.2982258262041e-21,1.20805129378398e-21,1.18218003282211e-21,1.17751808304309e-21,1.15372757527529e-21,1.14696308097561e-21,1.14320875905064e-21,1.1339590603022e-21,1.10848875066347e-21,1.08626741884984e-21,1.07913529285169e-21,1.07765001378097e-21,1.0759940407349e-21,1.06820901631212e-21,1.04083935174331e-21,1.0254447673903e-21,9.89775412441197e-22,9.81727316350596e-22,9.77048951825485e-22,9.74960539552745e-22,9.54036845959175e-22,9.38214503227257e-22,9.33314539477649e-22,9.32197294536387e-22,9.24725371555114e-22,9.11493795676329e-22,9.04570974145381e-22,8.92084081763232e-22,8.64418413761957e-22,8.52926999539283e-22,8.45747831693835e-22,8.34450975685042e-22,8.21334420814826e-22
が良く,1.49725104412479e-22,10,2,0,10,6,3,1,0,0,8,1,5,4,3,2,0,3,0,1,4,0,2,1,1,1,0,0,0,0,0,6,0,2,0,2,1,1,0,0,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
の良い,1.46224301528271e-22,20,2,0,12,2,1,1,14,13,4,1,3,7,0,11,0,1,2,2,0,0,1,4,2,0,0,0,0,5,0,2,0,2,0,5,0,0,0,5,0,0,0,1,15,4,2,1,1,0,0,0,3,0,1,0,5,0,0,0,0,1,0,0,0,2,5,0,0,1,0
がよく,1.40017764928996e-22,5,0,1,5,4,1,2,1,1,3,0,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
のよい,1.29410984168669e-22,6,2,0,5,0,1,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良いです,1.21833853722947e-22,7,1,7,15,0,0,1,0,2,4,2,2,1,0,5,0,2,0,0,2,1,0,1,0,0,0,0,1,1,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0
もよく,1.19650987037511e-22,5,3,6,4,0,6,6,0,0,5,0,5,1,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,11,2,0,0,1,1,0,1,0,1,1,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
が悪い,1.17195566910584e-22,6,0,36,7,6,2,0,0,0,6,0,5,2,1,3,2,0,1,0,2,7,2,2,2,0,1,0,0,0,0,12,0,2,0,0,0,0,5,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0
も良いです,1.15292437420616e-22,4,2,5,1,0,4,0,0,0,9,3,4,0,0,2,0,2,0,3,0,1,0,0,1,0,0,0,1,0,0,5,0,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1
も良く,1.13968526919163e-22,6,5,7,4,6,3,0,0,0,12,3,6,6,0,12,1,7,2,6,0,0,0,1,0,0,1,1,2,0,1,14,0,1,1,1,0,0,0,3,0,1,0,1,0,1,0,1,5,0,4,0,0,0,1,0,1,1,0,1,0,0,0,0,2,0,1,2,0,0,0
が悪く,1.09172926938125e-22,2,0,6,1,1,0,0,0,0,0,0,3,0,0,2,1,0,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
がいいです,9.95604263057181e-23,3,2,6,12,0,0,1,0,9,3,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
も良好です,9.54682612667585e-23,0,1,1,1,2,0,1,0,0,3,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
が良い,9.44434528101278e-23,14,1,24,17,8,0,0,1,7,4,2,3,4,0,6,1,7,2,0,1,1,0,0,0,0,0,0,0,1,0,24,1,2,0,0,2,0,0,2,1,1,0,0,2,1,1,0,4,1,1,0,0,4,1,0,1,0,1,0,1,1,1,1,3,1,5,0,2,0,1
が良いので,9.36841186525397e-23,2,0,2,3,1,1,0,6,0,2,1,3,1,0,1,1,2,0,2,1,0,1,0,0,0,0,0,1,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がよい,9.20456513306339e-23,3,0,6,6,0,0,0,0,2,2,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0
が悪いと,8.95981191429873e-23,4,1,6,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
がいい,8.79594818807364e-23,4,0,10,1,1,3,0,3,9,1,0,1,5,0,1,2,1,0,1,1,1,0,0,0,2,0,0,0,0,0,9,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,4,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,1,0,2,1,0
は良好です,8.7935528289847e-23,3,1,0,5,0,1,0,0,0,6,0,9,1,1,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
もいいです,8.35469440158978e-23,0,0,6,1,1,1,0,0,0,3,2,3,0,1,1,0,3,0,1,0,1,0,0,0,2,0,0,0,0,0,9,1,1,3,0,3,0,1,0,1,0,0,0,0,0,0,0,5,1,0,0,0,2,0,1,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0
は良く,8.02670320751172e-23,3,0,2,1,1,0,0,1,0,2,2,1,2,0,4,0,0,2,3,0,0,0,0,0,0,1,0,0,0,1,7,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
の悪い,7.93007540335399e-23,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
は良い,7.78902103920122e-23,2,0,4,1,1,0,1,0,0,2,0,7,3,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,7,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
がいいので,7.66415434190849e-23,0,0,6,1,1,0,0,2,1,2,0,1,2,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
