"",weight,の高い,の良い,は高いです,が良い,が高い,は高いと,が悪い,は良いです,が良く,も良く,は良いと,が高いです,はありません,に優れた,が良いです,もよく,がいいです,は思います,がいい,が良いと,が高く,は高い,がよい,も良いと,は最高です,が高いと,がよく,のよい,も良いです,も高く,があります,はいいと,は良好です,はいいです,が高いので,が良いので,も良い,は良い,もいいです,はあります,は5です,が悪いと,が悪いです,は抜群です,も良好です,は悪いです,が弱いです,がいいですね,は素晴らしいです,に優れている
weight,"",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
バランス,0.085951177540892,2,20,0,14,2,0,6,5,10,6,8,1,0,0,7,5,3,0,4,9,0,0,3,11,0,0,5,6,4,0,0,4,3,0,0,2,1,2,0,0,0,4,2,1,0,1,0,1,0,0
持ち,0.0770620316871155,0,0,0,22,0,0,30,5,0,0,6,0,7,0,4,0,1,0,9,2,0,0,6,0,1,0,1,0,0,0,0,0,0,1,0,2,0,3,0,0,0,5,9,1,0,5,0,0,0,0
色乗り,0.0735460335687371,0,2,0,1,0,0,0,1,2,5,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
感度,0.0729583177194602,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0
発色,0.0726979617208262,0,1,0,0,0,0,2,2,3,3,0,0,1,0,0,6,0,2,3,0,0,0,0,0,2,0,1,1,4,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
評価,0.0701354677536806,12,1,2,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
完成度,0.0697472617754994,37,0,3,0,11,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
解像度,0.0689298986177382,5,0,2,1,6,0,1,1,0,1,0,2,2,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0
満足度,0.06853349539561,45,0,68,0,7,10,0,0,0,0,0,16,1,0,0,0,0,1,0,0,2,13,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
気持ち,0.0684855021216009,0,13,0,7,0,0,0,0,0,0,0,0,1,0,2,0,9,0,9,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
デザイン,0.0684266498420871,0,1,0,7,0,0,0,2,3,7,11,0,0,0,2,1,0,11,1,1,0,0,1,4,2,0,1,0,2,0,0,6,1,3,0,2,2,2,3,2,1,0,0,0,0,0,0,4,0,0
使用頻度,0.068092036562817,10,0,2,0,11,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.067589104880346,0,0,0,0,1,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,0,4,0,0,0,0,1,0,0,0,1,0
汎用性,0.0675177783137017,2,0,0,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
相性,0.0672782759963297,0,1,0,2,0,0,0,0,1,3,1,0,1,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0,3,0,0,2,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0
コントラスト,0.0667639054044563,11,1,0,1,5,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,0.0660942168245235,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,6,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
価格,0.0658199330916,0,0,1,0,9,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,0.0654867939395192,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0
CP,0.0652008621999909,4,0,1,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
感触,0.0649589186252098,0,0,0,2,0,0,0,6,1,0,1,0,2,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,0,0,1,0,0,1,0,1,0,0
精度,0.0647576497997495,1,2,1,2,4,0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,3,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
重量バランス,0.0635028210271448,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
評判,0.0631093258698516,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
レスポンス,0.062061846209678,0,2,0,8,0,0,6,1,6,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0
解像感,0.062038207877112,1,0,0,0,2,2,1,1,0,2,1,2,0,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
値段,0.0618834062941619,1,0,1,0,9,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
操作感,0.0613317747786465,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0
視認性,0.0602563997462344,0,2,0,2,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
描写,0.0596347164223779,0,2,1,0,0,0,0,5,1,6,0,0,4,1,0,0,1,5,1,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,1,1,1,5,0,0,0,0,1,0,0,0,0,0
もち,0.0593755863642677,0,0,0,1,0,0,7,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
操作性,0.058997011925451,0,4,1,4,3,0,6,6,8,12,10,0,11,2,4,5,3,11,1,2,1,0,2,6,1,0,3,0,9,0,0,9,6,4,0,2,8,2,3,1,0,0,2,6,3,3,0,1,0,0
ホールド性,0.0589209779920211,0,0,0,1,1,0,2,2,4,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
取り回し,0.0588599878597696,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
使い勝手,0.0585813765044705,0,12,0,17,0,0,7,10,10,4,5,0,4,0,15,4,12,1,1,6,0,0,6,1,2,0,5,5,1,0,1,3,5,3,0,3,1,1,1,0,0,1,2,0,1,0,0,4,0,0
写り,0.0584976771076218,0,7,0,4,0,0,2,4,4,4,5,0,6,0,1,1,1,4,5,2,0,0,0,2,4,0,0,1,0,1,0,2,1,7,0,1,2,3,0,1,0,1,0,0,0,0,0,0,1,0
AF精度,0.0571190928760143,1,1,1,0,1,0,2,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
性能,0.0558627729076345,1,5,1,2,2,2,0,0,0,3,3,0,1,0,0,0,0,4,2,1,1,0,4,0,0,1,0,0,0,0,2,3,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,2,0
満足感,0.0555385384792842,7,0,6,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
機動性,0.0545875284808929,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
補正,0.0536605783596701,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
色,0.0535632801467499,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
見た目,0.0530450610042329,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0
質,0.0525341190262793,2,4,1,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
効果,0.0519375126605046,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0
大きさ,0.0517799352986187,0,0,0,0,0,0,0,2,0,1,1,0,2,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
シャッター音,0.0507367625572397,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0
コストパフォーマンス,0.050525260877519,36,5,4,5,14,24,0,4,1,1,8,4,0,33,0,1,0,2,1,2,4,2,3,2,9,6,0,0,0,4,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3
感じ,0.0503727718618995,0,0,0,4,0,0,0,3,0,0,1,0,6,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0,5,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0
バッテリー,0.0496842187849085,0,0,0,1,1,0,0,5,0,0,1,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0
重さ,0.0494251416645978,0,0,0,3,0,0,0,2,0,2,0,0,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0
カメラ,0.0493161776337176,0,3,0,0,1,1,0,2,0,0,1,0,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0
色合い,0.0489561407157992,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
反応,0.0488812622103907,0,2,0,0,0,0,2,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画像,0.0484479912818478,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0
携帯性,0.0480658496169676,0,11,0,6,1,0,3,3,2,12,12,0,11,5,5,6,1,12,1,1,0,0,3,2,1,1,0,0,2,1,0,0,3,10,1,1,1,3,1,1,0,2,1,17,0,5,0,0,1,4
音,0.0478555415431638,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ボケ,0.0468824182315252,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
電池持ち,0.0467003668023713,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ホールド感,0.0461810278384193,0,3,1,3,1,0,5,14,5,6,4,0,9,0,2,5,1,4,1,1,1,0,0,0,0,0,1,0,4,0,1,0,9,2,0,3,1,7,3,3,0,0,0,4,2,1,0,0,0,0
機能性,0.0459187881919582,0,0,0,0,1,0,0,3,1,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ズーム,0.0458062509871028,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
質感,0.0450754606181125,5,1,2,4,9,2,1,4,5,5,4,2,2,0,2,2,1,2,4,1,6,2,1,3,4,2,1,0,2,4,3,2,1,5,0,0,6,0,5,6,0,0,0,0,2,0,0,2,1,0
ヌケ,0.0443813261640101,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
機能,0.0438842176100386,0,0,1,3,0,0,1,0,0,0,1,0,4,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0
画質,0.0437001901228183,0,2,0,24,0,0,12,13,6,14,19,0,18,1,6,11,6,28,9,13,0,0,1,6,7,0,1,1,5,0,1,11,2,11,0,5,10,7,9,6,1,4,4,1,2,3,0,1,4,0
液晶,0.0433716259162129,0,1,0,1,0,0,0,7,0,0,2,0,1,0,0,0,0,5,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0
レンズ,0.0424388148723215,0,5,1,1,0,1,1,10,1,1,2,0,8,0,0,0,0,6,1,2,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,1,0,4,0,0,0,0,0,0,0,2,0,0
ホールド,0.0420131666607408,0,0,0,1,0,0,0,5,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
出来,0.0420080707650011,0,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
フィーリング,0.0419733405630063,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
表現力,0.0417960097407769,0,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
・画質,0.0400477559992934,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
利便性,0.0397929369298179,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
・操作性,0.0397771324779688,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ボケ具合,0.0396991701250634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
お買い得感,0.0395983325267749,2,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
条件,0.0394448440417729,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ファインダー,0.0384844341959615,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AF,0.0382119137993316,0,0,1,1,0,0,1,2,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
ポイント,0.0379459693187046,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切れ,0.0372199565721122,0,4,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
あと,0.0372027964181482,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
彩度,0.0368976080484818,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
人,0.0368342211129428,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
グリップ感,0.0366267695280004,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
サイズ,0.0362244521002068,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
撮影,0.035956011062062,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
画素数,0.0358898565264104,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ホールディング性,0.0356446696994162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
基本性能,0.0353526979043095,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
組み合わせ,0.0352532135044364,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
グリップ,0.0350815809105525,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,0.0344983160353942,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
動画,0.0344944650213477,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
再現性,0.0341840682419258,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
音質,0.0341545256421601,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ボディ,0.0340689957134141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
機種,0.0340028911228037,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
画角,0.0339106463448478,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気分,0.0330878039669219,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天気,0.0327559480338058,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
自分,0.0317520151699476,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
率,0.0316411897075848,1,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
価値,0.0315734534424251,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0
写真,0.0308257682005535,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
画,0.0298611506700216,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
作り,0.029604796281929,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
バッテリー持ち,0.0290611491885739,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
持ち運び,0.0285023283955578,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
最近,0.028500095809106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
見栄え,0.0281597060064026,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
良さ,0.0281552708538645,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
追従性,0.0281295357191561,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
