"",weight,が良く,の良い,がよく,のよい,もよく,が良いです,も良く,が悪い,も良いです,が悪く,がいいです,も良好です,が良いので,が良い,が悪いと,がよい,は良好です,の悪い,がいい,は良く,がいいので,もいいです,の高い,は良い,もいい,が良くて,が悪いです,も良いので,が良いと,が良いのか,が良くない,はいいと,を考えると,がいいと,が高い,が感じます,は良いです,が悪いので,もよい,もいいですね,も良い,がよいです,も悪くなく,は良いと,は感じです,もいいし,があります,もある,はいいですね,はいいです,のある,も良いですね,も気に入っています,にありません,といい,がイマイチ,は悪いです,も高く,にある,も良いと
weight,"",8.85863020924055e-15,8.66783347216625e-15,8.19647447409208e-15,7.81643836645572e-15,7.07156289995436e-15,6.74013288697984e-15,6.64202653844608e-15,6.59625438309168e-15,6.42147663276535e-15,6.36874569776574e-15,6.01536071822656e-15,5.66985054740922e-15,5.48817714412475e-15,5.39983241890329e-15,5.34691894236637e-15,5.27954872469404e-15,5.11908439408271e-15,5.02292943307465e-15,5.01631650104327e-15,4.6280161132315e-15,4.61049793278867e-15,4.56965504659036e-15,4.56326719918866e-15,4.51615064808431e-15,4.25197549767837e-15,4.15806509945702e-15,4.13485812729538e-15,4.02036757985398e-15,3.95220874179083e-15,3.9432950230572e-15,3.88929920462924e-15,3.83004767128254e-15,3.79660697184719e-15,3.74043265751833e-15,3.72877813319404e-15,3.7270790912127e-15,3.7067928092671e-15,3.70449135880382e-15,3.68871280869191e-15,3.65833576278184e-15,3.62145631555623e-15,3.55587901977989e-15,3.51962464794966e-15,3.41405670356993e-15,3.39006284703511e-15,3.38612102897713e-15,3.38476654625278e-15,3.35470060180983e-15,3.33490511132635e-15,3.33260075539574e-15,3.32942215590044e-15,3.32591684865386e-15,3.31595794785288e-15,3.23452888008146e-15,3.18600370355923e-15,3.16786827681969e-15,3.13468345629157e-15,3.13424710079396e-15,3.13055531487325e-15,3.12729860556051e-15
色乗り,4.95127775558903e-16,2,2,0,2,3,1,5,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0
持ち,4.82022326927616e-16,0,0,1,0,0,4,0,30,0,6,1,0,2,22,5,6,0,0,9,2,6,0,0,3,0,1,9,0,2,0,5,0,0,1,0,1,5,4,0,0,0,1,0,6,2,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0
発色,4.74184410376346e-16,3,1,1,1,6,0,3,2,4,0,0,0,1,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,0,2,0,1,0,0,0
評判,4.56715966514373e-16,0,14,1,3,0,0,0,0,0,0,0,0,6,1,0,0,0,3,3,1,2,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
色のり,4.56198387064913e-16,1,1,2,1,6,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
レスポンス,4.50246088583362e-16,6,2,4,0,0,0,6,6,0,1,0,2,1,8,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,4.49544057673575e-16,0,13,1,3,0,2,0,0,0,0,9,0,0,7,0,2,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
バランス,4.41284149572683e-16,10,20,5,6,5,7,6,6,4,2,3,0,2,14,4,3,3,0,4,3,0,0,2,2,2,1,2,3,9,1,1,4,8,4,2,3,5,1,0,0,1,0,1,8,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,11
重量バランス,3.94443615375907e-16,3,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
