"",weight,が良く,の良い,がよく,が良いです,のよい,もよく,が悪い,も良く,も良いです,が悪く,が良い,がいいです,がよい,も良好です,が良いので,がいい,が悪いと,もいいです,は良好です,は良く,がいいので,は良い,はいいと,のある,もいい,の高い,が良くて,は良いです,が悪いです,の悪い,を考えると,が良いと,も良い,も良いので,は良いと,が高い,はいいですね,も高く,が感じます,が良くない,があります,がいいと,はありません,が悪いので,も良いと,も悪くなく,が高いので,はいいです,は悪いです,が高く,があり,が良いのか,もいいですね,といい,も満足しています,も気に入っています,は感じです,が高いです,にありません,がよいです,が違います,もよい,もいいし,は良いのですが,がイマイチ,は高いです,も良いですね,もありません,になります,もある,は高い,がいいですね,にある,もあり,はよく,も良好,は最高です,もあります,を考えれば,も良いし
weight,"",5.72451856153542e-18,5.55342228717854e-18,5.23002649883616e-18,4.79877768836356e-18,4.77962536660298e-18,4.63420884073687e-18,4.62497600876967e-18,4.49964512712188e-18,4.40550500155563e-18,4.16772081891655e-18,4.10392517152559e-18,3.95824603024081e-18,3.79585414878139e-18,3.61613877497429e-18,3.56173496298163e-18,3.54751684915343e-18,3.46027923160784e-18,3.43340643812424e-18,3.34486456371377e-18,3.26745109974104e-18,3.08077867418066e-18,2.96410461384838e-18,2.95471812601413e-18,2.9087820872757e-18,2.89857607527422e-18,2.88422397969354e-18,2.85273195791437e-18,2.84689390164684e-18,2.84052662220556e-18,2.839791439074e-18,2.83237028374915e-18,2.82376079520233e-18,2.82205451769473e-18,2.81507293649342e-18,2.78700000945194e-18,2.71061924965124e-18,2.66491540180031e-18,2.62012691928669e-18,2.5356014199053e-18,2.50205093855404e-18,2.48517946260838e-18,2.47030120842948e-18,2.46967964485625e-18,2.460604518591e-18,2.45142135581237e-18,2.43858634011893e-18,2.42972517676481e-18,2.38809836037609e-18,2.37604913333e-18,2.37330535497475e-18,2.34990932998509e-18,2.3296004030816e-18,2.3278259931009e-18,2.31085478353057e-18,2.30716264608761e-18,2.28179846697387e-18,2.28074385898797e-18,2.26946802909167e-18,2.26404638175724e-18,2.26163503842559e-18,2.25306052093907e-18,2.1915041188802e-18,2.17552177778823e-18,2.15935490721745e-18,2.13607132104871e-18,2.13401009271495e-18,2.12977991891923e-18,2.11210337009541e-18,2.10909698220616e-18,2.09674553787382e-18,2.09637209014476e-18,2.0815818481508e-18,2.05294464117401e-18,2.03667881872578e-18,2.03534215351381e-18,2.03217411686654e-18,2.02902725339636e-18,2.02306159658237e-18,2.0202565581535e-18,2.01632821895199e-18
バランス,3.1974151599916e-19,10,20,5,7,6,5,6,6,4,2,14,3,3,0,2,4,4,0,3,3,0,2,4,0,2,2,1,5,2,0,8,9,1,3,8,2,2,0,3,1,0,4,0,1,11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,5,0
使い勝手,2.89284990942975e-19,10,12,5,15,5,4,7,4,1,1,17,12,6,1,3,1,1,1,5,1,1,1,3,0,1,0,1,10,2,0,4,6,1,0,5,0,0,0,1,1,1,3,4,0,1,1,0,3,0,0,0,0,1,0,0,1,0,0,1,5,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,1,2,0,0,0
持ち,2.86221659626259e-19,0,0,1,4,0,0,30,0,0,6,22,1,6,0,2,9,5,0,0,2,6,3,0,0,0,0,1,5,9,0,0,2,0,0,6,0,2,0,1,5,0,1,7,4,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
色乗り,2.76515819158139e-19,2,2,0,1,2,3,0,5,2,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
レスポンス,2.56318699495232e-19,6,2,4,0,0,0,6,6,0,1,8,0,0,2,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
操作性,2.46198235625645e-19,8,4,3,4,0,5,6,12,9,0,4,3,2,3,2,1,0,3,6,2,2,2,9,0,5,0,0,6,2,1,3,2,8,1,10,3,1,0,0,1,0,0,11,0,6,1,0,4,3,1,1,0,0,1,2,0,3,0,3,1,0,0,0,4,1,1,0,1,0,0,0,1,1,0,1,2,1,0,1,1
発色,2.43621877393343e-19,3,1,1,0,1,6,2,3,4,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,2,4,1,1,0,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,2,1,0,0
色のり,2.4192775992785e-19,1,1,2,1,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
携帯性,2.41268177671209e-19,2,11,0,5,0,6,3,12,2,2,6,1,3,0,1,1,2,1,3,4,5,3,0,0,0,0,1,3,1,0,3,1,1,1,12,1,0,1,0,0,0,1,11,2,2,1,1,10,5,0,0,0,1,1,0,0,2,0,1,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1
