"",weight,色乗り,評判,色のり,発色,気持ち,持ち,レスポンス,バランス,重量バランス,写り,描写,相性,操作性,視認性,感度,使い勝手,携帯性,ホールド性,音,出来,色,ホールド感,反応,質,ヌケ,位置,取り回し,見た目,配置,ボケ味,もち,シャッター音,操作感,天気,描写力,デザイン,切れ,精度,条件,カメラ,レンズ,電池持ち,画像,解像度,感触,画質,感じ,ボケ,性能,補正
weight,"",8.14466650808143e-18,7.94840745905824e-18,7.7807498676631e-18,7.63217749412027e-18,7.5409182110944e-18,7.38298361527336e-18,7.27591793485246e-18,6.86413082228292e-18,6.60745702563342e-18,6.34017151798213e-18,6.27447879827792e-18,6.20001321419134e-18,6.15950744165083e-18,6.06988875553655e-18,5.98143009414345e-18,5.95805164046059e-18,5.95344592678567e-18,5.93990530384484e-18,5.87724696937861e-18,5.85915140299226e-18,5.85318306571893e-18,5.77053407575702e-18,5.62774529036606e-18,5.51564462640902e-18,5.51115971085954e-18,5.38481752221545e-18,5.32127266149861e-18,5.30655640707429e-18,5.09724767633536e-18,5.06611108133715e-18,4.95022375543702e-18,4.88696105828747e-18,4.78399233079538e-18,4.73826222508479e-18,4.73154820931382e-18,4.64364788022985e-18,4.49932401900956e-18,4.34479711659552e-18,4.3416679813662e-18,4.22052412994284e-18,4.15061732016652e-18,4.13552179177759e-18,4.12043748548915e-18,3.97713845993539e-18,3.9544688299876e-18,3.92116975467001e-18,3.91960118528423e-18,3.8730185326205e-18,3.78647613022152e-18,3.74616194344909e-18
の良い,6.77361019831721e-19,2,14,1,1,13,0,2,20,0,7,2,1,4,2,1,12,11,0,0,5,0,3,2,4,5,0,0,0,0,0,0,0,0,15,0,1,4,2,2,3,5,0,0,0,0,2,0,0,5,0
が良く,6.51219830350404e-19,2,0,1,3,0,0,6,10,3,4,1,1,8,0,2,10,2,4,0,0,0,5,1,1,2,0,0,1,1,0,0,0,0,0,0,3,3,2,0,0,1,0,0,0,1,6,0,0,0,0
がよく,6.20747174954719e-19,0,1,2,1,1,1,4,5,2,0,0,0,3,1,0,5,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
のよい,6.15400351275027e-19,2,3,1,1,3,0,0,6,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
もよく,5.14665520955356e-19,3,0,6,6,0,6,0,5,0,1,0,0,5,0,0,4,6,0,0,0,0,5,1,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,1,11,0,0,0,0
が良いです,4.8733393219681e-19,1,0,1,0,2,7,0,7,0,1,0,2,4,0,0,15,5,2,0,1,0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,2,6,1,1,0,0
も良く,4.77471161487932e-19,5,0,0,3,0,7,6,6,0,6,6,3,12,2,0,4,12,0,1,0,1,6,0,1,1,0,2,0,0,1,0,1,0,0,1,7,1,1,0,0,1,0,0,1,0,14,0,4,3,0
が悪く,4.67898085402918e-19,0,0,0,0,0,6,1,2,0,0,0,0,0,2,1,1,2,1,1,0,1,3,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
も良いです,4.63955412332714e-19,2,0,0,4,0,5,0,4,0,0,3,3,9,0,0,1,2,0,0,0,0,4,1,0,0,0,1,0,1,2,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,5,1,1,0,1
が悪い,4.41766303163587e-19,0,0,0,2,0,36,6,6,1,2,0,0,6,1,2,7,3,2,1,0,2,5,2,2,0,5,0,0,0,0,7,0,0,0,0,0,0,2,2,0,1,0,1,1,0,12,0,0,0,0
も良好です,4.38568266036073e-19,1,0,1,0,0,1,2,0,1,0,1,0,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
がいいです,4.38329483933846e-19,2,0,1,0,9,6,0,3,1,1,1,0,3,1,0,12,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0
の悪い,4.21791271684332e-19,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0
が悪いと,3.93727016934481e-19,1,0,0,0,0,6,0,4,0,1,0,0,0,1,1,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,4,0,0,0,0
が良いので,3.87709303333421e-19,0,6,0,1,0,2,1,2,0,1,2,1,2,0,1,3,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,5,0,0,1,0
が良い,3.82304652705813e-19,1,1,0,0,7,24,8,14,0,4,0,2,4,2,0,17,6,1,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,2,0,7,1,2,1,0,1,0,1,1,2,24,4,1,2,0
がよい,3.77238964999691e-19,0,0,0,0,2,6,0,3,0,0,0,1,2,0,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,4,1
は良好です,3.72510459412415e-19,1,0,0,1,0,0,0,3,1,1,0,0,6,0,0,5,3,3,0,0,1,9,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
がいい,3.45603378660108e-19,0,3,0,3,9,10,1,4,0,5,1,0,1,0,0,1,1,1,0,0,2,1,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,9,1,2,2,1
もいいです,3.43903195039741e-19,0,0,0,1,0,6,1,0,1,0,1,2,3,0,0,1,1,0,0,0,0,3,0,0,0,1,0,2,0,3,1,0,1,0,0,3,0,1,0,0,0,0,1,0,3,9,2,0,0,0
がいいので,3.35757714680274e-19,0,2,0,0,1,6,1,0,0,2,1,0,2,0,0,1,5,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
の高い,3.35204450778599e-19,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
は良い,3.28640826891929e-19,0,0,1,0,0,4,1,2,0,3,1,0,2,0,0,1,3,1,0,0,2,7,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,1,0,1,0,7,0,0,1,0
が良いのか,3.19730304697946e-19,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
もいい,3.12299950704032e-19,0,2,0,1,0,0,0,2,0,3,1,0,5,0,1,1,0,0,0,0,2,3,0,0,0,0,0,1,1,2,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,4,0,2,0,0
は良く,3.08987678906037e-19,0,1,0,0,0,2,1,3,0,2,3,2,2,2,0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,7,1,0,0,2
が良くて,2.96474612075286e-19,1,0,0,0,0,2,1,1,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,2,0
もよい,2.951218626141e-19,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
が悪いです,2.93028799014098e-19,0,0,0,0,0,10,0,2,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0
も良いので,2.89537210758211e-19,0,0,0,0,0,4,0,3,0,0,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
もいいですね,2.8629673761603e-19,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
が良くない,2.81660307806595e-19,0,0,0,1,1,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
は感じです,2.69460868921993e-19,0,0,2,1,0,2,0,0,0,1,0,0,3,1,0,0,2,0,0,0,1,3,0,0,0,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,1,0,0,2,0,1,1,1
がよいです,2.68886865858985e-19,0,1,0,0,2,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
は良いです,2.6836765015018e-19,1,0,1,2,0,10,1,5,0,4,5,0,6,0,0,10,3,2,0,1,0,14,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,2,10,0,2,1,6,13,3,1,0,0
がいいと,2.68198114596378e-19,0,0,0,0,0,2,0,4,0,1,0,2,0,0,0,3,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
が感じます,2.66933710172209e-19,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
が高い,2.64979872778908e-19,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,6,0,0,0,0,2,0
はいいと,2.64097828970461e-19,0,0,0,0,0,0,0,4,0,2,0,2,9,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,6,0,1,0,1,3,0,0,0,0,11,1,0,3,0
を考えると,2.62978858673361e-19,0,0,0,0,0,0,0,8,1,0,1,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,12,1
も悪くなく,2.62568352850276e-19,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
にある,2.61851711603552e-19,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,1,0,3,0,0,1,0,0,6,0,0,0,0,3,1,0,1,0
もある,2.61120119779998e-19,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
があります,2.60063494727804e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,5,1,2,0
のある,2.59339564791121e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,7,0,0,0,0,0,0,2,1,0,0,0,0,7
もいいし,2.58878394179044e-19,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
が良いと,2.5601012959857e-19,0,0,0,0,0,2,0,9,2,2,4,2,2,0,1,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,1,13,0,0,1,1
も気に入っています,2.53716157200265e-19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,0,0,3,1,1,0,0
も良いですね,2.53219113320161e-19,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
があり,2.50078964703761e-19,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,0,0,1,0,1,1,2,0,1
が悪いので,2.45673251047498e-19,0,0,0,0,0,5,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
といい,2.41125604967912e-19,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,2,0
は良いと,2.35946819287909e-19,0,0,1,0,0,8,1,8,0,5,0,1,10,0,0,5,12,0,0,0,1,4,2,0,0,0,0,0,0,0,1,0,1,0,1,11,0,2,0,1,2,0,0,0,1,19,1,0,3,1
も良くて,2.32400273170766e-19,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
は悪いです,2.29367210267956e-19,0,0,0,1,0,6,0,1,0,0,0,0,3,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
はいいです,2.28890678434288e-19,1,0,0,1,0,1,0,0,0,7,0,1,4,0,0,3,10,0,0,1,0,2,0,0,0,0,0,1,0,3,0,0,0,0,1,3,0,0,0,3,4,0,0,0,0,11,0,0,0,1
も良い,2.28740199025352e-19,0,1,0,0,0,4,1,1,0,2,1,0,8,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,1,1,1,2,10,0,1,0,0
もあります,2.26729099458131e-19,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0
も良いと,2.23387174907789e-19,0,0,1,0,0,1,0,11,0,2,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,1,0,1,6,0,0,0,1
はいいですね,2.17772312280638e-19,0,0,0,0,0,2,0,2,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,1,1,0,0,0,0,2,1,0,0,2
にありません,2.17388645994915e-19,0,0,0,0,0,1,0,0,1,2,0,0,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,1,0
