"",weight,が良く,の良い,がよく,も良く,が悪い,もよく,が良いです,も良いです,のよい,が良い,が悪く,の高い,がいいです,がよい,が高い,が良いので,がいい,は良いです,もいいです,も良好です,は良好です,が悪いと,は良く,が高く,も高く,が良いと,がいいので,も良い,は良いと,は良い,が高いです,が高いので,もいい,のある,も良いので,が良くて,が悪いです,はいいと,も良いと,はいいですね,はありません,はいいです,の悪い,が感じます,は高い,は感じです,がいいと,といい,が良くない,があり,は良いのですが,も悪くなく,も満足しています,が悪いので,があります,は悪いです,は最高です,にありません,が違います,もありません,は高く,も高い,が高いと,も気に入っています,もいいですね,を考えると,が低い,がよいです,にある,が良いのか,は高いと,もあり,がいいですね,もある,も良好,は落ちますが,がイマイチ,もいいし,はいい,も良いですね,がよいと,は抜群です,はあり,も良いし,はよいです,もよい,にあり,も含めて,はよいと,は思います,はよく,もなく,がある,を考えて,もいいと,が違う,は満足しています,もあります,がなります,もあって
weight,"",2.26887950025454e-16,2.1513202501833e-16,1.91130280204005e-16,1.90745342098204e-16,1.83177906381875e-16,1.82626352730943e-16,1.80889872762009e-16,1.73496478992458e-16,1.69195916260608e-16,1.68498430317306e-16,1.53384143425165e-16,1.5087299581573e-16,1.50403430244883e-16,1.4879619057945e-16,1.45879007172743e-16,1.426653679848e-16,1.40889880587365e-16,1.37122102244429e-16,1.36720286797018e-16,1.35677743386031e-16,1.2960939956071e-16,1.2937762557663e-16,1.28117953269548e-16,1.25572575370774e-16,1.25487751488341e-16,1.2133021415658e-16,1.20000572336735e-16,1.19535606313886e-16,1.19237109048944e-16,1.18779857811771e-16,1.1858168656599e-16,1.17605672721915e-16,1.15938935027528e-16,1.15567855466346e-16,1.11882342344827e-16,1.11434884060534e-16,1.0931562844735e-16,1.08397377194107e-16,1.07809406823e-16,1.06211333385848e-16,1.02235771379448e-16,1.01930580918857e-16,1.01201145636804e-16,1.01110545232174e-16,9.69961936075018e-17,9.51630248842225e-17,9.49760318993264e-17,9.49239488322255e-17,9.40766713641164e-17,9.3648149654586e-17,9.31644617240666e-17,9.30381972396346e-17,9.28743769624559e-17,9.17616115618607e-17,9.16018248265859e-17,9.08780981703979e-17,9.05633717905162e-17,8.97451746907947e-17,8.91929258371767e-17,8.91563210864856e-17,8.91022915792964e-17,8.8959510192574e-17,8.74200683229296e-17,8.73418099706494e-17,8.61569291643332e-17,8.44077191550545e-17,8.3018045891691e-17,8.24525101446777e-17,8.23193433737706e-17,8.21316702212132e-17,8.21194865063368e-17,8.18398958209237e-17,8.14201765821377e-17,8.00908146428261e-17,7.95130859489956e-17,7.92795672455281e-17,7.85821406789421e-17,7.82006921147404e-17,7.80875078726704e-17,7.76471128638682e-17,7.75738161450541e-17,7.73835801568218e-17,7.73523715194147e-17,7.6588604014804e-17,7.63808290625401e-17,7.61812240513076e-17,7.5789607664979e-17,7.54651537027125e-17,7.53865567613167e-17,7.53098102973854e-17,7.50692476652153e-17,7.38591644864437e-17,7.37859089422346e-17,7.3696654989604e-17,7.26900407111899e-17,7.21425126957744e-17,7.21356178210237e-17,7.19953471048921e-17,7.14347843396317e-17,7.07003406382741e-17
バランス,1.14108616652765e-17,10,20,5,6,6,5,7,4,6,14,2,2,3,3,2,2,4,5,0,0,3,4,3,0,0,9,0,1,8,2,1,0,2,0,3,1,2,4,11,2,0,0,0,3,0,0,4,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0
使い勝手,9.69524303803255e-18,10,12,5,4,7,4,15,1,5,17,1,0,12,6,0,3,1,10,1,1,5,1,1,0,0,6,1,1,5,1,0,0,1,0,0,1,2,3,1,0,4,3,0,1,0,0,3,0,1,0,0,1,0,0,1,0,2,1,0,1,0,0,0,1,1,4,0,5,0,0,0,0,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0
持ち,9.5705377894678e-18,0,0,1,0,30,0,4,0,0,22,6,0,1,6,0,2,9,5,0,0,0,5,2,0,0,2,6,0,6,3,0,0,0,0,0,1,9,0,0,2,7,1,0,1,0,2,1,0,5,0,1,0,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
色乗り,8.75453947059408e-18,2,2,0,5,0,3,1,2,2,1,0,0,2,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ホールド感,8.63385519055264e-18,5,3,1,6,5,5,2,4,0,3,3,0,1,0,1,3,1,14,3,2,9,0,1,1,0,1,1,1,4,7,0,0,3,0,4,1,0,0,0,0,9,2,0,1,0,3,1,2,2,2,3,1,2,0,1,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,0,3,4,2,0,2,0,0,0,1,4,0,0,0,0,2,0,0,0,0,3
レスポンス,8.55349338369634e-18,6,2,4,6,6,0,0,0,0,8,1,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
発色,8.29863379206826e-18,3,1,1,3,2,6,0,4,1,0,0,0,0,0,0,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,1,1,0,1,4,0,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,1,0,0,1,0,1
操作性,8.25877271795292e-18,8,4,3,12,6,5,4,9,0,4,0,0,3,2,3,2,1,6,3,3,6,0,2,1,0,2,2,8,10,2,0,0,5,0,1,0,2,9,6,1,11,4,1,0,0,3,0,1,1,1,4,1,2,0,0,3,1,3,0,1,0,0,0,0,0,3,0,1,1,0,0,0,1,0,2,0,1,0,2,0,1,6,1,1,4,0,2,1,0,11,1,2,0,2,1,0,1,0,0,0
写り,8.00216188536118e-18,4,7,0,4,2,1,1,0,1,4,0,0,1,0,0,1,5,4,0,0,1,1,2,0,1,2,2,2,5,3,0,0,3,0,0,2,0,2,2,4,6,7,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4,2,4,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,1,4,0,2,4,0,0,0,0,1,1,3,1,0,0
相性,7.79322653599239e-18,1,1,0,3,0,0,2,3,0,2,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
デザイン,7.74969088854839e-18,3,1,1,7,0,1,2,2,0,7,0,0,0,1,0,2,1,2,3,0,1,0,0,0,0,1,0,2,11,2,0,0,2,1,0,0,0,6,4,0,0,3,0,0,0,5,1,1,0,0,2,1,1,0,0,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,2,1,0,0,2,3,11,1,0,0,0,5,0,2,0,0,1
色のり,7.71220669418196e-18,1,1,2,0,0,6,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
携帯性,7.68288046611776e-18,2,11,0,12,3,6,5,2,0,6,2,0,1,3,1,1,1,3,1,0,3,2,4,0,1,1,5,1,12,3,0,1,0,0,1,1,1,0,2,0,11,10,0,0,0,2,1,1,0,0,5,1,0,2,0,5,1,1,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,1,17,0,1,3,0,1,0,2,12,0,1,0,2,1,0,2,0,0,0
評判,7.58985081988063e-18,0,14,1,0,0,0,0,0,3,1,0,3,0,0,0,6,3,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精度,7.38149235082242e-18,2,2,0,1,2,0,0,1,0,2,0,1,0,1,4,1,0,1,1,0,0,0,0,0,3,0,0,0,2,0,1,3,0,0,2,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
気持ち,7.30523328364659e-18,0,13,1,0,0,0,2,0,3,7,0,0,9,2,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写,7.17753819451857e-18,1,2,0,6,0,0,0,3,0,0,0,0,1,0,0,2,1,5,1,1,0,0,3,0,0,4,1,1,0,1,0,0,1,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,4,0,0,1,0,2,0,5,1,1,0,0,2,0,2,0,1,0
もち,7.16087225682257e-18,0,0,0,0,7,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,2,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
視認性,6.96290227849799e-18,0,2,1,2,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
感度,6.77648910131185e-18,2,1,0,0,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
色,6.71638956501346e-18,0,0,0,1,2,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
解像度,6.69835748985299e-18,0,0,0,1,1,1,0,0,0,1,0,5,0,0,6,0,0,1,0,0,0,2,1,8,7,0,0,1,0,1,2,2,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0
