"",weight,バランス,色乗り,色のり,評判,レスポンス,持ち,発色,使い勝手,携帯性,気持ち,写り,操作性,重量バランス,ホールド感,相性,描写,ホールド性,色,デザイン,反応,視認性,感度,出来,質,音,ヌケ,見た目,取り回し,ボケ味,もち,配置,位置,画質,シャッター音,操作感,天気,描写力,精度,条件,感触,切れ,画像,カメラ,電池持ち,性能,感じ,色合い,補正,ボケ,レンズ
weight,"",4.42268776992003e-20,4.37034879791504e-20,4.27304598821237e-20,4.22666959627982e-20,4.08018851540397e-20,4.05728477579444e-20,3.96107119143107e-20,3.89213877731065e-20,3.8822905118055e-20,3.85263900089369e-20,3.62546132808947e-20,3.60775499065581e-20,3.50154643435138e-20,3.35598813445109e-20,3.3272562192959e-20,3.199391926764e-20,3.18365031410273e-20,3.17643517939227e-20,3.13295945124029e-20,3.09013989127033e-20,3.08647133461454e-20,3.04228913864869e-20,2.99344642804619e-20,2.97486159771943e-20,2.94309495705364e-20,2.91175769114853e-20,2.7844447922151e-20,2.73723203608379e-20,2.68389801055759e-20,2.64828702403265e-20,2.64560123859784e-20,2.63363919801538e-20,2.58755268882144e-20,2.56332006306026e-20,2.53356355631157e-20,2.50284553443314e-20,2.4749789037088e-20,2.41825535544444e-20,2.29261676819803e-20,2.28527180115313e-20,2.23852055631363e-20,2.18831895230553e-20,2.16333765831016e-20,2.15503760451446e-20,2.07407277049986e-20,1.98909063938825e-20,1.95691408698144e-20,1.9517740169565e-20,1.95159474947856e-20,1.94195066921924e-20
の良い,3.6116937590877e-21,20,2,1,14,2,0,1,12,11,13,7,4,0,3,1,2,0,0,1,2,2,1,5,4,0,5,0,0,0,0,0,0,2,0,0,15,0,2,2,0,4,0,3,0,5,0,1,0,0,5
が良く,3.61021717875705e-21,10,2,1,0,6,0,3,10,2,0,4,8,3,5,1,1,4,0,3,1,0,2,0,1,0,2,1,0,0,0,1,0,6,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,1
がよく,3.41159055518609e-21,5,0,2,1,4,1,1,5,0,1,0,3,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
のよい,3.36862441604607e-21,6,2,1,3,0,0,1,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
もよく,2.88861003793757e-21,5,3,6,0,0,6,6,4,6,0,1,5,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,11,0,2,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0
が良いです,2.7383545430224e-21,7,1,1,0,0,7,0,15,5,2,1,4,0,2,2,0,2,0,2,0,0,0,1,1,0,0,0,1,1,1,0,0,6,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0
も良く,2.67686861034416e-21,6,5,0,0,6,7,3,4,12,0,6,12,0,6,3,6,0,1,7,0,2,0,0,1,1,1,0,2,1,0,0,0,14,1,0,0,1,1,0,0,1,0,0,0,3,0,1,0,4,1
が悪く,2.54373280639307e-21,2,0,0,0,1,6,0,1,2,0,0,0,0,3,0,0,1,1,0,1,2,1,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
も良いです,2.51295168228104e-21,4,2,0,0,0,5,4,1,2,0,0,9,0,4,3,3,0,0,2,1,0,0,0,0,0,0,0,1,2,1,1,0,5,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0
