"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,がいいです,が良い,も良好です,がよい,が良いので,が悪いと,がいい,は良好です,もいいです,は良く,の悪い,は良い,がいいので,もいい,が悪いです,が良くて,はいいと,も良い,が良いと,も良いので,のある,は良いです,の高い,はいいですね,が良くない,を考えると,がいいと,が感じます,が良いのか,も悪くなく,が高い,が悪いので,があります,はいいです,もいいですね,は良いと,もよい,は感じです,も良いと,といい,がよいです,も満足しています,も気に入っています,が違います,もいいし,もある,は悪いです,も良いですね,も高く,があり,にありません,はありません,にある,も良好,がイマイチ,は良いのですが,がいいですね,もあります,が高いので,も良くて
weight,"",4.11133971471126e-20,4.03933672340965e-20,3.85764402921525e-20,3.56657545491008e-20,3.32375296398858e-20,3.30294036615246e-20,3.23563641041209e-20,3.17217389452447e-20,3.12033208480762e-20,3.00906312370248e-20,2.78058343057959e-20,2.66227361060006e-20,2.62027695620678e-20,2.55415109673916e-20,2.53953964395721e-20,2.47537387158983e-20,2.43243453386605e-20,2.4170287679621e-20,2.30519523458237e-20,2.20243195754275e-20,2.18877924004305e-20,2.13667006578474e-20,2.10870110577692e-20,2.05441287182501e-20,1.9669637417381e-20,1.95046790607084e-20,1.94939491645927e-20,1.94063735243917e-20,1.93446535145077e-20,1.90485402872733e-20,1.87753009086765e-20,1.84082594167041e-20,1.80543088432034e-20,1.80248671449396e-20,1.7986342769391e-20,1.79520723049148e-20,1.79037214867114e-20,1.7880299875207e-20,1.76599506661604e-20,1.74974337228133e-20,1.73159208490724e-20,1.70986695045879e-20,1.70912651460542e-20,1.69686101820235e-20,1.66948265704407e-20,1.66825489665217e-20,1.65417222546683e-20,1.65136692943745e-20,1.65064332186527e-20,1.62048289683035e-20,1.61999961658541e-20,1.6145275558303e-20,1.59606695261407e-20,1.58111467315055e-20,1.56914550306848e-20,1.56323844918933e-20,1.55653085952824e-20,1.54715466684814e-20,1.52691445569392e-20,1.49625922271797e-20,1.49563548435434e-20,1.48650853875783e-20,1.46217649688132e-20,1.46005438532185e-20,1.44994518345126e-20,1.43713895540426e-20,1.41757541133195e-20,1.41622908529568e-20,1.41469472579375e-20,1.35867654603131e-20
バランス,2.45752001332995e-21,10,20,5,6,7,5,6,4,6,2,3,14,0,3,2,4,4,3,0,3,0,2,0,2,2,1,4,1,9,3,0,5,2,2,1,8,4,3,1,1,2,1,0,0,0,8,0,0,11,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
色乗り,2.26767048532307e-21,2,2,0,2,1,3,0,2,5,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
持ち,2.15799406985408e-21,0,0,1,0,4,0,30,0,0,6,1,22,0,6,2,5,9,0,0,2,0,3,6,0,9,1,0,0,2,0,0,5,0,2,5,0,1,1,0,0,0,4,0,1,0,6,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,7,0,0,0,1,0,1,0,0
使い勝手,2.08979517334801e-21,10,12,5,5,15,4,7,1,4,1,12,17,1,6,3,1,1,5,1,1,0,1,1,1,2,1,3,1,6,0,0,10,0,0,1,4,3,1,0,1,0,0,1,3,1,5,0,0,1,0,5,0,1,0,1,0,0,1,0,0,1,4,0,1,0,0,4,0,0,0
レスポンス,2.07148569650462e-21,6,2,4,0,0,0,6,0,6,1,0,8,2,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
発色,2.05543336406668e-21,3,1,1,1,0,6,2,4,3,0,0,0,0,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,0,4,1,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
色のり,2.02351665306365e-21,1,1,2,1,1,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
評判,1.97517299359902e-21,0,14,1,3,0,0,0,0,0,0,0,1,0,0,6,0,3,0,0,1,3,0,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,1.87493099596941e-21,0,13,1,3,2,0,0,0,0,0,9,7,0,2,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
操作性,1.7881099539969e-21,8,4,3,0,4,5,6,9,12,0,3,4,3,2,2,0,1,6,3,2,1,2,2,5,2,0,9,8,2,1,0,6,0,1,1,3,0,0,0,1,3,0,0,4,0,10,0,3,6,1,1,2,0,0,0,0,3,0,0,1,3,11,1,2,1,4,1,0,0,0
相性,1.7801840065629e-21,1,1,0,0,2,0,0,3,3,0,0,2,0,1,1,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
