"",weight,の良い,が良く,がよく,のよい,もよく,が良いです,も良く,が悪く,も良いです,が悪い,がいいです,も良好です,の悪い,が良い,が悪いと,がよい,が良いので,は良好です,の高い,がいい,もいいです,がいいので,は良い,は良く,が良いのか,もいい,が悪いです,が良くて,も良いので,もよい,が良くない,もいいですね,は良いです,が悪いので,が高い,がいいと,は感じです,はいいと,がよいです,を考えると,が感じます,も悪くなく,もいいし,が良いと,も良いですね,は良いと,もある,があります,のある,も気に入っています
weight,"",4.57682145168227e-12,4.49387821892256e-12,4.26078524193634e-12,4.19674369512397e-12,3.58877804377539e-12,3.47596733329401e-12,3.39252283475025e-12,3.27782537643512e-12,3.24304680799395e-12,3.17121468739199e-12,3.0425188011077e-12,2.98843256213257e-12,2.8166227841608e-12,2.8034734231172e-12,2.78413466306482e-12,2.66757956685897e-12,2.63549790776968e-12,2.60820766828556e-12,2.42977301644602e-12,2.41201228543755e-12,2.40531315082486e-12,2.3312687207202e-12,2.29534199000695e-12,2.21494169408767e-12,2.16304269354417e-12,2.14045969572775e-12,2.13108731620767e-12,2.07658684374898e-12,2.06624286072186e-12,2.02046847009541e-12,1.99168995802097e-12,1.9782504669182e-12,1.95855988833565e-12,1.95113144861304e-12,1.93622863379891e-12,1.90708533668386e-12,1.89960472692366e-12,1.89526773704375e-12,1.8863922899483e-12,1.88062848573679e-12,1.87645660273932e-12,1.82991151646236e-12,1.81087610681469e-12,1.80021497088364e-12,1.76085997447902e-12,1.75380133089154e-12,1.74504932576777e-12,1.74279382229473e-12,1.71828745790134e-12,1.68308378610479e-12
色乗り,2.95767784532645e-13,2,2,0,2,3,1,5,0,2,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
評判,2.82578780659889e-13,14,0,1,3,0,0,0,0,0,0,0,0,3,1,0,0,6,0,3,3,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
色のり,2.80721982684569e-13,1,1,2,1,6,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0
発色,2.77707698491399e-13,1,3,1,1,6,0,3,0,4,2,0,0,0,0,0,0,1,1,0,3,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1
気持ち,2.72942130813188e-13,13,0,1,3,0,2,0,0,0,0,9,0,0,7,0,2,0,0,0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
持ち,2.72787835364723e-13,0,0,1,0,0,4,0,6,0,30,1,0,0,22,5,6,2,0,0,9,0,6,3,2,0,0,9,1,0,0,5,0,5,4,0,1,2,0,1,0,1,0,0,2,0,6,0,0,0,0
レスポンス,2.65401152616638e-13,2,6,4,0,0,0,6,1,0,6,0,2,0,8,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
バランス,2.47368833778575e-13,20,10,5,6,5,7,6,2,4,6,3,0,0,14,4,3,2,3,2,4,0,0,2,3,1,2,2,1,3,0,1,0,5,1,2,4,0,4,0,8,3,1,0,9,1,8,1,0,0,0
重量バランス,2.40023693953873e-13,0,3,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0
写り,2.28366123074843e-13,7,4,0,1,1,1,4,0,0,2,1,0,0,4,1,0,1,1,0,5,0,2,3,2,0,3,0,2,0,1,0,0,4,0,0,1,1,2,0,0,0,1,0,2,0,5,0,0,0,0
描写,2.28046453545408e-13,2,1,0,0,0,0,6,0,3,0,1,1,0,0,0,0,2,0,0,1,1,1,1,3,0,1,0,2,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,4,0,0,3,0,0,0
相性,2.27254444367504e-13,1,1,0,0,0,2,3,0,3,0,0,0,0,2,0,1,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,1
操作性,2.25366698037024e-13,4,8,3,0,5,4,12,0,9,6,3,3,1,4,0,2,2,6,0,1,3,2,2,2,0,5,2,0,1,0,1,0,6,0,3,0,3,9,1,3,0,1,0,2,0,10,0,0,0,0
視認性,2.23622435959453e-13,2,0,1,0,0,0,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
使い勝手,2.17935743453667e-13,12,10,5,5,4,15,4,1,1,7,12,1,0,17,1,6,3,5,0,1,1,1,1,1,0,1,2,1,0,0,1,1,10,0,0,3,0,3,5,4,1,1,1,6,1,5,0,1,0,1
感度,2.17840839029874e-13,1,2,0,0,0,0,0,1,0,2,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ホールド性,2.17518297447479e-13,0,4,1,0,0,2,0,1,0,2,0,0,0,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
携帯性,2.15465880085589e-13,11,2,0,0,6,5,12,2,2,3,1,0,0,6,2,3,1,3,0,1,1,5,3,4,0,0,1,1,1,0,0,1,3,2,1,1,2,0,0,3,0,1,4,1,0,12,0,0,0,0
音,2.13412906506853e-13,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ホールド感,2.09593180308424e-13,3,5,1,0,5,2,6,3,4,5,1,2,0,3,0,0,3,9,0,1,3,1,7,1,0,3,0,1,4,0,2,0,14,0,1,1,3,0,1,0,1,1,0,1,0,4,1,1,0,0
出来,2.09426874925236e-13,5,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
色,2.0936895083795e-13,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,1,1,0,2,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,3
反応,2.05265094664764e-13,2,1,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
質,2.00819176952841e-13,4,1,0,1,0,1,1,1,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ヌケ,1.98525934453414e-13,5,2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
位置,1.9736833993615e-13,0,0,0,0,1,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
見た目,1.9370625344225e-13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
取り回し,1.92365656229288e-13,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ボケ味,1.85518275011915e-13,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
もち,1.83861654647993e-13,0,0,0,0,0,1,0,0,1,7,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,2,1,0,0,1,0,1,1,0,0,1,2,0,1,1,0,0,1,0,1,0,0,0,0
配置,1.83557159167211e-13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
シャッター音,1.75342786484992e-13,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
操作感,1.74559702054447e-13,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,2,0,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
天気,1.69477499381071e-13,15,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,1.68302534482761e-13,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1
デザイン,1.67683737054843e-13,1,3,1,0,1,2,7,0,2,0,0,0,0,7,0,1,2,1,0,1,3,0,2,0,0,2,0,0,0,0,0,0,2,0,0,1,5,6,0,0,0,1,3,1,0,11,0,0,1,3
