"",weight,の高い,が良く,が高い,の良い,も良く,がよく,も良いです,もよく,が良いです,が悪い,が高いです,が高く,が高いので,が良い,のよい,も高く,がよい,がいいです,がいい,が高いと,も良好です,のある,もいいです,が良いので,が悪く,は良いです,も良い,は高い,は高いと,が悪いと,は良く,があります,は良好です,があり,がいいので,はいいですね,は良い,も高い,が良いと,もいい,は高く,を考えると,も良いので,もあり,が悪いです,はいいと,も良いと,は良いと,はありません,が低い,は最高です,が良くて,といい,がある,は感じです,はいいです,が感じます,は高いです,の悪い,もありません,は悪いです,が悪いので,も気に入っています,も満足しています,は良いのですが,も悪くなく,がいいと,があると,はあります,がなる,が良くない,もあります,を考えれば,が違います,にありません,は最高ですね,もある,にある,はあり,も含めて,が違う,もあって,はあると,も良いし,もいいですね,を上げる,に優れた,は落ちますが,も最高です,がいいですね,がよいです,も高いです,が良いのか,もなく,にあり,に満足しています,は思います,も良いですね,になる,で満足しています
weight,"",0.00430040028905804,0.00420670420694595,0.00411654056841706,0.00392244307239064,0.00366106892859265,0.00365657712189082,0.00361457407094138,0.00359523380909916,0.00347045449773391,0.00343843464429375,0.00338277480462846,0.00330977682192117,0.00327379127423036,0.00324068200696465,0.00318657166018259,0.00310872069074074,0.00302636342145479,0.00302032555939862,0.00289493244949464,0.00286690039107967,0.00286530471112812,0.00283881413550725,0.00282365369607875,0.00279612378688527,0.00267841334268387,0.00265941097953083,0.00265558135396553,0.00264195903270473,0.00257577486852507,0.00251796588422388,0.00249643442019292,0.00249638607051003,0.00235831109491818,0.00233226713594597,0.00230987916211496,0.00228984534540384,0.00228149842031071,0.00224175173590232,0.00224044739451322,0.00222199706576263,0.00220881096637463,0.0021956865503418,0.0021493683040429,0.002096169363121,0.00208728838865525,0.00206551470475424,0.0020581687052903,0.00205515840332593,0.00203139341911548,0.00201451430320968,0.00201156485492593,0.00201016254008658,0.00197398875927091,0.00197234324816572,0.00197207142472347,0.0019504474312825,0.001915761296514,0.00190927231829441,0.00189868234287023,0.00189104775235803,0.00184367342697025,0.00182807815738356,0.00180213146956091,0.00179582211304117,0.00176548667462247,0.00176136710675712,0.00175307925521368,0.00174657962635169,0.00173629674645127,0.00173565507380776,0.00173231925235848,0.00171214607982599,0.00169297281444109,0.00168599160872854,0.00168342082418171,0.00167148733107904,0.00165700941948011,0.00164745545679953,0.00164439793738753,0.00162346516333482,0.00161428476847302,0.00159787902409476,0.00159665320213662,0.00159075679193944,0.00157896028753016,0.00157449070626469,0.00156900640519804,0.00156312348927733,0.00156010020868109,0.00154953011683962,0.00154696476304176,0.00154570101603165,0.00153862458572379,0.00153232286992562,0.00152553067794382,0.00152217684227108,0.00150168029349273,0.00149533120124027,0.00149248483350074,0.00148508813275742
バランス,0.000205388002934743,2,10,2,20,6,5,4,5,7,6,1,0,0,14,6,0,3,3,4,0,0,0,0,2,2,5,1,0,0,4,3,0,3,0,0,2,2,0,9,2,0,8,3,0,2,4,11,8,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,1,0,1,4,0,0,2,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
使い勝手,0.000179313130553443,0,10,0,12,4,5,1,4,15,7,0,0,0,17,5,0,6,12,1,0,1,0,1,3,1,10,1,0,0,1,1,1,5,0,1,0,1,0,6,1,0,4,0,0,2,3,1,5,4,0,2,1,0,0,0,3,1,0,0,1,0,0,1,0,0,1,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4,5,0,0,1,0,1,1,1,0,0
持ち,0.000170526499644736,0,0,0,0,0,1,0,0,4,30,0,0,0,22,0,0,6,1,9,0,0,0,0,2,6,5,0,0,0,5,2,0,0,0,6,2,3,0,2,0,0,0,0,0,9,0,0,6,7,0,1,1,0,1,2,1,1,0,0,0,5,4,0,0,1,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
精度,0.000152281196582892,1,2,4,2,1,0,1,0,0,2,1,0,3,2,0,3,1,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,3,0,2,0,0,1,2,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
色乗り,0.000151657167557555,0,2,0,2,5,0,2,3,1,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
解像度,0.000150644134668755,5,0,6,0,1,0,0,1,0,1,2,8,2,1,0,7,0,0,0,0,0,2,0,0,0,1,1,0,0,2,1,0,0,1,0,0,1,2,0,0,4,0,0,1,1,0,0,0,2,4,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
操作性,0.000149851620341884,0,8,3,4,12,3,9,5,4,6,0,1,0,4,0,0,2,3,1,0,3,0,3,2,0,6,8,0,0,0,2,0,6,1,2,1,2,0,2,5,0,3,1,0,2,9,6,10,11,0,1,0,1,0,3,4,0,1,1,1,3,0,0,2,4,1,0,0,1,0,1,0,1,0,3,0,0,1,1,1,0,0,0,1,0,0,2,0,0,1,1,0,0,2,2,1,11,0,0,1
発色,0.000146365446593004,0,3,0,1,3,1,4,6,0,2,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,1,1,0,0,1,1,0,1,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0
ホールド感,0.000146056806866753,0,5,1,3,6,1,4,5,2,5,0,1,0,3,0,0,0,1,1,0,2,0,3,3,3,14,1,0,0,0,1,1,9,2,1,0,7,0,1,3,0,0,4,1,0,0,0,4,9,0,0,1,2,0,3,2,1,1,0,5,1,0,0,2,3,1,1,1,3,0,2,0,1,0,2,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0
レスポンス,0.000145333438327604,0,6,0,2,6,4,0,0,0,6,0,0,0,8,0,0,0,0,1,0,2,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
携帯性,0.000145284403380648,0,2,1,11,12,0,2,6,5,3,0,0,1,6,0,1,3,1,1,1,0,0,1,1,2,3,1,0,0,2,4,0,3,0,5,0,3,0,1,0,0,3,1,0,1,0,2,12,11,0,1,1,1,0,2,10,0,0,0,1,5,2,0,0,5,1,1,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,5,3,1,0,0,0,0,1,1,0,12,0,0,0
コントラスト,0.000145031700151416,11,0,5,1,1,1,0,0,0,0,0,1,2,1,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0
写り,0.000140046417659884,0,4,0,7,4,0,0,1,1,2,0,0,0,4,1,1,0,1,5,0,0,0,0,1,0,4,2,0,0,1,2,0,1,0,2,4,3,0,2,3,0,0,0,0,0,2,2,5,6,0,4,2,0,0,1,7,0,0,0,8,0,0,0,1,1,1,1,0,1,0,0,1,2,4,2,0,0,2,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,4,2,4,0,3,0
デザイン,0.000139100208159332,0,3,0,1,7,1,2,1,2,0,0,0,0,7,0,0,1,0,1,0,0,1,3,2,0,2,2,0,0,0,0,0,1,0,0,0,2,0,1,2,1,0,0,0,0,6,4,11,0,0,2,0,1,0,5,3,0,0,0,1,0,0,3,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,5,2,0,1,5,2,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0
コストパフォーマンス,0.000137043303205147,36,1,14,5,1,0,0,1,0,0,4,4,2,5,0,4,3,0,1,6,0,0,0,0,0,4,0,2,24,0,0,0,0,0,1,3,0,3,2,1,0,10,0,0,0,1,2,8,0,0,9,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,2,0,0,1,0,3,0,33,0,0,0,0,1,0,0,0,0,2,0,0,1
質感,0.000136149224556388,5,5,9,1,5,1,2,2,2,1,2,6,0,4,0,4,1,1,4,2,2,2,5,0,0,4,6,2,2,0,0,3,1,4,0,1,0,0,1,0,0,0,0,3,0,2,3,4,2,1,4,1,4,1,4,5,1,2,0,0,0,0,2,1,1,1,0,2,6,0,0,2,0,1,0,0,0,1,1,3,1,0,0,0,0,0,0,1,1,2,0,2,0,1,0,1,2,0,0,0
評判,0.000135383983218147,3,0,0,14,0,1,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,0,6,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
色のり,0.00013225536503418,0,1,0,1,0,2,0,6,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
相性,0.000130764854007332,0,1,0,1,3,0,3,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
感度,0.000129087014963493,2,2,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0
視認性,0.000128060580241757,0,0,0,2,2,1,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
使用頻度,0.000127790447729049,10,0,11,0,0,0,0,0,0,0,4,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
気持ち,0.000127757373464793,0,0,0,13,0,1,0,0,2,0,0,0,0,7,3,0,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
満足度,0.000127512717341529,45,0,7,0,0,0,0,0,0,0,16,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
完成度,0.000124991137800812,37,0,11,0,0,0,0,0,0,0,1,4,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
描写力,0.000120062142908155,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,4,0,1,0,1,0,0,0,0,1,0,0,0,2,3,1,1,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0
質,0.000119942931740144,2,1,1,4,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
描写,0.000118484947866873,0,1,0,2,6,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,5,1,0,0,0,3,0,0,0,1,0,1,0,4,1,0,1,1,0,0,0,0,0,4,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,3,5,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,2,0
