"",weight,が良く,の良い,がよく,のよい,が良いです,もよく,が悪い,も良いです,も良く,が悪く,が良い,がいいです,がよい,も良好です,が良いので,がいい,が悪いと,は良好です,もいいです,は良く,がいいので,は良い,のある,はいいと,の悪い,もいい,は良いです,が良くて,が悪いです,を考えると,も良いので,が良いと,が高い,も良い,の高い,は良いと,も高く,はいいですね,がいいと,が感じます,が良くない,が高く,が高いので,が悪いので,も悪くなく,があります,はありません,も良いと,はいいです,が良いのか,は悪いです,は感じです,があり,もいいですね,も満足しています,といい,も気に入っています,がよいです,が違います,が高いです,にありません,もよい,もいいし,になります,がイマイチ,も良いですね,は良いのですが,もある,がいいですね,もありません,は高い,も良好,もあります,はよく,にある,もあり,は最高です,を考えれば,も良いし,は落ちますが
weight,"",1.67162812473383e-20,1.60521009672041e-20,1.53563125516799e-20,1.4111417344533e-20,1.39882585311817e-20,1.34846196419034e-20,1.3369760110557e-20,1.30947680653316e-20,1.28532978621463e-20,1.21904704996379e-20,1.1700744761935e-20,1.15288296262692e-20,1.10843534012687e-20,1.06335454730629e-20,1.03506911446378e-20,1.02139482782941e-20,1.01019341357048e-20,9.99677012051288e-21,9.97143677359099e-21,9.42681452126758e-21,8.97046510817636e-21,8.78654451468206e-21,8.60402051014917e-21,8.5713972250472e-21,8.37266815669063e-21,8.37075599112821e-21,8.34816861348763e-21,8.31933769058599e-21,8.30444273418946e-21,8.27265888141693e-21,8.24688795890173e-21,8.13280428917362e-21,8.12433811897567e-21,8.09897557112841e-21,7.98525752362886e-21,7.84710974587153e-21,7.75346479398564e-21,7.74532664553973e-21,7.42200498504701e-21,7.3978605261915e-21,7.34911578817184e-21,7.2968550937313e-21,7.26995390332532e-21,7.21782213471481e-21,7.13049686240983e-21,7.11161406135777e-21,7.08816037068402e-21,7.06578744679807e-21,7.06210585621522e-21,6.90778166795026e-21,6.8946252658665e-21,6.89213158414961e-21,6.89201743824803e-21,6.88757710906962e-21,6.87305254538929e-21,6.75548963828195e-21,6.71536385302842e-21,6.71007266734602e-21,6.60916200749461e-21,6.60855516422086e-21,6.56056741849258e-21,6.4759909381674e-21,6.37964146758921e-21,6.32394877174946e-21,6.32331757134336e-21,6.29986079559938e-21,6.22042751222844e-21,6.15995625005904e-21,6.13165301726997e-21,6.06901823326334e-21,6.04761883169296e-21,5.99894366231929e-21,5.97703020361144e-21,5.9762100535269e-21,5.96486835261238e-21,5.90772672812921e-21,5.90319450146873e-21,5.86424146979217e-21,5.85175959242809e-21,5.72629643193397e-21
バランス,9.20649316880579e-22,10,20,5,6,7,5,6,4,6,2,14,3,3,0,2,4,4,3,0,3,0,2,0,4,0,2,5,1,2,8,3,9,2,1,2,8,0,2,4,3,1,0,0,1,1,0,0,11,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,5,0,0
使い勝手,8.35969747261494e-22,10,12,5,5,15,4,7,1,4,1,17,12,6,1,3,1,1,5,1,1,1,1,0,3,0,1,10,1,2,4,0,6,0,1,0,5,0,0,3,1,1,0,0,0,1,1,4,1,3,0,0,0,0,1,0,0,1,5,0,0,1,0,1,0,0,1,0,0,4,1,0,1,0,0,0,0,2,0,0,0
持ち,8.30362988650431e-22,0,0,1,0,4,0,30,0,0,6,22,1,6,0,2,9,5,0,0,2,6,3,0,0,0,0,5,1,9,0,0,2,0,0,0,6,0,2,1,1,5,0,0,4,0,0,7,0,1,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
色乗り,8.05817720722127e-22,2,2,0,2,1,3,0,2,5,0,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
レスポンス,7.41200805218049e-22,6,2,4,0,0,0,6,0,6,1,8,0,0,2,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
操作性,7.23844411371679e-22,8,4,3,0,4,5,6,9,12,0,4,3,2,3,2,1,0,6,3,2,2,2,0,9,1,5,6,0,2,3,1,2,3,8,0,10,0,1,0,0,1,1,0,0,1,0,11,6,4,0,3,3,1,0,2,1,0,1,0,0,3,0,0,0,1,0,4,0,1,1,0,2,0,1,1,0,1,1,1,0
発色,7.07855003734978e-22,3,1,1,1,0,6,2,4,3,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,4,2,1,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
色のり,7.06630014883852e-22,1,1,2,1,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
携帯性,7.00909177372942e-22,2,11,0,0,5,6,3,2,12,2,6,1,3,0,1,1,2,3,1,4,5,3,0,0,0,0,3,1,1,3,1,1,1,1,0,12,1,0,1,0,0,0,1,2,1,0,11,2,10,0,5,2,0,1,0,1,0,0,0,0,1,0,4,0,0,0,5,0,0,1,0,0,0,0,0,0,1,3,1,3
